idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words
6	[[0.93942696]]	"""""""Main crops Paddy, jute, wheat, potato, mustard seed, vegetables."""""""	"""""""প্রধান কৃষি ফসল ধান, পাট, গম, আলু, সরিষা, শাকসবজি।"""""""	0.93942696	True	True
36	[[0.91711646]]	She was the Chief Justice of the Madras High Court, the second woman to hold the postition in India. before being elevated as a Judge of the Supreme Court of India.	ভারতের সুপ্রীম কোর্টের বিচারকের পদে উন্নীত হওয়ার আগে তিনি মাদ্রাজ উচ্চ আদালতের প্রধান বিচারপতি ছিলেন, তিনি দ্বিতীয় ভারতীয় নারী যিনি ভারতে এই পদে অবস্থান করেন।	0.91711646	True	True
54	[[0.9037424]]	He asked the Congress to make its stand clear on the issue.	এই ইস্যুতে কংগ্রেসকে তাঁর অবস্থান স্পষ্ট করার দাবি জানিয়েছেন তিনি।	0.9037424	True	True
63	[[0.90055597]]	"""""""As it is an airbus, it will carry 250 passengers."""""""	"""""""এটা যেহেতু এয়ারবাস, সেহেতু ২৫০ জন যাত্রী বহন করবে।"""""""	0.90055597	True	True
134	[[0.9200741]]	"""""""Under this Policy, export of products will be controlled in the following way, such as:-"""""""	"""""""এই নীতির অধীনে পণ্যের রপ্তানি নিম্নরূপভাবে নিয়ন্ত্রিত হবে, যথাঃ-"""""""	0.9200741	True	True
178	[[0.9055097]]	Remember that in this world, all happiness is limited in some way.	মনে রাখবেন যে, এই জগতে সমস্ত সুখই কোনো না কোনোভাবে সীমাবদ্ধ।	0.9055097	True	True
255	[[0.9020104]]	"""Peter said to Jesus: """"Lord, are you washing my feet?"""""""	"""পিতর যিশুকে বলেছিলেন: """"প্রভু, আপনি কি আমার পা ধুইয়া দিবেন?"""""""	0.9020104	True	True
286	[[0.9076378]]	Most of them are patients in the hospital and one among the dead is also a Bangladeshi.	এদের বেশির ভাগই হাসপাতালে চিকিৎসাধীন রোগী এবং নিহতদের মধ্যে একজন বাংলাদেশীও রয়েছেন।	0.9076378	True	True
314	[[0.91968095]]	The Turkish Football Federation (Turkish: Trkiye Futbol Federasyonu. TFF) is the governing body of association football in Turkey.	তুর্কি ফুটবল ফেডারেশন (, . এছাড়াও সংক্ষেপে টিএফএফ নামে পরিচিত) হচ্ছে তুরস্কের ফুটবলের সর্বোচ্চ নিয়ন্ত্রক সংস্থা।	0.91968095	True	True
359	[[0.90079975]]	Instead, it indicates that we are doing what is right!	এর পরিবর্তে এটা দেখায়, আমরা যা সঠিক, তা-ই করছি!	0.90079975	True	True
412	[[0.913741]]	"""Increased exposure to polluted water and air has created """"cancer villages"""" and further health and environmental problems."""	"""দূষিত জল এবং বাতাসের এক্সপোজার বৃদ্ধি """" ক্যান্সার গ্রাম """" এবং আরও স্বাস্থ্য এবং পরিবেশগত সমস্যা তৈরি করেছে।"""	0.913741	True	True
422	[[0.9319429]]	The police have so far arrested 13 persons in the case.	ওই ঘটনায় এ পর্যন্ত ১৩ জনকে পুলিশ গ্রেফতার করেছে।	0.9319429	True	True
437	[[0.9150493]]	The movie starts with Raju (Dev Anand) being released from jail.	চলচ্চিত্রটি রাজু (দেব আনন্দ) এর কাহিনী দ্বারা শুরু হয় যে জেল থেকে মুক্তি পায়।	0.9150493	True	True
507	[[0.9021744]]	The police are searching for the others involved in the incident.	এ ঘটনার সঙ্গে জড়িত অন্যদের ধরার জন্য পুলিশ কাজ করছে।	0.9021744	True	True
577	[[0.9246595]]	On Twitter, Emma Suleiman, who lives in France, shares a photograph holding a gun, near a tank, taken during a recent visit to Syria.	ফ্রান্সে বসবাসকারী এমা সুলেইমান সাম্প্রতিক সিরিয়া সফরকালে একটি ট্যাংকের কাছে একটা বন্দুক হাতে নেয়া একটি আলোকচিত্র টুইটারে ভাগাভগি করেছেন।	0.9246595	True	True
626	[[0.918886]]	He is a left-handed batsman and right-arm offbreak bowler.	তিনি হলেন একজন ডানহাতি ব্যাটসম্যান এবং ডানহাতি অফব্রেক বোলার।	0.918886	True	True
708	[[0.93650556]]	What can parents do to ensure that their children will be successful?	ছেলেমেয়েরা যে সফল হবে, তা নিশ্চিত করার জন্য বাবামারা কী করতে পারে?	0.93650556	True	True
763	[[0.92325306]]	His name is Max Adams, a wealthy American arms dealer.	ওর নাম ম্যাক্স অ্যাডামস, একজন সম্পদশালী আমেরিকান অস্ত্র চোরাচালানকারী।	0.92325306	True	True
800	[[0.9044295]]	Explain how godly conduct attracts people to true worship and to Jehovah God.	ঈশ্বরীয় আচরণ লোকেদেরকে কীভাবে সত্য উপাসনার প্রতি এবং যিহোবা ঈশ্বরের প্রতি আকৃষ্ট করে, তা ব্যাখ্যা করুন।	0.9044295	True	True
802	[[0.9314885]]	Another brother Rajinder Amarnath is a former first class cricket and current cricket coach.	আরেক ভাই রাজিন্দর অমরনাথ সাবেক প্রথম-শ্রেণীর ক্রিকেটার ও বর্তমানে ক্রিকেট কোচ হিসেবে কাজ করছেন।	0.9314885	True	True
806	[[0.93239653]]	"""The theme of the singing contest was """"The Chinese Dream and the Beauty of Labour"""", which is part of national propaganda jointly organized by the All China Federation of Trade Unions, the Central Propaganda Department and the China Central Television Station (CCTV)."""	"""সংগীত প্রতিযোগীতাটির মূল বিষয়বস্তু ছিল """"চীনা স্বপ্ন এবং শ্রম সৌন্দর্য"""", যা সমস্ত চীনা ফেডারেশন ট্রেড ইউনিয়নের কেন্দ্রীয় প্রচার বিভাগ এবং চীনা কেন্দ্রীয় টেলিভিশন কেন্দ্র (সিসিটিভি) কর্তৃক যৌথভাবে আয়োজিত। সংগীত প্রতিযোগীতাটি জাতীয় প্রচারণার একটি অংশ।"""	0.93239653	True	True
825	[[0.90620923]]	"""Some of the words used by them, such as barbacoa (""""barbecue""""), hamaca (""""hammock""""), kanoa (""""canoe""""), tabaco (""""tobacco""""), yuca, batata (""""sweet potato""""), and juracn (""""hurricane""""), have been incorporated into Spanish and English."""	"""তাদের ব্যবহৃত কিছু শব্দ, যেমন বারবাকোয়া (""""বারবিকিউ""""), হামাকা (""""হ্যামক""""), কানোয়া (""""ক্যানো""""), তাবাকো (""""তামাক""""), ইউকা, বাটাটা (""""মিষ্টি আলু"""") এবং জুরাকান (""""হারিকেন""""), যা পরবর্তীতে স্প্যানিশ এবং ইংরেজি ভাষায় অন্তর্ভুক্ত করা হয়েছে।"""	0.90620923	True	True
838	[[0.9029598]]	During the fourth week of gestation, the limbs are being formed and it is at this point that alcohol can effect the development of arms, legs, fingers and toes.	গর্ভধারণের চতুর্থ সপ্তাহের মধ্যে অঙ্গপ্রত্যঙ্গগুলির গঠন তৈরি হতে থাকে এবং এই সময়ে মদ্যপান হাত, পা, আঙ্গুল এবং পায়ের আঙ্গুলের বিকাশের উপর প্রভাব ফেলতে পারে।	0.9029598	True	True
