idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words
16	[[0.93130046]]	The police stated a case has been registered and further investigations were on.	ପୋଲିସ ଏ ନେଇ ମାମଲା ଦାୟର କରି ଅଧିକ ତଦନ୍ତ ଜାରି ଥିବା ସୂଚନା ଦେଇଛନ୍ତି।	0.93130046	True	True
33	[[0.9079262]]	Dr Bhoodes, who was on Odisha visit, met Secretary MSME, Hemant Sharma, Principal Secretary Agriculture, Saurabh Garg and other senior officials.	ଓଡିଶା ଗସ୍ତରେ ଥିବା ଶ୍ରୀ ଭୁଦେଶ ଏମ୍‍ଏସ୍‍ଏମ୍‍ଇ ସଚିବ ହେମନ୍ତ ଶର୍ମା, କୃଷି ବିଭାଗର ପ୍ରମୁଖ ସଚିବ ସୌରଭ ଗର୍ଗ ଏବଂ ଅନ୍ୟ ବରିଷ୍ଠ ଅଧିକାରୀମାନଙ୍କୁ ଭେଟିଛନ୍ତି ।	0.9079262	True	True
115	[[0.9092449]]	The wedding was attended by only family and close friends.	ବିବାହରେ କେବଳ ପରିବାର ଲୋକ ଏବଂ କିଛି ନିକଟ ସମ୍ପର୍କୀୟ ବନ୍ଧୁ ସାମିଲ ହୋଇଥିଲେ।	0.9092449	True	True
121	[[0.9103717]]	In Myanmar even today, Ramayana is presented by the name of Yama.	ମିଆଁମାରରେ ଆଜି ମଧ୍ୟ ରାମାୟଣକୁ ୟାମା ନାଁରେ ଉପସ୍ଥାପିତ କରାଯାଉଛି ।	0.9103717	True	True
132	[[0.9012846]]	Among them were six women and children.	ସେମାନଙ୍କ ମଧ୍ୟରେ ରହିଛନ୍ତି ଛଅ ଜଣ ମହିଳା ଓ ଛଅ ଜଣ ପିଲା ।	0.9012846	False	True
171	[[0.91966283]]	He died while undergoing treatment at a private hospital in Hyderabad.	ହାଇଦ୍ରାବାଦର ଏକ ଘରୋଇ ହସ୍ପିଟାଲରେ ଚିକିତ୍ସାଧିନ ଅବସ୍ଥାରେ ତାଙ୍କର ମୃତ୍ୟୁ ଘଟିଛି।	0.91966283	True	True
198	[[0.91885495]]	No passengers were reported injured in the incident.	ଏହି ଦୁର୍ଘଟଣାରେ କୌଣସି ଯାତ୍ରୀ ଆଘାତପ୍ରାପ୍ତ ହୋଇ ନଥିବା ଜାଣିବାକୁ ମିଳିଛି।	0.91885495	False	True
257	[[0.91432786]]	Cabinet Cabinet apprised of the MoU between India and Angola for promoting bilateral cooperation in the field of Electronics and Information Technology The Union Cabinet chaired by Prime Minister Shri Narendra Modi has been apprised of the Memorandum of Understanding (MoU) the between India and Angola for promoting bilateral cooperation in the field of Electronics and Information Technology.	Cabinet ଇଲେକଟ୍ରୋନିକ୍ସ ଓ ସୂଚନା ପ୍ରଯୁକ୍ତି କ୍ଷେତ୍ରରେ ଦ୍ୱିପାକ୍ଷିକ ସହଯୋଗ ଲାଗି ଭାରତ, ଆଙ୍ଗୋଲା ବୁଝାମଣା ନେଇ ଅବଗତ ହେଲେ କେନ୍ଦ୍ର କ୍ୟାବିନେଟ ପ୍ରଧାନମନ୍ତ୍ରୀ ଶ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦୀଙ୍କ ଅଧ୍ୟକ୍ଷତାରେ ଅନୁଷ୍ଠିତ କେନ୍ଦ୍ର କ୍ୟାବିନେଟଙ୍କୁ ଇଲେକଟ୍ରୋନିକ୍ସ ଏବଂ ସୂଚନା ପ୍ରଯୁକ୍ତି କ୍ଷେତ୍ରରେ ଦ୍ୱିପାକ୍ଷିକ ସହଯୋଗ ଲାଗି ଭାରତ ଏବଂ ଅଙ୍ଗୋଲା ମଧ୍ୟରେ ସ୍ୱାକ୍ଷରିତ ବୁଝାମଣା ବିଷୟରେ ଅବଗତ କରାଯାଇଛି ।	0.91432786	True	True
281	[[0.9241922]]	Prime Minister's Office PMs upcoming visit to Sri Lanka PMs upcoming visit to Sri Lanka The Prime Minister, Shri Narendra Modi will be visiting Sri Lanka on 11th and 12th May, 2017.	Prime inister's Office ପ୍ରଧାନମନ୍ତ୍ରୀଙ୍କ ଆଗାମୀ ଶ୍ରୀଲଙ୍କା ଗସ୍ତ ପ୍ରଧାନମନ୍ତ୍ରୀ ଶ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦୀ 11 ଓ 12 ମେ, 2017ରେ 2 ଦିନିଆ ଶ୍ରୀଲଙ୍କା ଗସ୍ତରେ ଯିବେ ।	0.9241922	True	True
288	[[0.9102241]]	I am confident that when we observe Independence Day in 2022, we will try to give a pucca home to everyone. Speaking further on provision of homes, the PM said: Interest exemption on home loans up to 1.5 lakh rupees has been provided, so that the middle class can have their homes.	ମୋର ବିଶ୍ୱାସ ଯେ 2022ରେ ଯେତେବେଳେ ଆମେ ଆମର ସ୍ୱାଧୀନତା ଦିବସ ପାଳନ କରୁଥିବା, ଆମେ ସମସ୍ତଙ୍କୁ ଏକ ପକ୍କା ଘର ପ୍ରଦାନ କରିବାର ଚେଷ୍ଟା କରିବା ।” ଘର ସମ୍ବନ୍ଧୀୟ ବ୍ୟବସ୍ଥା ଉପରେ ପୁନଶ୍ଚ ପ୍ରକାଶ କରି ପ୍ରଧାନମନ୍ତ୍ରୀ କହିଲେ, “1.5 ଲକ୍ଷ ଗୃହ ଋଣ ଉପରେ ଋଣ ମୁକ୍ତି ଉପଲବ୍ଧ କରାଯାଇଛି, ଯାହା ଫଳରେ କି ମଧ୍ୟମବର୍ଗଙ୍କ ପାଖରେ ସେମାନଙ୍କ ଘର ଥିବ ।	0.9102241	True	True
