idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	ollama_trans	ollama_bleu_score	ollama_f1_score	ollama_meteor_score
221	[[0.9066741]]	Deepak Shirke is an Indian film actor who is known for his work in Hindi and Marathi films.	'दीपक शिर्के' मराठी व हिंदी भाषा चित्रपटांतून काम करणारा अभिनेता आहे.	0.9066741	True	True	दीपक शिर्के हे भारतीय चित्रपट अभिनेते आहेत जे त्यांच्या हिंदी आणि मराठी चित्रपटांतील कामासाठी ओळखले जातात.	0.0	tensor([0.8092])	0.2601398601398602
308	[[0.90424705]]	The film is produced by Salman's brother-in-law Atul Agnihotri.	या सिनेमाची सलमानचा भावोजी अतुल अग्निहोत्रीने निर्मिती केली होती.	0.90424705	True	True	चित्रपट त्यांचे दीरग्रही आतुल अग्निहोत्री यांनी निर्मित केला आहे.	0.0	tensor([0.8371])	0.05000000000000001
442	[[0.9414197]]	India has been elected as a Member of the International Telecommunications Union (ITU) Councilfor another 4-year term (2019-2022).	आंतरराष्ट्रीय दूरसंचार संघ (आयटीयू) परिषदेचा सदस्य म्हणून भारताची 2019  ते 2022 अशा 4-वर्षांच्या  कालावधीकरीता पुन्हा निवड झाली आहे.	0.9414197	True	True	भारताला आंतरराष्ट्रीय दूरसंचार संघटना (आयटीयू) परिषदेचे सदस्य म्हणून पुन्हा ४ वर्षांचा कार्यकाल (२०१९-२०२२) मिळाला आहे.	0.0	tensor([0.8342])	0.3964114832535885
512	[[0.91168576]]	The people of Uttar Pradesh in 2014 have given a new hope to the nation that was shrouded in darkness and despair for 30 years.	30 वर्षांपासून निराशेच्या गर्तेमध्ये बुडून गेलेल्या देशाला आशेचा नवीन किरण दाखवण्याचं काम 2014 मध्ये या उत्तर प्रदेशच्या जनतेने केले आहे.	0.91168576	True	True	उत्तर प्रदेशाच्या लोकांनी २०१४ मध्ये राष्ट्राला ३० वर्षांपासून अंधकार आणि निराशेने वेढलेल्या देशाला नवी आशा दिली.	0.0	tensor([0.7703])	0.12135922330097089
584	[[0.90276754]]	According to global naval analysts, Chinese navy currently has over 50 submarines and about 350 ships.	जागतिक नौदल विश्लेषकांच्या मते, चीनकडे 50 पेक्षा जास्त पाणबुड्या आणि सुमारे 350 जहाजं आहेत.	0.90276754	True	True	चीनी नौदलाच्या विश्लेषकांनुसार, चीनचे नौसेना सध्या ५० पेक्षा अधिक पाणबुड्या आणि सुमारे ३५० जहाजे आहेत.	0.0	tensor([0.8950])	0.39421979972113064
646	[[0.9290212]]	The police are investigating if it was a suicide or a murder.	ही आत्महत्या आहे की घातपात आहे याचा पोलिस तपास करत आहेत.	0.9290212	True	True	पोलिसांनी हे आत्महत्या की हत्या असेल ते तपासत आहेत.	0.0	tensor([0.8135])	0.267478813559322
731	[[0.9175761]]	One passenger was killed and three others were injured in the mishap.	या अपघातात एकाचा मृत्यू झाला असून तीन प्रवासी जखमी झाले आहेत.	0.9175761	True	True	एक प्रवासी मृत्युमुखी झाला आणि तीन जणांना जखमा झाल्या.	0.0	tensor([0.7989])	0.1694915254237288
757	[[0.9063499]]	However, it is nearly after 100 years that for the first time we have succeeded in sending a large contingent of 119 players to Rio.	मात्र सुमारे शंभर वर्षापेक्षा जास्त काळानंतर पहिल्यांदा 119 खेळाडूंचे मोठे पथक रिओमध्ये पोहोचवण्यात आपण यशस्वी ठरलो आहोत.	0.9063499	True	True	पण, १०० वर्षांनंतर प्रथमच आम्हाला रियो ला ११९ खेळाडूंचा मोठा पथक पाठविण्यात यश मिळाले आहे.	0.0	tensor([0.7795])	0.055865921787709494
771	[[0.9097842]]	But nobody knew who she was.	परंतु ती व्यक्ती कोण, याबाबत कुणालाच काही कल्पना नव्हती.	0.9097842	False	True	त्यांना कोण होती हे कुणालाच माहीत नव्हते.	0.0	tensor([0.7931])	0.14018691588785046
801	[[0.9098934]]	He is former World No.1 ranked Trap Shooter.	तो माजी विश्व नंबर 1 मधील ट्रॅप शूटर आहे.	0.9098934	False	True	ते माजी विश्वव्यापी क्रमांक १चे ट्रॅप शूटर होते.	0.0	tensor([0.8890])	0.3188131313131313
813	[[0.91361463]]	The Defence Research and Development Organisation (DRDO) developed the missile.	संरक्षण संशोधन आणि विकास संस्था म्हणजेच डीआरडीओने (DRDO) हे क्षेपणास्त्र विकसीत केले आहे.	0.91361463	True	True	डिफेंस रिसर्च अँड डेव्हलपमेंट ऑर्गनायझेशन (डीआरडीओ) ने त्यांचे मिसाइल विकसित केले.	0.0	tensor([0.6831])	0.12658227848101264
850	[[0.9264777]]	From Congress, party chief Ashok Choudhary, Madan Mohan Jha, Abdul Jalil Mastan and Awdesh Kumar Singh were sworn in.	काँग्रेसकडून पक्षाचे प्रमुख अशोक चौधरी, मदन मोहन झा, अब्दुल जलील मस्तान आणि अवदेशकुमार सिंग यांना मंत्रीपदाची शपथ देण्यात आली.	0.9264777	True	True	काँग्रेस मधून, पक्ष प्रमुख अशोक चौधरी यांच्यासह मदन मोहन झा यांना, अब्दुल जलील मस्तान यांना आणि अव्देश कुमार सिंह यांना शपथ दिली गेली.	0.18	tensor([0.8584])	0.6188492063492064
