idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	ollama_trans	ollama_bleu_score	ollama_f1_score	ollama_meteor_score
1	[[0.94119275]]	The police have also arrested two accused.	ਪੁਲਿਸ ਨੇ ਦੋ ਸ਼ੱਕੀਆਂ ਨੂੰ ਗਿ੍ਫ਼ਤਾਰ ਵੀ ਕਰ ਲਿਆ ਹੈ।	0.94119275	False	True	ਪੁਲਿਸ ਨੇ ਵੀ ਦੋ ਅਰੋਪੀਆਂ ਨੂੰ ਗ੍ਰਿਫ਼ਤਾਰ ਕਰ ਲਿਆ ਹੈ।	0.0	tensor([0.8941])	0.7023437500000002
6	[[0.9097312]]	India was wrapped up on 221 after 49.3 overs.	ਭਾਰਤੀ ਟੀਮ 49.3 ਓਵਰਾਂ 'ਚ 221 ਦੌੜਾਂ ਬਣਾ ਕੇ ਆਲ ਆਊਟ ਹੋ ਗਈ।	0.9097312	True	True	ਭਾਰਤ 49.3 ਓਵਰਾਂ ਬਾਅਦ 221 'ਤੇ ਸਮੈਟ ਗਿਆ ਸੀ।	0.0	tensor([0.7972])	0.2320772058823529
62	[[0.903995]]	It is the last phase of Lok Sabha elections.	ਇਹ ਲੋਕ ਸਭਾ ਚੋਣਾਂ ਦਾ ਆਖ਼ਰੀ ਪੜਾਅ ਹੈ ।	0.903995	True	True	ਲੋਕ ਸਭਾ ਚੋਣਾਂ ਦਾ ਆਖਰੀ ਪੜਾਅ ਹੈ।	0.33	tensor([0.9495])	0.5499999999999999
72	[[0.9015517]]	Sony and Amazon are the latest companies to pull out of a major European technology show over virus fears.	ਸੋਨੀ ਅਤੇ ਐਮਾਜ਼ਾਨ ਵਾਇਰਸ ਦੇ ਡਰ 'ਤੇ ਯੂਰਪੀਅਨ ਟੈਕਨਾਲੋਜੀ ਦੇ ਇਕ ਵੱਡੇ ਪ੍ਰਦਰਸ਼ਨ ਨੂੰ ਬਾਹਰ ਕੱ toਣ ਲਈ ਨਵੀਨਤਮ ਕੰਪਨੀਆਂ ਹਨ.	0.9015517	True	True	ਸੋਨੀ ਅਤੇ ਅਮੇਜ਼ਨ ਵਾਇਰਸ ਦੇ ਡਰ ਕਾਰਨ ਇੱਕ ਮੇਜਰ ਯੂਰਪੀ ਟੈਕਨਾਲੋਜੀ ਸ਼ੋਅ ਤੋਂ ਬਾਹਰ ਨਿਕਲਣ ਵਾਲੀਆਂ ਨਵੀਨਤਮ ਕੰਪਨੀਆਂ ਹਨ।	0.0	tensor([0.8616])	0.30454495793728825
77	[[0.94463575]]	Prime Minister's Office PM meets members of JP Morgan International Council PM met with the JP Morgan International Council in New Delhi today.	ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਦਫਤਰ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨੇ ਜੇਪੀ ਮੌਰਗਨ ਇੰਟਰਨੈਸ਼ਨਲ ਕੌਂਸਲ ਦੇ ਮੈਂਬਰਾਂ ਨਾਲ ਮੀਟਿੰਗ ਕੀਤੀ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨੇ ਅੱਜ ਨਵੀਂ ਦਿੱਲੀ ਵਿੱਚ ਜੇਪੀ ਮੌਰਗਨ ਇੰਟਰਨੈਸ਼ਨਲ ਕੌਂਸਲ ਨਾਲ ਮੀਟਿੰਗ ਕੀਤੀ।	0.94463575	True	True	ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਦਫਤਰ ਪੀਐਮ ਜੇਪੀ ਮਾਰਗਨ ਇੰਟਰਨੈਸ਼ਨਲ ਕੌਂਸਲ ਨਾਲ ਮਿਲਿਆ ਪੀਐਮ ਨੇ ਅੱਜ ਨਵੀਂ ਦਿੱਲੀ ਵਿੱਚ ਜੇਪੀ ਮਾਰਗਨ ਇੰਟਰਨੈਸ਼ਨਲ ਕੌਂਸਲ ਨਾਲ ਮੁਲਾਕਾਤ ਕੀਤੀ।	0.27	tensor([0.8915])	0.5674009454651786
81	[[0.91540253]]	The Board of Governor meetings of the Army Welfare Housing Origination (AWHO) and Army Welfare Education Society (AWES) were also organised during the event.	ਆਯੋਜਨ ਦੇ ਦੌਰਾਨ ਆਰਮੀ ਵੇਲਫੇਅਰ ਹਾਊਸਿੰਗ ਔਰਗਨਾਈਜੇਸ਼ਨ ( ਐੱਡਬਿਲਊਏਐੱਚਓ) ਅਤੇ ਆਰਮੀ ਵੇਲਫੇਅਰ ਐਜੂਕੇਸ਼ਨ ਸੋਸਾਇਟੀ (ਏਡਬਲਿਊਈਐੱਸ) ਦੇ ਬੋਰਡ ਆਵ੍ ਗਵਰਨਰ ਦੀਆਂ ਬੈਠਕਾਂ ਦਾ ਵੀ ਆਯੋਜਨ ਕੀਤਾ ਗਿਆ।	0.91540253	True	True	ਆਰਮੀ ਵੈਲਫੇਅਰ ਹਾਊਸਿੰਗ ਆਰਗੇਨਾਈਜੇਸ਼ਨ (ਏਡਬਲਯੂਐਚਓ) ਅਤੇ ਆਰਮੀ ਵੈਲਫੇਅਰ ਐਜੂਕੇਸ਼ਨ ਸੋਸਾਇਟੀ (ਏਡਬਲਯੂਈਐਸ) ਦੀਆਂ ਗਵਰਨਰ ਬੋਰਡ ਮੀਟਿੰਗਾਂ ਵੀ ਇਸ ਈਵੈਂਟ ਦੌਰਾਨ ਆਯੋਜਿਤ ਕੀਤੀਆਂ ਸਨ।	0.0	tensor([0.8780])	0.4195896244676734
101	[[0.9078176]]	There also is uncertainty about an order from Norwegian Air for 92 MAX planes and five 787 planes after four subsidiaries filed for bankruptcy.	ਦੀਵਾਲੀਆਪਣ ਲਈ ਦਾਇਰ ਚਾਰ ਸਹਾਇਕ ਕੰਪਨੀਆਂ ਦੇ ਬਾਅਦ ਨਾਰਵੇਈਅਨ ਏਅਰ ਦੇ 92 ਮੈਕਸ ਜਹਾਜ਼ਾਂ ਅਤੇ ਪੰਜ 787 ਜਹਾਜ਼ਾਂ ਲਈ ਆਰਡਰ ਦੇਣ ਬਾਰੇ ਵੀ ਅਸਪਸ਼ਟਤਾ ਹੈ.	0.9078176	True	True	ਨਾਰਵੇਜਿਅਨ ਏਅਰ ਤੋਂ 92 ਮੈਕਸ ਜਹਾਜ਼ਾਂ ਅਤੇ ਪੰਜ 787 ਜਹਾਜ਼ਾਂ ਦੇ ਆਰਡਰ ਬਾਰੇ ਵੀ ਅਨਿਸ਼ਚਿਤਤਾ ਹੈ ਜਦੋਂ ਚਾਰ ਸਹਾਇਕ ਕੰਪਨੀਆਂ ਨੇ ਦਿਵਾਲੀਆ ਲਈ ਹੈ।	0.32	tensor([0.8772])	0.6245808857058555
109	[[0.9229362]]	In a bid to ensure hassle-free enrolment of farmers, the Ministry of Agriculture and Farmers Welfare provided training to 29,275 officials from banks, insurance companies, Common Service Centres (CSC), State Level Bankers' Committee (SLBC), Village Level Entrepreneurs (VLEs), State and District level Agriculture and ATMA officials etc.	ਕਿਸਾਨਾਂ ਦੇ ਮੁਸ਼ਕਿਲ-ਰਹਿਤ ਦਾਖਲੇ ਨੂੰ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ, ਖੇਤੀਬਾੜੀ ਅਤੇ ਕਿਸਾਨ ਭਲਾਈ ਮੰਤਰਾਲੇ ਨੇ ਬੈਂਕਾਂ, ਬੀਮਾ ਕੰਪਨੀਆਂ, ਕਾਮਨ ਸਰਵਿਸ ਸੈਂਟਰ (ਸੀਐੱਸਸੀ), ਰਾਜ ਪੱਧਰੀ ਬੈਂਕਰ ਕਮੇਟੀ (ਐੱਸਐਲਬੀਸੀ), ਪਿੰਡ ਪੱਧਰ ਦੇ ਉੱਦਮੀਆਂ, ਰਾਜ ਅਤੇ ਜ਼ਿਲ੍ਹਾ ਪੱਧਰੀ ਖੇਤੀਬਾੜੀ ਅਤੇ ਆਤਮਾ ਅਧਿਕਾਰੀ ਆਦਿ ਦੇ 29,275 ਅਧਿਕਾਰੀਆਂ ਨੂੰ ਸਿਖਲਾਈ ਦਿੱਤੀ।	0.9229362	True	True	ਕਿਸਾਨਾਂ ਦੇ ਹਸਲੇ ਮੁਕਤ ਰਜਿਸਟਰੇਸ਼ਨ ਨੂੰ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ, ਖੇਤੀਬਾੜੀ ਅਤੇ ਕਿਸਾਨ ਕਲਿਆਣ ਮੰਤਰਾਲੇ ਨੇ ਬੈਂਕਾਂ, ਬੀਮਾ ਕੰਪਨੀਆਂ, ਕਾਮਨ ਸਰਵਿਸ ਸੈਂਟਰਾਂ (ਸੀਐਸਸੀ), ਰਾਜ ਪੱਧਰੀ ਬੈਂਕਰਾਂ ਦੀ ਕਮੇਟੀ (ਐਸਐਲਬੀਸੀ), ਪਿੰਡ ਪੱਧਰੀ ਉਦਯੋਗਪਤੀਆਂ (ਵੀਐਲਈਜ਼), ਰਾਜ ਅਤੇ ਜ਼ਿਲ੍ਹਾ ਪੱਧਰੀ ਖੇਤੀਬਾੜੀ ਅਤੇ ਏਟੀਐਮਏ ਅਧਿਕਾਰੀਆਂ ਆਦਿ ਨੂੰ ਸਿਖਲਾਈ ਪ੍ਰਦਾਨ ਕੀਤੀ।	0.45	tensor([0.8785])	0.7014492753623188
111	[[0.91166687]]	"""""""""""""""""""""""""""""""Jain personally told me that he had settled a land deal worth Rs 50 crore of Kejriwal's relative."""""""""""""""	’’ ਉਨ੍ਹਾਂ ਕਿਹਾ, ‘‘ਜੈਨ ਨੇ ਮੈਨੂੰ ਨਿੱਜੀ ਤੌਰ ਉਤੇ ਦੱਸਿਆ ਕਿ ਉਸ ਨੇ ਕੇਜਰੀਵਾਲ ਦੇ ਰਿਸ਼ਤੇਦਾਰ ਨਾਲ ਤਕਰੀਬਨ 50 ਕਰੋੜ ਦੇ ਜ਼ਮੀਨੀ ਸੌਦੇ ਦਾ ਨਿਬੇੜਾ ਕੀਤਾ ਹੈ।	0.91166687	True	True	"""""""ਜੈਨ ਨੇ ਨਿੱਜੀ ਤੌਰ 'ਤੇ ਮੇਰੇ ਕੋਲ ਦੱਸਿਆ ਕਿ ਉਸ ਨੇ ਕੇਜਰੀਵਾਲ ਦੇ ਰਿਸ਼ਤੇਦਾਰ ਦੀ 50 ਕਰੋੜ ਰੁਪਏ ਦੀ ਜ਼ਮੀਨ ਸੌਦਾ ਕਰ ਲਿਆ ਸੀ।"""""""	0.23	tensor([0.8203])	0.3987402175987784
119	[[0.93246776]]	According to the information, there are approximately 42,000 public school teachers in British Columbia.	ਜਾਣਕਾਰੀ ਮੁਤਾਬਕ, ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ ‘ਚ ਲਗਭਗ 42,000 ਪਬਲਿਕ ਸਕੂਲ ਅਧਿਆਪਕ ਹਨ।	0.93246776	True	True	ਜਾਣਕਾਰੀ ਅਨੁਸਾਰ, ਬਰਤਾਨਵੀ ਕੋਲੰਬੀਆ ਵਿੱਚ ਲਗਭਗ 42,000 ਜਨਤਕ ਸਕੂਲ ਅਧਿਆਪਕ ਹਨ।	0.0	tensor([0.8987])	0.544452519379845
