idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	ollama_trans	ollama_bleu_score	ollama_f1_score	ollama_meteor_score
6	[[0.93942696]]	"""""""""""""""""""""""""""""""Main crops Paddy, jute, wheat, potato, mustard seed, vegetables."""""""""""""""""""""""""""""""	"""""""""""""""""""""""""""""""প্রধান কৃষি ফসল ধান, পাট, গম, আলু, সরিষা, শাকসবজি।"""""""""""""""""""""""""""""""	0.93942696	True	True	প্রধান ফসলগুলি হল ধান, পাট, গম, আলু, সরিষা বীজ ও শাকসব্জি।	0.08	tensor([0.7388])	0.121654501216545
36	[[0.91711646]]	She was the Chief Justice of the Madras High Court, the second woman to hold the postition in India. before being elevated as a Judge of the Supreme Court of India.	ভারতের সুপ্রীম কোর্টের বিচারকের পদে উন্নীত হওয়ার আগে তিনি মাদ্রাজ উচ্চ আদালতের প্রধান বিচারপতি ছিলেন, তিনি দ্বিতীয় ভারতীয় নারী যিনি ভারতে এই পদে অবস্থান করেন।	0.91711646	True	True	তাঁরা মাদ্রাস উচ্চ আদালতের প্রধান বিচারপতি ছিলেন, ভারতে দ্বিতীয় মহিলা যাঁরা এই পদে অধিষ্ঠিত হন, ভারতের সর্বোচ্চ আদালতের বিচারপতি হিসেবে উন্নীত হওয়ার আগে।	0.22	tensor([0.8301])	0.26516481061935604
54	[[0.9037424]]	He asked the Congress to make its stand clear on the issue.	এই ইস্যুতে কংগ্রেসকে তাঁর অবস্থান স্পষ্ট করার দাবি জানিয়েছেন তিনি।	0.9037424	True	True	তাঁরা কংগ্রেসকে বিষয়টি নিয়ে তাঁদের অবস্থান স্পষ্ট করতে বলেন।	0.0	tensor([0.8186])	0.25813692480359146
63	[[0.90055597]]	"""""""""""""""""""""""""""""""As it is an airbus, it will carry 250 passengers."""""""""""""""""""""""""""""""	"""""""""""""""""""""""""""""""এটা যেহেতু এয়ারবাস, সেহেতু ২৫০ জন যাত্রী বহন করবে।"""""""""""""""""""""""""""""""	0.90055597	True	True	এটি একটি এয়ারবাস হওয়ায়, তারা ২৫০ যাত্রী বহন করবে।	0.0	tensor([0.7090])	0.12054054054054053
134	[[0.9200741]]	"""""""""""""""""""""""""""""""Under this Policy, export of products will be controlled in the following way, such as:-"""""""""""""""""""""""""""""""	"""""""""""""""""""""""""""""""এই নীতির অধীনে পণ্যের রপ্তানি নিম্নরূপভাবে নিয়ন্ত্রিত হবে, যথাঃ-"""""""""""""""""""""""""""""""	0.9200741	True	True	এই নীতিমালার অধীনে, তাঁরা পণ্যসমূহের রপ্তানি নিম্নলিখিত পদ্ধতিতে নিয়ন্ত্রণ করবেন, যেমন:-	0.0	tensor([0.7418])	0.05333333333333334
178	[[0.9055097]]	Remember that in this world, all happiness is limited in some way.	মনে রাখবেন যে, এই জগতে সমস্ত সুখই কোনো না কোনোভাবে সীমাবদ্ধ।	0.9055097	True	True	আপনারা স্মরণ রাখুন, এই পৃথিবীতে সকল সুখ কিছু না কিছু সীমাবদ্ধ।	0.0	tensor([0.8091])	0.2630208333333333
255	[[0.9020104]]	"""""""""""""""Peter said to Jesus: """"""""""""""""Lord, are you washing my feet?"""""""""""""""""""""""""""""""	"""""""""""""""পিতর যিশুকে বলেছিলেন: """"""""""""""""প্রভু, আপনি কি আমার পা ধুইয়া দিবেন?"""""""""""""""""""""""""""""""	0.9020104	True	True	"""পিটার যীশুদের বললেন, """"প্রভুরা, আপনারা আমার পা ধুচ্ছেন?"""""""	0.04	tensor([0.7693])	0.20507425742574256
286	[[0.9076378]]	Most of them are patients in the hospital and one among the dead is also a Bangladeshi.	এদের বেশির ভাগই হাসপাতালে চিকিৎসাধীন রোগী এবং নিহতদের মধ্যে একজন বাংলাদেশীও রয়েছেন।	0.9076378	True	True	তাদের অধিকাংশই হাসপাতালের রোগী এবং নিহতদের মধ্যে একজনও বাংলাদেশী।	0.21	tensor([0.9112])	0.3392094017094017
314	[[0.91968095]]	The Turkish Football Federation (Turkish: Trkiye Futbol Federasyonu. TFF) is the governing body of association football in Turkey.	তুর্কি ফুটবল ফেডারেশন (, . এছাড়াও সংক্ষেপে টিএফএফ নামে পরিচিত) হচ্ছে তুরস্কের ফুটবলের সর্বোচ্চ নিয়ন্ত্রক সংস্থা।	0.91968095	True	True	তুরস্ক ফুটবল ফেডারেশন (তুরস্ক ফুটবল ফেডারেশন, টিএফএফ) তুরস্কের অ্যাসোসিয়েশন ফুটবলের শাসনিক সংস্থা।	0.0	tensor([0.8572])	0.3299156029852828
359	[[0.90079975]]	Instead, it indicates that we are doing what is right!	এর পরিবর্তে এটা দেখায়, আমরা যা সঠিক, তা-ই করছি!	0.90079975	True	True	আমরা যা সঠিক তা করছি বলে ইহা নির্দেশ করে!	0.0	tensor([0.8067])	0.37796610169491524
412	[[0.913741]]	"""""""""""""""Increased exposure to polluted water and air has created """"""""""""""""cancer villages"""""""""""""""" and further health and environmental problems."""""""""""""""	"""""""""""""""দূষিত জল এবং বাতাসের এক্সপোজার বৃদ্ধি """""""""""""""" ক্যান্সার গ্রাম """""""""""""""" এবং আরও স্বাস্থ্য এবং পরিবেশগত সমস্যা তৈরি করেছে।"""""""""""""""	0.913741	True	True	"""দূষিত জল ও বায়ুর বৃদ্ধি প্রকাশের ফলে তাঁরা """"ক্যান্সার গ্রাম"""" সৃষ্টি করেছেন এবং আরও স্বাস্থ্য ও পরিবেশগত সমস্যাগুলি সৃষ্টি করেছেন।"""	0.13	tensor([0.7658])	0.2736868686868687
422	[[0.9319429]]	The police have so far arrested 13 persons in the case.	ওই ঘটনায় এ পর্যন্ত ১৩ জনকে পুলিশ গ্রেফতার করেছে।	0.9319429	True	True	পুলিশরা এই মামলায় এ পর্যন্ত ১৩ জনকে গ্রেপ্তার করেছেন।	0.3	tensor([0.8779])	0.4409722222222222
437	[[0.9150493]]	The movie starts with Raju (Dev Anand) being released from jail.	চলচ্চিত্রটি রাজু (দেব আনন্দ) এর কাহিনী দ্বারা শুরু হয় যে জেল থেকে মুক্তি পায়।	0.9150493	True	True	ছবিটি রাজু (দেব আনন্দ)-কে জেল থেকে মুক্তি দেওয়ার মধ্য দিয়ে শুরু হয়।	0.32	tensor([0.8924])	0.5555555555555555
507	[[0.9021744]]	The police are searching for the others involved in the incident.	এ ঘটনার সঙ্গে জড়িত অন্যদের ধরার জন্য পুলিশ কাজ করছে।	0.9021744	True	True	পুলিশরা ঘটনায় জড়িত অন্যদের খোঁজ করছেন।	0.0	tensor([0.8420])	0.05208333333333333
577	[[0.9246595]]	On Twitter, Emma Suleiman, who lives in France, shares a photograph holding a gun, near a tank, taken during a recent visit to Syria.	ফ্রান্সে বসবাসকারী এমা সুলেইমান সাম্প্রতিক সিরিয়া সফরকালে একটি ট্যাংকের কাছে একটা বন্দুক হাতে নেয়া একটি আলোকচিত্র টুইটারে ভাগাভগি করেছেন।	0.9246595	True	True	টুইটারে, ফ্রান্সে বসবাসকারী এমা সুলাইমানরা সিরিয়ায় সাম্প্রতিক সফরে ট্যাঙ্কের নিকটে বন্দুক ধারণ করে একটি ছবি শেয়ার করেন।	0.0	tensor([0.8149])	0.30288305798509874
626	[[0.918886]]	He is a left-handed batsman and right-arm offbreak bowler.	তিনি হলেন একজন ডানহাতি ব্যাটসম্যান এবং ডানহাতি অফব্রেক বোলার।	0.918886	True	True	তাঁরা বাম-হাতি ব্যাটসম্যান এবং ডান-হাতি অফব্রেক বোলার।	0.0	tensor([0.8890])	0.42613636363636365
708	[[0.93650556]]	What can parents do to ensure that their children will be successful?	ছেলেমেয়েরা যে সফল হবে, তা নিশ্চিত করার জন্য বাবামারা কী করতে পারে?	0.93650556	True	True	আবিবাবারা তাদের সন্তানদের সফল হওয়ার নিশ্চয়তা করতে কী করতে পারেন?	0.0	tensor([0.8119])	0.2303832116788321
763	[[0.92325306]]	His name is Max Adams, a wealthy American arms dealer.	ওর নাম ম্যাক্স অ্যাডামস, একজন সম্পদশালী আমেরিকান অস্ত্র চোরাচালানকারী।	0.92325306	True	True	তাঁদের নাম ম্যাক্স অ্যাডামস, ধনী আমেরিকান অস্ত্র ব্যবসায়ীরা।	0.32	tensor([0.8429])	0.5948372615039282
800	[[0.9044295]]	Explain how godly conduct attracts people to true worship and to Jehovah God.	ঈশ্বরীয় আচরণ লোকেদেরকে কীভাবে সত্য উপাসনার প্রতি এবং যিহোবা ঈশ্বরের প্রতি আকৃষ্ট করে, তা ব্যাখ্যা করুন।	0.9044295	True	True	আল্লাহ্ ও সত্য উপাসনায় মানুষকে আকৃষ্ট করে এমন ঈশ্বরীয় আচরণ কিভাবে ব্যাখ্যা করে।	0.0	tensor([0.8143])	0.22409638554216865
802	[[0.9314885]]	Another brother Rajinder Amarnath is a former first class cricket and current cricket coach.	আরেক ভাই রাজিন্দর অমরনাথ সাবেক প্রথম-শ্রেণীর ক্রিকেটার ও বর্তমানে ক্রিকেট কোচ হিসেবে কাজ করছেন।	0.9314885	True	True	আরেক ভাই রাজিন্দর আমরনাথরা প্রাক্তন প্রথম শ্রেণির ক্রিকেটার এবং বর্তমান ক্রিকেট কোচরা।	0.0	tensor([0.8818])	0.32318840579710145
806	[[0.93239653]]	"""""""""""""""The theme of the singing contest was """"""""""""""""The Chinese Dream and the Beauty of Labour"""""""""""""""", which is part of national propaganda jointly organized by the All China Federation of Trade Unions, the Central Propaganda Department and the China Central Television Station (CCTV)."""""""""""""""	"""""""""""""""সংগীত প্রতিযোগীতাটির মূল বিষয়বস্তু ছিল """"""""""""""""চীনা স্বপ্ন এবং শ্রম সৌন্দর্য"""""""""""""""", যা সমস্ত চীনা ফেডারেশন ট্রেড ইউনিয়নের কেন্দ্রীয় প্রচার বিভাগ এবং চীনা কেন্দ্রীয় টেলিভিশন কেন্দ্র (সিসিটিভি) কর্তৃক যৌথভাবে আয়োজিত। সংগীত প্রতিযোগীতাটি জাতীয় প্রচারণার একটি অংশ।"""""""""""""""	0.93239653	True	True	"""গানের প্রতিযোগিতার বিষয় ছিল """"চাইনিজ ড্রিম এন্ড দ্য বিউটি অফ লেবার"""", যা সমষ্টি প্রচার কার্যক্রমের অংশ হিসেবে সমস্ত চীন ট্রেড ইউনিয়ন ফেডারেশন, কেন্দ্রীয় প্রচার বিভাগ এবং চীন সেন্ট্রাল টেলিভিশন স্টেশন (সিসিটিভি)-এর যৌথ আয়োজনে।"""	0.08	tensor([0.7319])	0.24663158751022185
825	[[0.90620923]]	"""""""""""""""Some of the words used by them, such as barbacoa (""""""""""""""""barbecue""""""""""""""""), hamaca (""""""""""""""""hammock""""""""""""""""), kanoa (""""""""""""""""canoe""""""""""""""""), tabaco (""""""""""""""""tobacco""""""""""""""""), yuca, batata (""""""""""""""""sweet potato""""""""""""""""), and juracn (""""""""""""""""hurricane""""""""""""""""), have been incorporated into Spanish and English."""""""""""""""	"""""""""""""""তাদের ব্যবহৃত কিছু শব্দ, যেমন বারবাকোয়া (""""""""""""""""বারবিকিউ""""""""""""""""), হামাকা (""""""""""""""""হ্যামক""""""""""""""""), কানোয়া (""""""""""""""""ক্যানো""""""""""""""""), তাবাকো (""""""""""""""""তামাক""""""""""""""""), ইউকা, বাটাটা (""""""""""""""""মিষ্টি আলু"""""""""""""""") এবং জুরাকান (""""""""""""""""হারিকেন""""""""""""""""), যা পরবর্তীতে স্প্যানিশ এবং ইংরেজি ভাষায় অন্তর্ভুক্ত করা হয়েছে।"""""""""""""""	0.90620923	True	True	তাঁদের ব্যবহৃত কিছু শব্দ, যেমন বার্বাকোয়া (বার্বিকিউ), হামাকা (হ্যামক), কানোয়া (ক্যানো), তাবাকো (তামাক), ইউকা, বাতাতা (মিষ্টি আলু), এবং জুরাকান (হারিকেন), স্প্যানিশ এবং ইংরেজিতে অন্তর্ভুক্ত হয়েছে।	0.03	tensor([0.7623])	0.21119684561559662
838	[[0.9029598]]	During the fourth week of gestation, the limbs are being formed and it is at this point that alcohol can effect the development of arms, legs, fingers and toes.	গর্ভধারণের চতুর্থ সপ্তাহের মধ্যে অঙ্গপ্রত্যঙ্গগুলির গঠন তৈরি হতে থাকে এবং এই সময়ে মদ্যপান হাত, পা, আঙ্গুল এবং পায়ের আঙ্গুলের বিকাশের উপর প্রভাব ফেলতে পারে।	0.9029598	True	True	গর্ভাবস্থার চতুর্থ সপ্তাহে, অঙ্গসমূহ গঠিত হচ্ছে এবং এই সময়ে মদ্যপান হাত, পা, আঙ্গুল ও পদাঙ্গুলির বিকাশে প্রভাব ফেলতে পারে।	0.25	tensor([0.9050])	0.45179578993055547
852	[[0.9014805]]	Rukonuzzaman's elder brother Harun-or-Rashid said that he would file a case against the police involved in this incident.	রুকনুজ্জামানের বড় ভাই হারুন অর রশিদ জানান, তাঁরা এ ঘটনায় জড়িত পুলিশের বিরুদ্ধে মামলা করবেন।	0.9014805	True	True	রুকনুজ্জামানের বড় ভাই হারুন-অর-রশীদ বলেছেন যে তারা এই ঘটনায় জড়িত পুলিশদের বিরুদ্ধে মামলা দায়ের করবেন।	0.0	tensor([0.9324])	0.39917853934026437
901	[[0.90548646]]	National ID card, birth certificate, various schools, colleges and universities certificates are being made fake.	জাতীয় পরিচয়পত্র, জন্মনিবন্ধন সনদ, বিভিন্ন স্কুল, কলেজ ও বিশ্ববিদ্যালয়ের সনদ হরহামেশাই জাল করা হচ্ছে।	0.90548646	True	True	জাতীয় পরিচয়পত্র, জন্ম সনদ, বিভিন্ন স্কুল, কলেজ ও বিশ্ববিদ্যালয়ের সনদসমূহ জাল করা হচ্ছে।	0.44	tensor([0.9010])	0.6352388869871387
936	[[0.92504054]]	He is the majority owner and co-founder of Bloomberg L.P.	তিনি ব্লুমবার্গ এল. পি. এর সংখ্যাগরিষ্ঠ মালিক এবং সহ-প্রতিষ্ঠাতা।	0.92504054	True	True	তাঁরা ব্লুমবার্গ এল.পি.-র সংখ্যাগরিষ্ঠ মালিক এবং সহ-প্রতিষ্ঠাতা।	0.59	tensor([0.9639])	0.45660377358490567
