idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	ollama_trans	ollama_bleu_score	ollama_f1_score	ollama_meteor_score
107	[[0.90125185]]	Before implementation of 7th Central Pay Commission, the ceiling under CCS (Pension) Rules, 1972 was Rs. 10 Lakh.	7મું પગાર પંચ અમલમાં આવ્યું તે પહેલાં સીસીએસ (પેન્શન) નિયમો-1972 હેઠળ ઉચ્ચત્તમ મર્યાદા રૂ.10 લાખ હતી.	0.90125185	True	True	સત્તાવારોએ ૭મા કેન્દ્રીય પગાર આયોગની અમલીકરણ પહેલા, ૧૯૭૨ના સીસીએસ (પેન્શન) નિયમોમાં છત્તી રૂ. ૧૦ લાખ હતી.	0.19	tensor([0.8083])	0.4056803385416667
221	[[0.9075888]]	Bollywood actor Sushant Singh Rajput's death case is getting complicated with new revelations being made each day.	બોલિવૂડ એક્ટર સુશાંત સિંહ રાજપૂતની મોતને લઈને રોજ નવા નવા ખુલાસા થઈ રહ્યાં છે.	0.9075888	True	True	બોલિવુડના અભિનેતા સુશાંત સિંહ રાજપૂતના મૃત્યુના કેસને દરરોજ નવી ખુલાસાઓ થતાં જટિલ બનતું જાય છે.	0.0	tensor([0.8069])	0.24834437086092717
247	[[0.903666]]	Dr Suess riding a bicycle on a busy car filled street.	ડૉ. સુસે વ્યસ્ત કારથી ભરેલી શેરીમાં સાયકલ ચલાવે છે.	0.903666	True	True	ડૉક્ટર સુસ સાઈકલ પર બેઠા છે અને વ્યસ્ત કાર ભરેલી સ્ટ્રીટ પર જાય છે.	0.0	tensor([0.8110])	0.2768640350877193
294	[[0.91363645]]	Saiyad Usman was the minister of Qutubul Alam, also known as Saiyad Burhanuddin.	સૈયદ ઉસ્માન, કુતુબુલ આલમના મંત્રી હતા, જેમને સૈયદ બુરહાનુદ્દીન પણ કહેવામાં આવે છે.	0.91363645	True	True	સૈયદ ઉસ્માન કુતુબુલ આલમના મંત્રીઓ હતા, જેઓ સૈયદ બુર્હાનુદ્દીન તરીકે પણ ઓળખાતા હતા.	0.0	tensor([0.9399])	0.43287522323161726
322	[[0.92706436]]	Over 85,000 students are enrolled in schools here, which makes up 40 percent of the refugee population.	85,000 થી વધુ વિદ્યાર્થીઓ અહીંની શાળાઓમાં નોંધણી કરાવી છે, જે 40 ટકા બનાવે છે શરણાર્થીઓની વસ્તી.	0.92706436	True	True	અહીં શાળાઓમાં 85,000 થી વધુ વિદ્યાર્થીઓ નામાંકિત છે, જે શરણાર્થી વસતિના 40 ટકા બનાવે છે.	0.35	tensor([0.8837])	0.7055965092063071
435	[[0.90250266]]	Defence Minister Rajnath Singh and Uttar Pradesh Chief Minister Yogi Adityanath attended the event.	આ કાર્યક્રમમાં રક્ષા મંત્રી રાજનાથ સિંહ અને મુખ્ય મંત્રી યોગી આદિત્યનાથ હાજર હતા	0.90250266	True	True	રક્ષા મંત્રીઓ રાજનાથ સિંહ અને ઉત્તર પ્રદેશના મુખ્યમંત્રીઓ યોગી આદિત્યનાથે આ કાર્યક્રમમાં હાજરી આપી.	0.0	tensor([0.8621])	0.48082869511440934
444	[[0.9014485]]	Mira shared the photos on her Instagram story.	મીરાએ આ તસવીર તેની ઇન્સ્ટાગ્રામ સ્ટોરી પર શેર કરી છે.	0.9014485	False	True	મીરાએ તેમના ઈન્સ્ટાગ્રામ સ્ટોરી પર ફોટોઓ શેર કર્યા.	0.0	tensor([0.8835])	0.3444444444444445
451	[[0.94395804]]	The 8GB RAM/256GB storage variant is priced Rs 52,999 and the 12GB RAM/256GB storage variant costs Rs 57,999.	એના 8GBરેમ/256GB સ્ટોરેજ વેરિએન્ટને 52,999 રૂપિયા અને 12GB રેમ/256GB સ્ટોરેડ વેરિએન્ટ 57,999 રૂપિયામાં ખરીદી શકાય છે.	0.94395804	True	True	આ સાઠમાં રેમ/256જીબી સ્ટોરેજ વેરિયન્ટનું મૂલ્ય રૂ. 52,999 છે અને બારમાં રેમ/256જીબી સ્ટોરેજ વેરિયન્ટનું મૂલ્ય રૂ. 57,999 છે.	0.0	tensor([0.7758])	0.245051085568327
463	[[0.90519917]]	Chinese students were also granted scholarships to study Hindi in India.	ભારતમાં હિન્દી શીખવા માટે ચીની વિદ્યાર્થીઓને શિષ્યવૃત્તિ આપવાનું પણ કહેવામાં આવ્યું હતું.	0.90519917	True	True	ચીની વિદ્યાર્થીઓને પણ ભારતમાં હિન્દી અભ્યાસ માટે સ્કોલરશિપ આપવામાં આવી હતી.	0.0	tensor([0.8358])	0.44375889890840053
471	[[0.9222301]]	"""""""""""""""Section 10(1)(i) of The Divorce Act of 1869 says, """"""""""""""""Any marriage solemnized, whether before or after the commencement of the Indian Divorce (Amendment) Act, 2001, may, on a petition presented to the District Court either by the husband or the wife, be dissolved on the ground that since the solemnization of the marriage, the respondent has committed adultery."""""""""""""""""""""""""""""""	"""""""""""""""1869ના તલાક અધિનિયમની કલમ 10(1)(i)માં કહેવામાં આવ્યું છે કે, """"""""""""""""ભારતીય વિવાહ (સંશોધન) અધિનિયમ, 2001 લાગુ થયા પહેલા અને પછી પતિ કે પત્નીમાંથી કોઈ એક દ્વારા જિલ્લા અદાલતમાં દાખલ અરજી પર જો પ્રતિવાદીએ વ્યાભિચાર કર્યો હોય તો લગ્નને સમાપ્ત કરી શકાય છે"""""""""""""""	0.9222301	True	True	"""વર્ષ 1869 ના છૂટાછેડા અધિનિયમની કલમ 10(1)(i) કહે છે કે, """"કોઈ પણ લગ્ન જે પહેલાં કે ભારતીય છૂટાછેડા (સુધારા) અધિનિયમ, 2001 ના અમલીકરણ પહેલાં કે પછી પાક્કી કરવામાં આવ્યું હોય, તેને જિલ્લા અદાલત સમક્ષ પતિ કે પત્ની દ્વારા રજૂ કરવામાં આવેલી અરજી પર તેને ભંગ કરી શકાય છે કે લગ્ન કરવાના પછી પ્રતિવાદીએ વ્યભિચાર કર્યો હોય."""""""	0.25	tensor([0.8084])	0.46561650407804245
