idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	ollama_trans	ollama_bleu_score	ollama_f1_score	ollama_meteor_score
1	[[0.94119275]]	The police have also arrested two accused.	ਪੁਲਿਸ ਨੇ ਦੋ ਸ਼ੱਕੀਆਂ ਨੂੰ ਗਿ੍ਫ਼ਤਾਰ ਵੀ ਕਰ ਲਿਆ ਹੈ।	0.94119275	False	True	ਪੁਲਿਸ ਨੇ ਵੀ ਦੋ ਅਰਾਪੀਆਂ ਨੂੰ ਗਿਰਫਤਾਰ ਕਰ ਲਿਆ ਹੈ।	0.0	tensor([0.8909])	0.7023437500000002
6	[[0.9097312]]	India was wrapped up on 221 after 49.3 overs.	ਭਾਰਤੀ ਟੀਮ 49.3 ਓਵਰਾਂ 'ਚ 221 ਦੌੜਾਂ ਬਣਾ ਕੇ ਆਲ ਆਊਟ ਹੋ ਗਈ।	0.9097312	True	True	ਭਾਰਤ ਨੂੰ 49.3 ਓਵਰਾਂ ਬਾਅਦ 221 ਉੱਤੇ ਲਪੇਟ ਲਿਆ ਗਿਆ ਸੀ।	0.0	tensor([0.7857])	0.18653690186536898
62	[[0.903995]]	It is the last phase of Lok Sabha elections.	ਇਹ ਲੋਕ ਸਭਾ ਚੋਣਾਂ ਦਾ ਆਖ਼ਰੀ ਪੜਾਅ ਹੈ ।	0.903995	True	True	ਇਹ ਲੋਕ ਸਭਾ ਚੋਣਾਂ ਦੀ ਆਖਰੀ ਪੜਾਅ ਹੈ।	0.32	tensor([0.9746])	0.5438202247191011
72	[[0.9015517]]	Sony and Amazon are the latest companies to pull out of a major European technology show over virus fears.	ਸੋਨੀ ਅਤੇ ਐਮਾਜ਼ਾਨ ਵਾਇਰਸ ਦੇ ਡਰ 'ਤੇ ਯੂਰਪੀਅਨ ਟੈਕਨਾਲੋਜੀ ਦੇ ਇਕ ਵੱਡੇ ਪ੍ਰਦਰਸ਼ਨ ਨੂੰ ਬਾਹਰ ਕੱ toਣ ਲਈ ਨਵੀਨਤਮ ਕੰਪਨੀਆਂ ਹਨ.	0.9015517	True	True	ਸੋਨੀ ਅਤੇ ਐਮਾਜ਼ੋਨ ਯੂਰਪੀ ਟੈਕਨਾਲੋਜੀ ਸ਼ੋ ਵਿੱਚ ਵਾਇਰਸ ਦੇ ਡਰੋਂ ਪਿੱਛੇ ਹਟਣ ਵਾਲੀਆਂ ਨਵੀਆਂ ਕੰਪਨੀਆਂ ਹਨ।	0.0	tensor([0.8267])	0.19120577977080214
77	[[0.94463575]]	Prime Minister's Office PM meets members of JP Morgan International Council PM met with the JP Morgan International Council in New Delhi today.	ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਦਫਤਰ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨੇ ਜੇਪੀ ਮੌਰਗਨ ਇੰਟਰਨੈਸ਼ਨਲ ਕੌਂਸਲ ਦੇ ਮੈਂਬਰਾਂ ਨਾਲ ਮੀਟਿੰਗ ਕੀਤੀ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨੇ ਅੱਜ ਨਵੀਂ ਦਿੱਲੀ ਵਿੱਚ ਜੇਪੀ ਮੌਰਗਨ ਇੰਟਰਨੈਸ਼ਨਲ ਕੌਂਸਲ ਨਾਲ ਮੀਟਿੰਗ ਕੀਤੀ।	0.94463575	True	True	ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਦਫਤਰ ਵਿੱਚ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਜੇ ਪੀ ਮੋਰਗਨ ਇੰਟਰਨੈਸ਼ਨਲ ਕੌਂਸਲ ਦੇ ਮੈਂਬਰਾਂ ਨਾਲ ਮੁਲਾਕਾਤ ਕੀਤੀ। ਆਜ ਨਵੀਂ ਦਿੱਲੀ ਵਿੱਚ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨੇ ਜੇ ਪੀ ਮੋਰਗਨ ਇੰਟਰਨੈਸ਼ਨਲ ਕੌਂਸਲ ਨਾਲ ਮੁਲਾਕਾਤ ਕੀਤੀ।	0.26	tensor([0.8864])	0.6702482876712328
81	[[0.91540253]]	The Board of Governor meetings of the Army Welfare Housing Origination (AWHO) and Army Welfare Education Society (AWES) were also organised during the event.	ਆਯੋਜਨ ਦੇ ਦੌਰਾਨ ਆਰਮੀ ਵੇਲਫੇਅਰ ਹਾਊਸਿੰਗ ਔਰਗਨਾਈਜੇਸ਼ਨ ( ਐੱਡਬਿਲਊਏਐੱਚਓ) ਅਤੇ ਆਰਮੀ ਵੇਲਫੇਅਰ ਐਜੂਕੇਸ਼ਨ ਸੋਸਾਇਟੀ (ਏਡਬਲਿਊਈਐੱਸ) ਦੇ ਬੋਰਡ ਆਵ੍ ਗਵਰਨਰ ਦੀਆਂ ਬੈਠਕਾਂ ਦਾ ਵੀ ਆਯੋਜਨ ਕੀਤਾ ਗਿਆ।	0.91540253	True	True	ਸainika ਕਲਿਆਣ ਹਾਊਸਿੰਗ ਆਰਗੇਨਾਈਜੇਸ਼ਨ (ਏਡਬਲਿਊਐਚਓ) ਅਤੇ ਸainika ਕਲਿਆਣ ਸਿੱਖਿਆ ਸੋਸਾਇਟੀ (ਏਡਬਲਿਊਈਐਸ) ਦੀਆਂ ਗਵਰਨਰਜ਼ ਬੋਰਡ ਦੀਆਂ ਮੀਟਿੰਗਾਂ ਵੀ ਇਸ ਈਵੈਂਟ ਦੌਰਾਨ ਆਯੋਜਿਤ ਕੀਤੀਆਂ ਸੀਆਂ।	0.0	tensor([0.8121])	0.27734733700642783
101	[[0.9078176]]	There also is uncertainty about an order from Norwegian Air for 92 MAX planes and five 787 planes after four subsidiaries filed for bankruptcy.	ਦੀਵਾਲੀਆਪਣ ਲਈ ਦਾਇਰ ਚਾਰ ਸਹਾਇਕ ਕੰਪਨੀਆਂ ਦੇ ਬਾਅਦ ਨਾਰਵੇਈਅਨ ਏਅਰ ਦੇ 92 ਮੈਕਸ ਜਹਾਜ਼ਾਂ ਅਤੇ ਪੰਜ 787 ਜਹਾਜ਼ਾਂ ਲਈ ਆਰਡਰ ਦੇਣ ਬਾਰੇ ਵੀ ਅਸਪਸ਼ਟਤਾ ਹੈ.	0.9078176	True	True	ਉਨ੍ਹਾਂ ਦੇ ਨਾਰਵੇਜਿਅਨ ਏਅਰ ਤੋਂ ਵੀ 92 ਮੈਕਸ ਜਹਾਜ਼ਾਂ ਅਤੇ ਪੰਜ ਜਹਾਜ਼ਾਂ 787 ਦੇ ਆਰਡਰ ਬਾਰੇ ਵੀ ਅਨਿਸ਼ਚਿਤਤਾ ਹੈ ਜਦੋਂ ਚਾਰ ਸਹਾਇਕ ਕੰਪਨੀਆਂ ਨੇ ਦਿਵਾਲੀਆਪਨ ਲਈ ਅਰਜ਼ੀਆਂ ਦਾਇਰ ਕੀਤੀਆਂ ਹਨ.	0.2	tensor([0.8409])	0.6510849056603775
109	[[0.9229362]]	In a bid to ensure hassle-free enrolment of farmers, the Ministry of Agriculture and Farmers Welfare provided training to 29,275 officials from banks, insurance companies, Common Service Centres (CSC), State Level Bankers' Committee (SLBC), Village Level Entrepreneurs (VLEs), State and District level Agriculture and ATMA officials etc.	ਕਿਸਾਨਾਂ ਦੇ ਮੁਸ਼ਕਿਲ-ਰਹਿਤ ਦਾਖਲੇ ਨੂੰ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ, ਖੇਤੀਬਾੜੀ ਅਤੇ ਕਿਸਾਨ ਭਲਾਈ ਮੰਤਰਾਲੇ ਨੇ ਬੈਂਕਾਂ, ਬੀਮਾ ਕੰਪਨੀਆਂ, ਕਾਮਨ ਸਰਵਿਸ ਸੈਂਟਰ (ਸੀਐੱਸਸੀ), ਰਾਜ ਪੱਧਰੀ ਬੈਂਕਰ ਕਮੇਟੀ (ਐੱਸਐਲਬੀਸੀ), ਪਿੰਡ ਪੱਧਰ ਦੇ ਉੱਦਮੀਆਂ, ਰਾਜ ਅਤੇ ਜ਼ਿਲ੍ਹਾ ਪੱਧਰੀ ਖੇਤੀਬਾੜੀ ਅਤੇ ਆਤਮਾ ਅਧਿਕਾਰੀ ਆਦਿ ਦੇ 29,275 ਅਧਿਕਾਰੀਆਂ ਨੂੰ ਸਿਖਲਾਈ ਦਿੱਤੀ।	0.9229362	True	True	ਕਿਸਾਨਾਂ ਦੇ ਹਸਲ-ਮੁਕਤ ਦਾਖਲੇ ਨੂੰ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ, ਖੇਤੀਬਾੜੀ ਅਤੇ ਕਿਸਾਨ ਭਲਾਈ ਦੇ ਮੰਤਰਾਲੇ ਨੇ ਬੈਂਕਾਂ, ਬੀਮਾ ਕੰਪਨੀਆਂ, ਕਾਮਨ ਸਰਵਿਸ ਸੈਂਟਰਾਂ (ਸੀ ਐਸ ਸੀ), ਰਾਜ ਪੱਧਰ ਦੇ ਬੈਂਕਰਾਂ ਦੀ ਕਮੇਟੀ (ਐਸ ਐਲ ਬੀ ਸੀ), ਪਿੰਡ ਪੱਧਰ ਦੇ ਉੱਦਮੀਆਂ (ਵੀ ਐਲ ਈਜ਼), ਰਾਜ ਅਤੇ ਜ਼ਿਲ੍ਹਾ ਪੱਧਰ ਦੇ ਖੇਤੀਬਾੜੀ ਅਤੇ ਏ ਟੀ ਐਮ ਏ ਅਫ਼ਸਰਾਂ ਆਦਿ ਲਈ ਟ੍ਰੇਨਿੰਗ ਪ੍ਰਦਾਨ ਕੀਤੀ।	0.38	tensor([0.8689])	0.676909551310061
111	[[0.91166687]]	"""""""""""""""""""""""""""""""Jain personally told me that he had settled a land deal worth Rs 50 crore of Kejriwal's relative."""""""""""""""	’’ ਉਨ੍ਹਾਂ ਕਿਹਾ, ‘‘ਜੈਨ ਨੇ ਮੈਨੂੰ ਨਿੱਜੀ ਤੌਰ ਉਤੇ ਦੱਸਿਆ ਕਿ ਉਸ ਨੇ ਕੇਜਰੀਵਾਲ ਦੇ ਰਿਸ਼ਤੇਦਾਰ ਨਾਲ ਤਕਰੀਬਨ 50 ਕਰੋੜ ਦੇ ਜ਼ਮੀਨੀ ਸੌਦੇ ਦਾ ਨਿਬੇੜਾ ਕੀਤਾ ਹੈ।	0.91166687	True	True	ਉਹਨਾਂ ਨੇ ਮੇਰੇ ਨਾਲ ਵਿਅਕਤੀਗਤ ਤੌਰ 'ਤੇ ਦੱਸਿਆ ਕਿ ਉਹਨਾਂ ਨੇ ਕੇਜਰੀਵਾਲ ਦੇ ਰਿਸ਼ਤੇਦਾਰ ਦੀ 50 ਕਰੋੜ ਰੁਪਏ ਦੀ ਜਮੀਨ ਸੌਦਾ ਤੈਅ ਕਰ ਲਿਆ ਸੀ।	0.12	tensor([0.8226])	0.2912884433003658
119	[[0.93246776]]	According to the information, there are approximately 42,000 public school teachers in British Columbia.	ਜਾਣਕਾਰੀ ਮੁਤਾਬਕ, ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ ‘ਚ ਲਗਭਗ 42,000 ਪਬਲਿਕ ਸਕੂਲ ਅਧਿਆਪਕ ਹਨ।	0.93246776	True	True	ਸੂਚਨਾ ਅਨੁਸਾਰ, ਬਰਤਾਨਵੀ ਕੋਲੰਬੀਆ ਵਿੱਚ ਲਗਭਗ 42,000 ਜਨਤਕ ਸਕੂਲ ਅਧਿਆਪਕ ਹਨ।	0.0	tensor([0.8815])	0.4920107577914886
