idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	ollama_trans
88	[[0.94008607]]	An additional program is required to open this type of file:	এই ধৰণৰ ফাইল খোলাৰ বাবে এটা অতিৰিক্ত এপ্লিকেচনৰ প্ৰয়োজন:	0.94008607	True	True	আইতা ধরণৰ ফাইল খোলাৰ বাবে অতিৰিক্ত কাৰ্যসূচী প্ৰয়োজন:
130	[[0.92354065]]	Permission denied for (document.domain=) to set property %2$S.%3$S on (document.domain=).	(document.domain=) ত সম্পত্তি %2$S.%3$S সংহতি কৰিবলে (document.domain=) ক অনুমতি নাকচ কৰা হৈছে।	0.92354065	True	True	অনুমতি অস্বীকৃত কৰা হৈছে (document.domain=) ক তেওঁলোকে %2$S.%3$S বৈশিষ্ট্য স্থাপন কৰিবলৈ।
275	[[0.9518236]]	Is this website storing information on my computer?	এই ৱেবছাইটটোৱে মোৰ কম্পিউটাৰত তথ্য সঞ্চয় কৰি আছে নেকি?	0.9518236	False	True	এই ৱেবছাইটটো আমাৰ কম্পিউটাৰত তথ্য সংৰক্ষণ কৰিছে নেকি?
318	[[0.9370712]]	These rules will remain in force until the area is declared safe under the regulations of the Ministry of Health and Family Welfare, Government of India.	ভাৰত চৰকাৰৰ স্বাস্থ্য আৰু পৰিয়াল কল্যাণ মন্ত্ৰালয়ৰ নিয়মাৱলীৰ আধাৰত এই এলেকা সুৰক্ষিত বুলি ঘোষণা নোহোৱা পৰ্যন্ত এই নিয়ম সমূহ বাহাল থাকিব ৷	0.9370712	True	True	এই নিয়মসমূহ স্বাস্থ্য আৰু পৰিবাৰ কল্যাণ মন্ত্ৰালয়, ভাৰত চৰকাৰৰ নিয়মাৱলী অনুসাৰে এলাকাটো নিৰাপদ ঘোষণা কৰা হয় নোয়াৰী পৰ্যন্ত বলবৎ থাকিব।
464	[[0.9106775]]	{ -screenshots-brand-name } is disabled in Private Browsing Mode	ব্যক্তিগত ব্ৰাউজিং ম'ডত { -screenshots-brand-name } নিষ্ক্ৰিয় কৰা হয়	0.9106775	True	True	আপোনাৰ স্ক্ৰীনশট-ব্ৰাণ্ড-নাম ব্যক্তিগত ব্ৰাউজিং মোডত নিষ্ক্ৰিয় কৰা হৈছে
467	[[0.9070334]]	His father was Abdul Rahman Khan from Kandahar, Afghanistan while his mother was Iqbal Begum from Pishin, British India (now in Balochistan, Pakistan).	তেওঁৰ পিতৃ আব্দুল ৰহমান খান কান্দাহাৰ আৰু মাতৃ ইকবাল বেগম ব্ৰিটিছ ভাৰতৰ পিশ্বীনৰ (বৰ্তমান পাকিস্তানৰ বেলুচিস্থান) আছিল।	0.9070334	True	True	তেওঁলোকৰ পিতৃ আব্দুল ৰহমান খান আফগানিস্তানৰ কান্দাহাৰৰ পৰা আহিছিল, আনহাতে তেওঁলোকৰ মাতৃ ইকবাল বেগম ব্ৰিটিছ ভাৰতৰ পিশিনৰ পৰা আহিছিল (এতিয়া পাকিস্তানৰ বালোচিস্তানত)।
610	[[0.9130446]]	Your computer must be restarted in order to complete the installation of $BrandFullNameDA. Do you want to reboot now?	$BrandFullNameDA ৰ ইনস্টল সম্পূৰ্ণ কৰিবলৈ আপোনাৰ কমপিউটাৰ পুনাৰম্ভ কৰিব লাগিব। আপুনি এতিয়া পুনাৰম্ভ কৰিব বিচাৰে নে?	0.9130446	True	True	আপোনাৰ কম্পিউটাৰটো ইনস্টলেশন সম্পূৰ্ণ কৰিবলৈ $BrandFullNameDA ৰ ইনস্টলেশন সম্পূৰ্ণ কৰিবলৈ পুনৰারম্ভ কৰিব লাগিব। এতিয়া আপুনি পুনৰারম্ভ কৰিব খোজে?
710	[[0.900047]]	There is not sufficient memory to complete the action you requested.\n\nQuit some applications and try again.	আপুনি অনুৰোধ কৰা কাৰ্য্য সম্পূৰ্ণ কৰিবলৈ পৰ্যাপ্ত স্মৃতিশক্তি নাই।\n\nকিছুমান এপ্লিকেচন বাতিল কৰি পুনঃ চেষ্টা কৰক।	0.900047	True	True	আপনাতোকে আগত কাৰ্য সম্পূৰ্ণ কৰিবলৈ যথেষ্ট স্মৃতি নাই। কিছু এপ্লিকেচন বন্ধ কৰি পুনৰ চেষ্টা কৰক।
724	[[0.9035099]]	The High Speed Railway cooperation between India and Japan is a shining example of the strength of our cooperation.	ভাৰত-জাপানৰ মাজত দ্ৰুত গতিৰ ৰে’লপথৰ সহযোগিতা, আমাৰ শক্তিশালী সহযোগিতাৰ এক উজ্জল নিদৰ্শন।	0.9035099	True	True	ভাৰত আৰু জাপানৰ উচ্চ গতি ৰেলৱে সহযোগিতা আমাৰ সহযোগিতাৰ শক্তিৰ এক দীপ্ত উদাহৰণ।
826	[[0.9036701]]	"""""""The action to take when the system hibernate button is pressed. Possible values are """"""""suspend"""""""", """"""""hibernate"""""""", """"""""interactive"""""""", """"""""shutdown"""""""" and """"""""nothing""""""""."""""""	"""""""সিস্টেম নিদ্ৰাৰ বুটাম টেপা হ'লে সঞ্চালনৰ বাবে নিৰ্ধাৰিত কৰ্ম । সম্ভাব্য মান হ'ল """"""""suspend"""""""", """"""""hibernate"""""""", """"""""interactive"""""""", """"""""shutdown"""""""" আৰু """"""""nothing"""""""" ।"""""""	0.9036701	True	True	"তেওঁলোকে সিস্টেমৰ হাইবাৰনেট বাটন চাপন কৰা হয় তেন্তে লোৱা কাৰ্য্য। সম্ভাৱ্য মূল্যসমূহ হ'ল ""সাস্পেন্ড"", ""হাইবাৰনেট"", ""ইন্টাৰেক্টিভ"", ""শাটডাউন"" আৰু ""নাথিং""।"
