idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	ollama_trans
2	[[0.9089173]]	The Congress leader represents Sivaganga Lok Sabha segment from Tamil Nadu.	कांग्रेस नेता तमिलनाडु से शिवगंगा लोकसभा क्षेत्र का प्रतिनिधित्व करते हैं.	0.9089173	True	True	कांग्रेस नेता तमिलनाडु से सिवगंगा लोक सभा सegment का प्रतिनिधित्व करते हैं।
11	[[0.93867517]]	All 176 passengers died in the incident.	इस विमान हादसे में सभी 176 यात्रियों की मौत हो गई थी.	0.93867517	False	True	सभी १७६ यात्रियों की इस घटना में मृत्यु हो गई।
21	[[0.93960845]]	Fortis Healthcares MD and CEO Dr Ashutosh Raghuvanshi, senior Vice President (Corporate Affairs and CSR) Manu Kapila, SRLs CEO Anand Kumar presented the cheque to Indian Council of Medical Research (ICMR) Director General Prof (DR) Balram Bhargav and senior financial advisor Rajiv Roy	फोर्टिस हेल्थकेयर के एमडी और सीईओ डॉ. आशुतोष रघुवंशी, वरिष्ठ वाइस प्रेसिडेंट (कोरपोरेट मामले एवं सीएसआर) मनु कपिला, एसआरएल के सीईओ आनंद कुमार ने चैक भारतीय चिकित्सा अनुसंधान परिषद (आईसीएमआर) के महानिदेशक प्रोफेसर (डॉ.) बलराम भार्गव और वरिष्ठ वित्त सलाहकार राजीव रॉय को सौंपा	0.93960845	True	True	फोर्टिस हेल्थकेयर के एमडी और सीईओ डॉक्टर अशुतोष रघुवंशी, सीनियर वाइस प्रेसिडेंट (कॉर्पोरेट अफेयर्स और सीएसआर) मनु कपिला, एसआरएल के सीईओ आनंद कुमार ने चेक इंडियन काउंसिल ऑफ मेडिकल रिसर्च (आईसीएमआर) के निदेशक महोदय प्रोफेसर (डॉक्टर) बलराम भार्गव और वरिष्ठ वित्तीय सलाहकार राजीव रॉय को प्रस्तुत किया।
66	[[0.9256681]]	Odisha Chief Minister Naveen Patnaik held discussion with ArcelorMittal Group Chairman Lakshmi Mittal on investment in the state via video conferencing.	ओडिशा के मुख्यमंत्री नवीन पटनायक ने आर्सेलरमित्तल समूह के चेयरमैन लक्ष्मी मित्तल से राज्य में निवेश पर वीडियो कॉन्फ्रें सिंग के जरिए चर्चा की।	0.9256681	True	True	ओडिशा के मुख्यमंत्री नवीन पटनायक ने आर्सेलरमिट्टल ग्रुप के अध्यक्ष लक्ष्मी मित्तल से राज्य में निवेश पर वीडियो कॉन्फ्रेंसिंग के माध्यम से विचार-विमर्श किया।
85	[[0.9245188]]	He was later taken to a hospital and treated.	बाद में उसे अस्पताल ले जाया गया और इलाज किया गया।	0.9245188	True	True	उन्हें बाद में एक अस्पताल ले जाया गया और उनका इलाज किया गया।
103	[[0.9459657]]	The Prime Minister, Shri Narendra Modi interacted with Karnataka Chief Minister, Shri B S Yediyurappa on the rainfall and flood situation in various parts of Karnataka.	प्रधानमंत्री श्री नरेन्द्र मोदी ने कर्नाटक के मुख्यमंत्री श्री बी एस येदियुरप्पा के साथ राज्य के विभिन्न हिस्सों में बारिश और बाढ़ की स्थिति पर बातचीत की।	0.9459657	True	True	प्रधानमंत्री श्री नरेंद्र मोदी जी ने कर्नाटक के मुख्यमंत्री श्री बी एस येदियुरप्पा जी से कर्नाटक के विभिन्न हिस्सों में बारिश और बाढ़ की स्थिति पर विचार-विमर्श किया।
108	[[0.94141555]]	Auto Expo is co-organised by the Society of Indian Automobile Manufacturers (SIAM), the Confederation of Indian Industry (CII) and the Automotive Component Manufacturers Association of India (ACMA).	सोसायटी ऑफ इंडियन ऑटोमोबाइल मैन्‍यूफैक्‍चरर्स (सियाम) इस ऑटो एक्‍सपो का आयोजन ऑटोमोटिव कम्‍पोनेंट मैन्‍यूफैक्‍चरर्स एसोसिएशन ऑफ इंडिया (एकमा) और कन्‍फेडरेशन ऑफ इंडियन इंडस्‍ट्री (सीआईओ) के साथ मिलकर कर रही है।	0.94141555	True	True	ऑटो एक्सपो सोसायटी ऑफ इंडियन ऑटोमोबाइल मैन्युफैक्चरर्स (एसआईएएम), कॉन्फेडरेशन ऑफ इंडियन इंडस्ट्री (सीआईआई) और ऑटोमोटिव कंपोनेंट मैन्युफैक्चरर्स एसोसिएशन ऑफ इंडिया (एसीएमए) के द्वारा संयुक्त रूप से आयोजित किया जाता है.
126	[[0.9179205]]	He was speaking on the occasion of inauguration of National Conference on 'Ushering Second Green Revolution in Indian Agriculture through Public-Private Partnership' organized by the Ministry of Agriculture in collaboration with the Confederation of Indian Industry (CII) today (December 11, 2012) at Vigyan Bhawan, New Delhi.	वह आज (11 दिसम्बर, 2012) विज्ञान भवन, नई दिल्ली में भारतीय उद्योग परिसंघ के सहयोग से कृषि मंत्रालय द्वारा आयोजित सार्वजनिक-निजी साझीदारी के माध्यम से भारतीय कृषि में दूसरी हरित क्रांति पर राष्ट्रीय सम्मेलन के उद्घाटन के अवसर पर बोल रहे थे।	0.9179205	True	True	वे राष्ट्रीय सम्मेलन के उद्घाटन अवसर पर बोल रहे थे जिसका शीर्षक 'भारतीय कृषि में दूसरी हरित क्रांति का सूत्रपात सार्वजनिक-निजी साझेदारी के माध्यम से' है जिसका आयोजन कृषि मंत्रालय ने भारतीय उद्योग परिसंघ (सीआईआई) के सहयोग से आज (दिसंबर 11, 2012) विज्ञान भवन, नई दिल्ली में किया था।
127	[[0.91193146]]	Later this report was also circulated widely in social media.	बाद में इस रिपोर्ट को सोशल मीडिया में भी व्यापक रूप से प्रसारित किया गया।	0.91193146	True	True	इसकी रिपोर्ट को बाद में सोशल मीडिया में व्यापक रूप से प्रसारित किया गया।
156	[[0.9088141]]	The exhibition will be open from December 22 - 31, 2015 (11:00 A.M- 8:00 P.M) on all days.	इस प्रदर्शनी का शुभारंभ 22 से 31 दिसम्‍बर, 2015 तक सभी दिवसों में सुबह 11 बजे से सांय 8 बजे तक होगा।	0.9088141	True	True	प्रदर्शनी दिसंबर 22 - 31, 2015 (सुबह 11:00 बजे - शाम 8:00 बजे) सभी दिनों में खुली रहेगी।
185	[[0.9089726]]	There is no response from the government yet.	सरकार की और से इसपर अभी कोई प्रतिक्रिया नहीं मिल पाई है।	0.9089726	False	True	सरकार की ओर से अभी तक कोई प्रतिक्रिया नहीं है।
202	[[0.9061848]]	The military officers were waiting with a car for Gandhiji.	सैन्य अधिकारी एक गाड़ी लेकर गांधीजी की प्रतीक्षा कर रहे थे।	0.9061848	True	True	सेना अधिकारी उनके लिए एक कार के साथ प्रतीक्षा कर रहे थे।
211	[[0.91424656]]	After completing a Masters from the Delhi School of Social Work, Nandita Das started teaching.	दिल्ली स्कूल ऑफ सोशल वर्क से मास्टर्स पूरा करने के बाद, नंदिता दास ने पढ़ाना शुरू किया।	0.91424656	True	True	दिल्ली स्कूल ऑफ सोशल वर्क से मास्टर्स पूरा करने के बाद, नंदिता दास ने शिक्षण प्रारंभ किया।
