idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	ollama_trans
171	[[0.90606475]]	For example, the moving ice carved out the landscape in Canada (See Canadian Arctic Archipelago), Greenland, northern Eurasia and Antarctica.	உதாரணத்திற்கு, கனடா (பார்க்க கனடிய ஆர்டிக் தீவுகள்), கிரீன்லாந்து, வடக்கு யூரோஷியா மற்றும் அண்டார்டிகா ஆகியவற்றில் நகரும் பனிக்கட்டி நிலவமைப்பை சுரண்டியிருக்கிறது.	0.90606475	True	True	உதாரணமாக, நகரும் பனிக்கட்டி கனடாவில் (கனேடிய ஆர்க்டிக் தீவுக்கூட்டங்களைப் பார்க்கவும்), கிரீன்லாந்தில், வடக்கு யுரேசியாவில் மற்றும் அண்டார்டிக்காவில் நிலப்பரப்பை உருவாக்கியது.
239	[[0.90719354]]	Click Mails pulldown menu and Select Options.	Mails pulldown menu ஐக் கிளிக் பண்ணி அதில் Options (விருப்பத்தேர்வுகள்) ஐத் தெரிவு செய்யவும்	0.90719354	False	True	தகவல் அஞ்சல்களின் புள்ளிவிவர பட்டியில் கிளிக் செய்து விருப்பங்களை தேர்ந்தெடுக்கவும்.
271	[[0.94120526]]	Cape Town is the economic hub of the Western Cape province, South Africa's second main economic centre and Africa's third main economic hub city.	கேப் டவுன் மேற்கு கேப் மாகாணத்தின் பொருளாதார மையமாக விளங்குகிறது, தென்னாப்பிரிக்காவின் இரண்டாவது முக்கிய பொருளாதார மையம் மற்றும் ஆப்பிரிக்காவின் மூன்றாவது முக்கிய பொருளாதார மையம் ஆகும்.	0.94120526	True	True	கேப் டவுன் மேற்கு கேப் மாகாணத்தின் பொருளாதார நடுவம் ஆகும், தென்னாப்பிரிக்காவின் இரண்டாம் பெரிய பொருளாதார மையம் மற்றும் ஆப்பிரிக்காவின் மூன்றாம் பெரிய பொருளாதார நகரம் ஆகும்.
412	[[0.91183287]]	It is connected through both road and rail.	இது சாலை மற்றும் தொடருந்து பாதை ஆகிய இண்டின் வழியாகவும் இணைக்கப்பட்டுள்ளது.	0.91183287	False	True	அவை சாலையும் இருப்புப் பாதையும் வழியாக இணைக்கப்பட்டுள்ளன.
497	[[0.92081076]]	Police are carrying out further investigation into the incident.	இச் சம்பவம் குறித்து மேலதிக விசாரணைகளை பதுளை பொலிஸார் மேற்கொண்டு வருகின்றனர்.	0.92081076	True	True	அவர்கள் நிகழ்வில் மேலதிக விசாரணையை நடத்தி வருகின்றனர்.
569	[[0.9051283]]	More than 150 students are studying these courses.	இந்த பள்ளியில் 150க்கும் மேற்பட்ட மாணவ – மாணவிகள் படித்து வருகின்றனர்.	0.9051283	False	True	இந்த பாடங்களை 150க்கும் மேற்பட்ட மாணவர்கள் படித்து வருகின்றனர்.
578	[[0.9069974]]	The total Revenue and Capital Expenditure till end-December 2004, according to the pre actuals, is estimated at Rs.20,767.03 crores.	உத்தேச கணக்குகளின் நிலவரப்படி, 2004 டிசம்பர் இறுதி வரையில் வருவாய் மற்றும் மூலதனக் கணக்கில் மொத்த செலவு ரூபாய் 20767.03 கோடி என மதிப்பிடப்பட்டுள்ளது.	0.9069974	True	True	இதுவரை டிசம்பர் 2004 வரை, முன்கணக்கின்படி, மொத்த வருவாய் மற்றும் தலைவிரயம் ரூ.20,767.03 கோடி என மதிப்பிடப்படுகிறது.
647	[[0.9237896]]	Hindi is the most widely spoken language in the northern parts of India.	இந்தியாவின் வடக்குப் பகுதிகளில் மிகவும் பரவலாக பேசப்படும் மொழி இந்தி ஆகும்.	0.9237896	True	True	இந்தியின் வடக்கு பகுதிகளில் பேசப்படும் மிகவும் பொதுவான மொழி இந்தி ஆகும்.
673	[[0.923679]]	Nallathangal Dam is a dam Near Dharapuram in Tirupur district of Tamil Nadu, south India.	நல்லதங்காள் அணை (Nallathangal Dam) என்பது இந்தியாவின், தமிழ்நாட்டின், திருப்பூர் மாவட்டத்தில் உள்ள தாராபுரத்திற்கு அருகில் அமைந்துள்ள ஒரு அணையாகும்.	0.923679	True	True	நல்லாதங்கள் அணை திருப்பூர் மாவட்டத்தில் தாராபுரம் அருகில் தமிழ்நாட்டில், தென்னிந்தியாவில் உள்ளது.
732	[[0.90812516]]	The police had arrested father and brother of Neenu in connection with the murder of Kevin Joseph.	கெவினை கொலை செய்த குற்றத்திற்காக நீனுவின் தந்தை மற்றும் அண்ணனை பொலிசார் கைது செய்துள்ளனர்.	0.90812516	True	True	அவர்கள் கேவின் ஜோசப்பின் கொலையுடன் தொடர்புடையதாக நீனுவின் தந்தையர்களையும் சகோதரர்களையும் கைது செய்தனர்.
733	[[0.9246439]]	The Prime Minister, Shri Narendra Modi, today addressed the 8th International Convention of Saurashtra Patel Cultural Samaj through video conference.	பிரதமர் திரு. நரேந்திர மோடி இன்று நடந்த எட்டாவது சர்வதேச சவுராஷ்டிரா பட்டேல் கலாச்சார சமாஜ் மாநாட்டில் காணொலி காட்சி மூலம் உரையாற்றினார்.	0.9246439	True	True	இன்று, பிரதமர்கள், திரு நரேந்திர மோடி அவர்கள், சௌராஷ்டிர படேல் கலாசார சமாஜ் இன் 8வது சர்வதேச மாநாட்டில் காணொளி மூலம் உரையாற்றினார்கள்.
750	[[0.9345168]]	He was received by Governor Banwarilal Purohit, Chief Minister Edappadi K Palaniswami and Deputy CM O Panneerselvam at the airport.	விமான நிலையத்தில் அவரை ஆளுநர் பன்வாரிலால் புரோகித், முதலமைச்சர் எடப்பாடி பழனிச்சாமி, துணை முதலமைச்சர் ஓ. பன்னீர்செல்வம் உள்ளிட்டோர் வரவேற்றனர்.	0.9345168	True	True	அவர்கள் ஆளுநர் பன்வாரிலால் புரோகித், முதல்வர்கள் எடப்பாடி கே. பழனிசாமி மற்றும் துணை முதல்வர்கள் ஓ. பன்னீர்செல்வம் ஆகியோரால் விமான நிலையத்தில் வரவேற்கப்பட்டார்.
786	[[0.9367422]]	BJP president Amit Shah is a director in the bank.	அந்த வங்கியின் இயக்குனராக பா. ஜ. க. தலைவர் அமித் ஷா உள்ளார்.	0.9367422	True	True	பாரதீய ஜனதா கட்சியின் தலைவர்கள் அமித் ஷா அவர்கள் வங்கியின் இயக்குநர்கள் ஆவர்.
920	[[0.9226195]]	In 1991, Gemini Consulting was formed through the integration of two management consulting firms (United Research and The MAC group).	1991 ஆம் ஆண்டில், ஜெமினி ஆலோசனை நிறுவனமானது இரண்டு மேலாண்மை கலந்தாய்வு நிறுவனங்கள் (ஐக்கிய ஆராய்ச்சி மற்றும் MAC குழு) ஒருங்கிணைத்து உருவாக்கப்பட்டது.	0.9226195	True	True	1991ல், ஜெமினி கன்சல்ட்டிங் இரண்டு மேலாண்மை ஆலோசனை நிறுவனங்கள் (யுனைட்டட் ரிசர்ச் மற்றும் தி மேக் குரூப்) இணைக்கப்பட்டதன் மூலம் உருவாக்கப்பட்டது.
1020	[[0.9052834]]	He has been treating burn patients for free since 1985.	இவர் 1985 முதல் தீயினால் பாதிக்கப்பட்ட நோயாளிகளுக்கு இலவசமாக சிகிச்சை அளித்து வருகிறார்.	0.9052834	True	True	அவர்கள் 1985 முதல் இலவசமாக எரிச்சாய்வு நோயாளிகளுக்கு சிகிச்சை அளித்து வருகின்றனர்.
1144	[[0.90910804]]	1, 2. (a) In what sense are true Christians at war?	1, 2. ( அ) உண்மைக் கிறிஸ்தவர்கள் எப்படிப்பட்ட போரில் ஈடுபட்டிருக்கிறார்கள்?	0.90910804	True	True	"Here are the translations:1. உண்மையான கிறிஸ்தவர்கள் எந்த பொருட்டில் போராடுகின்றனர்? (Note: I've used the plural form கிறிஸ்தவர்கள் ( Kristhavar-kal) instead of கிறிஸ்தவன் (Kristhavan) to indicate respect.)"
1299	[[0.9424598]]	However, there was nothing phony about the sudden attack by the Germans on May 10, 1940.	என்றபோதிலும், 1940 மே 10 ஜெர்மானியர்களின் திடீர் தாக்குதலில் போலித்தனம் எதுவுமிருக்கவில்லை.	0.9424598	True	True	ஆனால், 1940 மே 10 அன்று ஜெர்மனியர்கள் திடீரென்று நடத்திய தாக்குதல் பொய்யானது எதுவும் இல்லை.
1330	[[0.9072356]]	If the land was Chinese: 1.Why were our soldiers killed?	அந்தப் பகுதி சீனப் பகுதியாக இருந்தால் : 1. நமது வீரர்கள் ஏன் கொல்லப்பட்டனர்?	0.9072356	True	True	சீனாவினராக இந்த நிலம் இருந்தால்: எங்கள் வீரர்கள் ஏன் கொல்லப்பட்டனர்?
