idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words
88	[[0.94008607]]	An additional program is required to open this type of file:	এই ধৰণৰ ফাইল খোলাৰ বাবে এটা অতিৰিক্ত এপ্লিকেচনৰ প্ৰয়োজন:	0.94008607	True	True
275	[[0.9518236]]	Is this website storing information on my computer?	এই ৱেবছাইটটোৱে মোৰ কম্পিউটাৰত তথ্য সঞ্চয় কৰি আছে নেকি?	0.9518236	False	True
318	[[0.9370712]]	These rules will remain in force until the area is declared safe under the regulations of the Ministry of Health and Family Welfare, Government of India.	ভাৰত চৰকাৰৰ স্বাস্থ্য আৰু পৰিয়াল কল্যাণ মন্ত্ৰালয়ৰ নিয়মাৱলীৰ আধাৰত এই এলেকা সুৰক্ষিত বুলি ঘোষণা নোহোৱা পৰ্যন্ত এই নিয়ম সমূহ বাহাল থাকিব ৷	0.9370712	True	True
467	[[0.9070334]]	His father was Abdul Rahman Khan from Kandahar, Afghanistan while his mother was Iqbal Begum from Pishin, British India (now in Balochistan, Pakistan).	তেওঁৰ পিতৃ আব্দুল ৰহমান খান কান্দাহাৰ আৰু মাতৃ ইকবাল বেগম ব্ৰিটিছ ভাৰতৰ পিশ্বীনৰ (বৰ্তমান পাকিস্তানৰ বেলুচিস্থান) আছিল।	0.9070334	True	True
710	[[0.900047]]	There is not sufficient memory to complete the action you requested.\n\nQuit some applications and try again.	আপুনি অনুৰোধ কৰা কাৰ্য্য সম্পূৰ্ণ কৰিবলৈ পৰ্যাপ্ত স্মৃতিশক্তি নাই।\n\nকিছুমান এপ্লিকেচন বাতিল কৰি পুনঃ চেষ্টা কৰক।	0.900047	True	True
724	[[0.9035099]]	The High Speed Railway cooperation between India and Japan is a shining example of the strength of our cooperation.	ভাৰত-জাপানৰ মাজত দ্ৰুত গতিৰ ৰে’লপথৰ সহযোগিতা, আমাৰ শক্তিশালী সহযোগিতাৰ এক উজ্জল নিদৰ্শন।	0.9035099	True	True
851	[[0.91137]]	In his address, the Prime Minister congratulated all the members of the committee for creative and practical suggestions.	ভাষণত প্ৰধানমন্ত্ৰীয়ে কমিটিৰ সকলো সদস্যক তেওঁলোকৰ সৃষ্টিশীল আৰু ব্যৱহাৰিক পৰামৰ্শসমূহৰ বাবে অভিনন্দন জ্ঞাপন কৰে৷	0.91137	True	True
1009	[[0.93731403]]	Do you want to create a new archive with these files?	এই ফাইলসমূহ সহ এটা নতুন আৰ্কাইভ সৃষ্টি কৰিব নেকি ?	0.93731403	True	True
1016	[[0.9362377]]	It also grants the right to proper medical treatment and care.	তাৰ লগতে সঠিক চিকিৎসা তথা যত্ন লাভ কৰাৰ অধিকাৰো প্ৰদান কৰে ।	0.9362377	True	True
1161	[[0.9184231]]	It's not yet clear how the fire broke out.	অগ্নিকাণ্ডৰ সূত্ৰপাত কেনেকৈ ঘটিল সেয়া এতিয়াও জানিব পৰা হোৱা নাই।	0.9184231	True	True
1176	[[0.9150374]]	The Prime Minister said that India, and especially the Ministry of External Affairs, has done significant humanitarian work in the last two years.	প্ৰধানমন্ত্ৰীয়ে কয় যে ভাৰতে আৰু বিশেষকৈ বৈদেশিক পৰিক্ৰমা মন্ত্ৰালয়ে বিগত দুবছৰত কেতবোৰ গুৰুত্বপূৰ্ণ মানৱতাবাদী কাৰ্য সম্পাদন কৰিছে।	0.9150374	True	True
1211	[[0.90130484]]	I call upon the youth, the trading community, and farmers to connect with BHIM as much as possible.	মই যুৱপ্ৰজন্ম, ব্যৱসায়ী সমাজ আৰু কৃষকসকলক এই বি এইচ আই এমৰ সৈতে যিমান পাৰে সিমান জড়িত হ’বলৈ আহ্বান জনাইছো।	0.90130484	True	True
1357	[[0.9244492]]	"""and added, """"I hope that her immortal voice will motivate other artists to practice the right Punjabi folk music tradition""""."""	"""আৰু যোগ দিছিল, """"মই আশা কৰোঁ তেওঁৰ অমৰ কণ্ঠ অন্যান্য শিল্পীসকলোৰ সঠিক পঞ্জাবী লোক সংগীতৰ ঐতিহ্য অনুশীলন কৰিবলৈ অনুপ্ৰাণিত কৰিব।"""	0.9244492	True	True
