idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	gpt_3_5_trans	gpt_4o_trans	ollama_trans
88	[[0.94008607]]	An additional program is required to open this type of file:	এই ধৰণৰ ফাইল খোলাৰ বাবে এটা অতিৰিক্ত এপ্লিকেচনৰ প্ৰয়োজন:	0.94008607	True	True	এই ধৰনৰ ফাইল খোলাৰ বাবে এটা অতিৰিক্ত প্ৰোগ্ৰাম প্ৰয়োজন।	এই প্ৰকাৰৰ ফাইল খোলাৰ বাবে এটা অতিৰিক্ত প্ৰগ্ৰামৰ প্ৰয়োজন।	এই ধৰণৰ ফাইল খোলাৰ বাবে অতিৰিক্ত প্ৰগ্ৰাম প্ৰয়োজন।
275	[[0.9518236]]	Is this website storing information on my computer?	এই ৱেবছাইটটোৱে মোৰ কম্পিউটাৰত তথ্য সঞ্চয় কৰি আছে নেকি?	0.9518236	False	True	এই ওয়েবচিটত মোৰ কম্পিউটাৰত তথ্য সংৰক্ষণ কৰি আছে নে?	এই ৱেবছাইটে মোৰ কম্পিউটাৰত তথ্য সংৰক্ষণ কৰি আছে নেকি?	এই ৱেবছাইটটো মোৰ কম্পিউটাৰত তথ্য সংৰক্ষণ কৰিছে নে?
318	[[0.9370712]]	These rules will remain in force until the area is declared safe under the regulations of the Ministry of Health and Family Welfare, Government of India.	ভাৰত চৰকাৰৰ স্বাস্থ্য আৰু পৰিয়াল কল্যাণ মন্ত্ৰালয়ৰ নিয়মাৱলীৰ আধাৰত এই এলেকা সুৰক্ষিত বুলি ঘোষণা নোহোৱা পৰ্যন্ত এই নিয়ম সমূহ বাহাল থাকিব ৷	0.9370712	True	True	এই নিয়মসমূহৰ প্ৰাধিকাৰ স্বাস্থ্য আৰু পৰিবাৰ কল্যাণ মন্ত্ৰালয়ৰ বিধিগত নিৰ্ধাৰিত দিশে সুৰক্ষিত কৰা প্ৰদেশত প্ৰভাৱৰ অধীনত থকাৰ সময়তে থাকিব।	এই নিয়মবোৰ প্ৰযোজ্য হৈ থাকিব যাতে সেই অঞ্চলক ভাৰত চৰকাৰৰ স্বাস্থ্য আৰু পৰিয়াল কল্যাণ মন্ত্ৰণালয়ৰ নীতি-নিয়মৰ অধীনত সুৰক্ষিত বুলি ঘোষণা কৰা হয়।	এই নিয়মসমূহ স্বাস্থ্য আৰু পৰিয়াল কল্যাণ মন্ত্ৰালয়, ভাৰত চৰকাৰৰ নিয়মাৱলী অনুসাৰে এলাকাটো নিৰাপদ ঘোষণা কৰা হয় নোৱাৰে বলবৎ থাকিব।
467	[[0.9070334]]	His father was Abdul Rahman Khan from Kandahar, Afghanistan while his mother was Iqbal Begum from Pishin, British India (now in Balochistan, Pakistan).	তেওঁৰ পিতৃ আব্দুল ৰহমান খান কান্দাহাৰ আৰু মাতৃ ইকবাল বেগম ব্ৰিটিছ ভাৰতৰ পিশ্বীনৰ (বৰ্তমান পাকিস্তানৰ বেলুচিস্থান) আছিল।	0.9070334	True	True	তেওৰ জনক আফগানিস্তানৰ কান্দাহাৰৰ আবদুল ৰহমান খান আৰু তেওৰ মা পিছিন, ব্ৰিটিশ ইণ্ডিয়াৰ (বাৰ্তমান বালোচিস্তান, পাকিস্তানত) ইকবাল বেগম হৈছিল।	তাঁৰ পিতা আছিল আফগানিস্তানৰ কান্দাহাৰৰ আব্দুল ৰহমান খান আৰু মাতৃ আছিল পিশিন, ব্রিটিছ ভাৰত (বৰ্তমান পাকিস্তানৰ বেলুচিস্তান)ৰ ইকবাল বেগম।	তাঁৰ দেউতাক আফগানিস্তানৰ কান্দাহাৰৰ আব্দুল ৰহমান খান আছিল, আনহাতে তাঁৰ মাক ব্ৰিটিছ ভাৰতৰ (এতিয়া পাকিস্তানৰ বালোচিস্তানত) পিশিনৰ ইকবাল বেগম আছিল।
710	[[0.900047]]	There is not sufficient memory to complete the action you requested.\n\nQuit some applications and try again.	আপুনি অনুৰোধ কৰা কাৰ্য্য সম্পূৰ্ণ কৰিবলৈ পৰ্যাপ্ত স্মৃতিশক্তি নাই।\n\nকিছুমান এপ্লিকেচন বাতিল কৰি পুনঃ চেষ্টা কৰক।	0.900047	True	True	আপুনি যে কাৰ্য্য কৰিবলৈ বিনামূলীয়া মেম'ৰি অপৰিপূৰ্ণ। কিছু অ্যাপ্প্লিকেশ্যন বন্ধ কৰি পুনৰ চেষ্টা কৰক।	"আপুনি অনুৰোধ কৰা কাৰ্যটো সম্পূৰ্ণ কৰিবলৈ পৰ্যাপ্ত মেম'ৰি নাই।

কিছুমান এপ্লিকেশ্বন বন্ধ কৰক আৰু পুনৰ চেষ্টা কৰক।"	আপোনাৰ অনুরোধ কৰা কাৰ্যটো সম্পূৰ্ণ কৰিবলৈ যথেষ্ট স্মৃতি নাই। কিছু এপ্লিকেচন বন্ধ কৰি পুনৰ চেষ্টা কৰক।
724	[[0.9035099]]	The High Speed Railway cooperation between India and Japan is a shining example of the strength of our cooperation.	ভাৰত-জাপানৰ মাজত দ্ৰুত গতিৰ ৰে’লপথৰ সহযোগিতা, আমাৰ শক্তিশালী সহযোগিতাৰ এক উজ্জল নিদৰ্শন।	0.9035099	True	True	ভাৰত আৰু জাপানৰ নমোনাৰ উঁচৰ দৰিয়া পথাৱলী সহযোগ এটা আমাৰ সহযোগৰ শক্তিৰ এটা উজ্জ্বল উদাহৰণ।	ভারত আৰু জাপানৰ মাজৰ উচ্চ গতিবেগী ৰেলৱে সহযোগিতা আমাৰ সহযোগিতাৰ শক্তিৰ এটা উজ্বল উদাহৰণ।	ভাৰত আৰু জাপানৰ উচ্চ গতি ৰেলৱে সহযোগিতা আমাৰ সহযোগিতাৰ শক্তিৰ এক দীপ্ত উদাহৰণ।
851	[[0.91137]]	In his address, the Prime Minister congratulated all the members of the committee for creative and practical suggestions.	ভাষণত প্ৰধানমন্ত্ৰীয়ে কমিটিৰ সকলো সদস্যক তেওঁলোকৰ সৃষ্টিশীল আৰু ব্যৱহাৰিক পৰামৰ্শসমূহৰ বাবে অভিনন্দন জ্ঞাপন কৰে৷	0.91137	True	True	তেওৰ ঠিকনাত, প্ৰধানমন্ত্ৰীয়ে সৃষ্টিকৌশল আৰু প্ৰয়োজনীয় সুপারিশসমূহ কৰা কমিটীৰ সদস্যসকলক অভিনন্দন জনালে।	তেওঁৰ ভাষণত, প্ৰধানমন্ত্ৰীয়ে সৃষ্টিশীল আৰু কাৰ্যকৰী প্ৰস্তাৱসমূহৰ বাবে সমিতিৰ সকলো সদস্যক অভিনন্দন জনাইছিল।	তেওঁৰ ভাষণত, প্ৰধানমন্ত্ৰীয়ে সমিতিৰ সকলো সদস্যক স্ৰেষ্ঠ আৰু ব্যৱহাৰিক পৰামৰ্শৰ বাবে অভিনন্দন জনাইছিল।
1009	[[0.93731403]]	Do you want to create a new archive with these files?	এই ফাইলসমূহ সহ এটা নতুন আৰ্কাইভ সৃষ্টি কৰিব নেকি ?	0.93731403	True	True	আপুনি ইয়াত ফাইলসমূহে এটাৰ সৈতে এটা নতুন আৰ্কাইভ সৃষ্টি কৰিব বিচাৰে?	আপুনি এই ফাইলবোৰৰ সৈতে এখন নতুন সংৰক্ষিত নথিপত্ৰ সৃষ্টি কৰিব বিচাৰে নেকি?	এই ফাইলসমূহৰ সৈতে নতুন আৰ্কাইভ সৃষ্টি কৰিব খোজে?
1016	[[0.9362377]]	It also grants the right to proper medical treatment and care.	তাৰ লগতে সঠিক চিকিৎসা তথা যত্ন লাভ কৰাৰ অধিকাৰো প্ৰদান কৰে ।	0.9362377	True	True	এটা সঠিক চিকিৎসা আৰু যত্নত অধিকাৰ দিয়ে।	ইয়াত লগতে সঠিক চিকিৎসা আৰু যত্নৰ অধিকাৰ প্ৰদান কৰে।	ইয়াতো সঠিক চিকিৎসা আৰু যত্ন প্ৰদান কৰাৰ অধিকাৰও প্ৰদান কৰে।
1161	[[0.9184231]]	It's not yet clear how the fire broke out.	অগ্নিকাণ্ডৰ সূত্ৰপাত কেনেকৈ ঘটিল সেয়া এতিয়াও জানিব পৰা হোৱা নাই।	0.9184231	True	True	আগবুলি চোৱাৰ হোৱা এতিয়া পৰিস্থিতি স্পষ্ট হৈ নাই।	এই জুই কেনেকৈ লাগিল সেইটো এতিয়াও স্পষ্ট নহয়।	আগৰ অগ্নি কেনেকৈ লাগিছিল স্পষ্ট নহয়।
1176	[[0.9150374]]	The Prime Minister said that India, and especially the Ministry of External Affairs, has done significant humanitarian work in the last two years.	প্ৰধানমন্ত্ৰীয়ে কয় যে ভাৰতে আৰু বিশেষকৈ বৈদেশিক পৰিক্ৰমা মন্ত্ৰালয়ে বিগত দুবছৰত কেতবোৰ গুৰুত্বপূৰ্ণ মানৱতাবাদী কাৰ্য সম্পাদন কৰিছে।	0.9150374	True	True	প্ৰধানমন্ত্ৰী বলিছে যে, ভাৰত, আৰু বিশেষভাৱে বাহ্যিক বিষয়ক মন্ত্ৰালয়, গত দুই বছৰত উৎকৃষ্ট মানৱতান্ত্ৰিক কাম কৰিছে।	প্ৰধানমন্ত্ৰীয়ে কৈছিল যে ভাৰত, বিশেষকৈ বৈদেশিক ব্যৱসায় মন্ত্ৰণালয়ে, বিগত দুবছৰত গুৰুত্বপূৰ্ণ মানৱীয় কাৰ্যসাধন কৰিছে।	প্ৰধানমন্ত্ৰীয়ে কয় যে ভাৰত, আৰু বিশেষকৈ বাহ্যিক সম্পৰ্ক মন্ত্ৰালয়ে, গত দুবছৰত উল্লেখযোগ্য মানৱতাবাদী কাম কৰিছে।
1211	[[0.90130484]]	I call upon the youth, the trading community, and farmers to connect with BHIM as much as possible.	মই যুৱপ্ৰজন্ম, ব্যৱসায়ী সমাজ আৰু কৃষকসকলক এই বি এইচ আই এমৰ সৈতে যিমান পাৰে সিমান জড়িত হ’বলৈ আহ্বান জনাইছো।	0.90130484	True	True	মই যুৱাক, ব্যবসায়ী সমূহ আৰু কৃষক সম্পৰ্ক কৰিবলৈ অনুৰোধ কৰিছো যেনে BHIM শক্ত জড়িত কৰিব।	মই যুৱক, বাণিজ্যিক সমাজ আৰু কৃষকসকলক আহ্বান জনাইছোঁ যাতে তেওঁলোকে যত পৰ্যন্ত সম্ভৱ BHIMৰ সৈতে সংযুক্ত হয়।	ভিমৰ লগত যথাসম্ভৱ সংযোগ কৰিবলৈ যুৱ সমাজ, ব্যৱসায়ী সমাজ আৰু কৃষকসকলক আহ্বান কৰো।
1357	[[0.9244492]]	"""""""and added, """"""""I hope that her immortal voice will motivate other artists to practice the right Punjabi folk music tradition""""""""."""""""	"""""""আৰু যোগ দিছিল, """"""""মই আশা কৰোঁ তেওঁৰ অমৰ কণ্ঠ অন্যান্য শিল্পীসকলোৰ সঠিক পঞ্জাবী লোক সংগীতৰ ঐতিহ্য অনুশীলন কৰিবলৈ অনুপ্ৰাণিত কৰিব।"""""""	0.9244492	True	True	"আৰু যোগ কৰিছে, ""মই আশা কৰো যে তেওৰ অমৰ স্বৰ অন্যান্য কলাকাৰসকলে সৎ পঞ্জাবী লোকসংগীৎৰ পৰ্যাপ্ত অনুশাসন কৰিব পাৰে।"""""""""	""""""" আৰু তেওঁ যোগ কৰিলে, """"""""মই আশা কৰোঁ যে তেওঁৰ অমৰ কণ্ঠই অন্য শিল্পীক সঠিক পাঞ্জাবী লোক সংগীত পৰম্পৰা অনুশীলন কৰিবলৈ প্ৰেৰণা যোগাব""""""""."""""""	"""আৰু যোগ কৰি কৈছে, """"আশা কৰো যে তাইৰ অমৰ কণ্ঠস্বৰে অন্য শিল্পীসকলক সঠিক পঞ্জাবী লোক সংগীত পৰম্পৰা অনুশীলন কৰিবলৈ প্ৰেৰণা দিব"""""""""
1753	[[0.9372356]]	Sorry, that didn't work. Please try again.	ক্ষমা কৰিব, সেয়া কাম নকৰিলে। অনুগ্ৰহ কৰি পুনৰ চেষ্টা কৰক।	0.9372356	False	True	দুঃখিত, এইটো কাম কৰিছে নাই। অনুগ্ৰহ কৰি পুনৰ চেষ্টা কৰক।	ক্ষমা কৰক, সেইটো কাম নকৰিলে। অনুগ্ৰহ কৰি পুনৰ চেষ্টা কৰক।	সৰি থাকিব, সেইটো কাম কৰিলে নাই। আকৌ এবাৰ চেষ্টা কৰক।
1855	[[0.91449594]]	We plant and water, but God makes it grow	আমি শস্য ৰোৱা আৰু পানী দিয়া কাৰ্য্য কৰোঁ, কিন্তু ঈশ্বৰহে ইয়াক বৃদ্ধি কৰে	0.91449594	True	True	আমি কৰিম আৰু পানী দিম, পৰা তেনে বঢ়ি যায়।	আমরা গছোঁ আৰু পানী দিওঁ, কিন্তু ঈশ্বৰে ইয়াক বৃদ্ধি কৰে।	আমি লগাই আৰু পানী দিয়া, কিন্তু ঈশ্বৰেই ইয়াক বাঢ়াই।
2018	[[0.90956473]]	The chosen sound will be played when a new voice mail is received, if enabled	নিৰ্বাচিত ধ্বনি নতুন ভইচ মেইল আহিলে বজোৱা হ'ব, যদি সক্ৰিয়	0.90956473	True	True	এটা নিৰ্বাচিত শব্দ প্ৰদৰ্শন কৰা হব যদি এটা সক্ৰিয় হ'য়।	বাছনি কৰা শব্দটো বজাব যেতিয়া এটা নতুন ভইচ মেইল লাভ কৰা হয়, যদি সক্ৰিয় কৰা হয়।	নিৰ্বাচিত শব্দটো নতুন ভয়চ মেইল প্ৰাপ্ত হ'লে সক্ষম কৰা হ'লে বজাই যাব।
2406	[[0.9174291]]	Allows you to share your desktop so other people can view it or provide remote assistance.	আপোনাৰ ডেস্কটপ অংশীদাৰী কৰাৰ অনুমতি দিয়ে যাতে অন্য মানুহে ইয়াক দৰ্শন কৰিব পাৰে অথবা দূৰৱৰ্তী সহায় প্ৰদান কৰিব পাৰে।	0.9174291	True	True	আপোনাৰ ডেকটপটো ভাগ কৰিবলৈ অন্যানহলৰ বাবে দেখিব বা দূৰসহায় প্ৰদান কৰিব পৰায়।	এইটো আপোনাক আপোনাৰ ডেস্কটপ শ্বেয়াৰ কৰিবলৈ অনুমতি দিয়ে যাতে অন্য লোকে তাক চাইবা পাৰে বা দূৰৱৰ্তী সহায়তা প্ৰদান কৰিব পাৰে।	আপোনাৰ ডেস্কটপ অন্য লোকক দেখুৱাবলৈ বা দূৰবৰ্তী সহায়তা প্ৰদান কৰিবলৈ অনুমতি দিয়ে।
2408	[[0.90822995]]	The update could not be installed. Please make sure there are no other copies of %S running on your computer, and then restart %S to try again.	আপডেইট ইনস্টল কৰিব পৰা নাযায়। নিশ্চিত কৰক যে আপোনাৰ কমপিউটাৰত %S ৰ কোনো কপি চলি থকা নাই, আৰু তাৰ পিছত পুনঃ চেষ্টা কৰিবলৈ %S পুনাৰম্ভ কৰক।	0.90822995	True	True	আপডেটটো ইনষ্টল কৰা নগ'ল। অনুগ্ৰহ কৰি আপোনাৰ কম্পিউটাৰত অন্য কোনো %Sৰ কপি চলি নাই আৰু পিছত আহাৰি কৰিবলৈ %Sৰ পুনৰ আৰম্ভ কৰক।	সংশোধনটো স্থাপন কৰিব পৰা নাছিল। অনুগ্ৰহ কৰি নিশ্চিত কৰক যে আপোনাৰ কম্পিউটাৰত %S ৰ আন ক'তবাও কপিৰ চলি থকা নাই, আৰু তাৰ পিছত %S পুনৰ আৰম্ভ কৰি পুনৰ চেষ্টা কৰক।	আপডেটটো ইনস্টল কৰিব নোৱাৰিলে। আপুনি আপোনাৰ কম্পিউটাৰত %S-ৰ অন্য কোনো কপি চলি নাথাকে নিশ্চিত কৰক, আৰু তাৰ পাছত %S-ক পুনৰ চেষ্টা কৰিবলৈ পুনৰ আৰম্ভ কৰক।
3082	[[0.908819]]	The MoU will be signed between Ministry of Water Resources, River Development and Ganga Rejuvenation, Government of India and the Ministry of Interior, Government of Hungary.	ভাৰত চৰকাৰৰ জল সম্পদ, নদী উন্নয়ন আৰু গংগা পুনৰুজ্জীৱিতকৰণ মন্ত্ৰালয় আৰু হাংগেৰীৰ আভ্যন্তৰীণ মন্ত্ৰালয়ৰ মাজত এই বুজাবুজি চুক্তি স্বাক্ষৰিত হ’ব।	0.908819	True	True	মোউ সৈকধি দিয়া হ'ব য়াকেত জলসমূহ মন্ত্রালয়, নদী উন্নয়ন আৰু গঙা পুনৰুৎথান, ভাৰতৰ চৰকাৰ আৰু অভ্যন্তৰীয় মন্ত্রালয়, হাঙ্গেৰীৰ চৰকাৰ দ্বাৰা হবে।	মেমৰেণ্ডাম অব আণ্ডাৰষ্টেণ্ডিংখন ভাৰত চৰকাৰৰ জল সম্পদ, নদী উন্নয়ন আৰু গংগা পুনৰুজ্জীৱন মন্ত্ৰ্যালয় আৰু হাংগেৰী চৰকাৰৰ অভ্যন্তৰীণ মন্ত্ৰ্যালয়ৰ মাজত স্বাক্ষৰিত হ'ব।	ভাৰত চৰকাৰৰ জল সম্পদ, নদী উন্নয়ন আৰু গংগা পুনৰ্জীৱন মন্ত্ৰালয় আৰু হাংগেৰী চৰকাৰৰ অন্তৰ্বিভাগ মন্ত্ৰালয়ৰ মাজত এক সমঝোতা স্মাৰক স্বাক্ষৰিত হ'ব।
