idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	gpt_3_5_trans	gpt_4o_trans	ollama_trans	gpt_35_bleu_score	gpt_4o_bleu_score	ollama_bleu_score
6	[[0.93942696]]	"""""""""""""""""""""""""""""""Main crops Paddy, jute, wheat, potato, mustard seed, vegetables."""""""""""""""""""""""""""""""	"""""""""""""""""""""""""""""""প্রধান কৃষি ফসল ধান, পাট, গম, আলু, সরিষা, শাকসবজি।"""""""""""""""""""""""""""""""	0.93942696	True	True	"""""""প্রধান ফসল ধান, পাট, গম, আলু, সরিষা বীজ, সবজি।"""""""	"""""""প্রধান ফসল ধান, পাট, গম, আলু, সরিষার বীজ, শাকসবজি।"""""""	প্রধান ফসল হল ধান, পাট, গম, আলু, সরিষা, সবজি।	0.2	0.21	0.08
36	[[0.91711646]]	She was the Chief Justice of the Madras High Court, the second woman to hold the postition in India. before being elevated as a Judge of the Supreme Court of India.	ভারতের সুপ্রীম কোর্টের বিচারকের পদে উন্নীত হওয়ার আগে তিনি মাদ্রাজ উচ্চ আদালতের প্রধান বিচারপতি ছিলেন, তিনি দ্বিতীয় ভারতীয় নারী যিনি ভারতে এই পদে অবস্থান করেন।	0.91711646	True	True	তিনি ভারতে এই পদটি ধারণ করার দ্বিতীয় মহিলা ছিলেন, মাদ্রাস হাই কোর্টের প্রধান বিচারপতি। এর আগে তিনি ভারতের সুপ্রিম কোর্টের বিচারক হিসেবে উন্নত হওয়ার আগে।	তিনি ভারতের সুপ্রিম কোর্টের বিচারপতি হিসেবে উন্নীত হওয়ার আগে মাদ্রাজ হাইকোর্টের প্রধান বিচারপতি ছিলেন, ভারতে এই পদে অধিষ্ঠিত দ্বিতীয় নারী।	তিনি ভারতে দ্বিতীয় মহিলা হিসেবে মাদ্রাজ উচ্চ আদালতের প্রধান বিচারপতি ছিলেন, ভারতের সর্বোচ্চ আদালতের বিচারপতি হিসেবে উন্নীত হওয়ার আগে।	0.0	0.15	0.24
54	[[0.9037424]]	He asked the Congress to make its stand clear on the issue.	এই ইস্যুতে কংগ্রেসকে তাঁর অবস্থান স্পষ্ট করার দাবি জানিয়েছেন তিনি।	0.9037424	True	True	তিনি কংগ্রেসকে এই সমস্যার উপর তার মতামত পরিষ্কার করার জন্য অনুরোধ করলেন।	তিনি কংগ্রেসকে এই বিষয়ে তাদের অবস্থান স্পষ্ট করার অনুরোধ জানিয়েছেন।	তিনি কংগ্রেসকে বিষয়টি নিয়ে তার অবস্থান স্পষ্ট করতে বলেন।	0.0	0.0	0.0
63	[[0.90055597]]	"""""""""""""""""""""""""""""""As it is an airbus, it will carry 250 passengers."""""""""""""""""""""""""""""""	"""""""""""""""""""""""""""""""এটা যেহেতু এয়ারবাস, সেহেতু ২৫০ জন যাত্রী বহন করবে।"""""""""""""""""""""""""""""""	0.90055597	True	True	"""""""এটি একটি এয়ারবাস হওয়ায় ২৫০ যাত্রী বাহিত করবে।"""""""	এটি একটি এয়ারবাস হওয়ায়, এটি ২৫০ জন যাত্রী বহন করবে।	এটি এয়ারবাস হওয়ায়, এটি ২৫০ যাত্রী বহন করবে।	0.04	0.03	0.0
134	[[0.9200741]]	"""""""""""""""""""""""""""""""Under this Policy, export of products will be controlled in the following way, such as:-"""""""""""""""""""""""""""""""	"""""""""""""""""""""""""""""""এই নীতির অধীনে পণ্যের রপ্তানি নিম্নরূপভাবে নিয়ন্ত্রিত হবে, যথাঃ-"""""""""""""""""""""""""""""""	0.9200741	True	True	"""""""এই নীতিতে, পণ্যের রফতানি নিয়ন্ত্রণ করা হবে নিম্নোক্তভাবে, যেমন:-"""""""	"""""""এই নীতির অধীনে, পণ্যের রপ্তানি নিম্নলিখিত উপায়ে নিয়ন্ত্রণ করা হবে, যেমন:-"""""""	"""""""এই নীতিমালার অধীনে, পণ্যসমূহের রপ্তানি নিম্নলিখিত পদ্ধতিতে নিয়ন্ত্রিত হবে, যেমন:-"""""""	0.07	0.13	0.07
178	[[0.9055097]]	Remember that in this world, all happiness is limited in some way.	মনে রাখবেন যে, এই জগতে সমস্ত সুখই কোনো না কোনোভাবে সীমাবদ্ধ।	0.9055097	True	True	মনে রাখবেন যে এই পৃথিবীতে সব খুশি কোনো না কোনো ভাবে সীমাবদ্ধ।	মনে রাখবেন যে এই পৃথিবীতে সমস্ত সুখই কোনো না কোনোভাবে সীমিত।	এই পৃথিবীতে, সব সুখ কোনো না কোনো ভাবে সীমিত।	0.0	0.44	0.0
255	[[0.9020104]]	"""""""""""""""Peter said to Jesus: """"""""""""""""Lord, are you washing my feet?"""""""""""""""""""""""""""""""	"""""""""""""""পিতর যিশুকে বলেছিলেন: """"""""""""""""প্রভু, আপনি কি আমার পা ধুইয়া দিবেন?"""""""""""""""""""""""""""""""	0.9020104	True	True	"""পিটার যীশুকে বলল: """"প্রভু, আপনি আমার পা ধোচ্ছেন?"""""""	"""পিটার যীশুকে বললেন: """"প্রভু, আপনি কি আমার পা ধুচ্ছেন?"""""""	"""""""পিটার যীশুকে বললেন, """"""""প্রভু, আপনি আমার পা ধুচ্ছেন?"""""""""""""""	0.09	0.14	0.28
286	[[0.9076378]]	Most of them are patients in the hospital and one among the dead is also a Bangladeshi.	এদের বেশির ভাগই হাসপাতালে চিকিৎসাধীন রোগী এবং নিহতদের মধ্যে একজন বাংলাদেশীও রয়েছেন।	0.9076378	True	True	তারা অধিকাংশিক রোগী হাসপাতালে এবং মৃতের মধ্যে একজনও একজন বাংলাদেশী।	তাদের বেশিরভাগই হাসপাতালের রোগী এবং মৃতদের একজনও বাংলাদেশি।	তাদের অধিকাংশই হাসপাতালে রোগী এবং মৃতদের মধ্যে একজনও বাংলাদেশী।	0.0	0.0	0.0
314	[[0.91968095]]	The Turkish Football Federation (Turkish: Trkiye Futbol Federasyonu. TFF) is the governing body of association football in Turkey.	তুর্কি ফুটবল ফেডারেশন (, . এছাড়াও সংক্ষেপে টিএফএফ নামে পরিচিত) হচ্ছে তুরস্কের ফুটবলের সর্বোচ্চ নিয়ন্ত্রক সংস্থা।	0.91968095	True	True	তুর্কি ফুটবল ফেডারেশন (তুর্কি: তুর্কি ফুটবল ফেডারেশন। টিএফএফ) তুরস্কে এসোসিয়েশন ফুটবলের নিয়ন্ত্রণ করে।	তুর্কি ফুটবল ফেডারেশন (তুর্কি: Türkiye Futbol Federasyonu, TFF) তুরস্কে অ্যাসোসিয়েশন ফুটবলের প্রধান নিয়ন্ত্রক সংস্থা।	তুরস্ক ফুটবল ফেডারেশন (তুর্কি: তুর্কিয়ে ফুতবল ফেদেরাসিওনু. টিএফএফ) তুরস্কে অ্যাসোসিয়েশন ফুটবলের নিয়ন্ত্রণ সংস্থা।	0.16	0.18	0.0
359	[[0.90079975]]	Instead, it indicates that we are doing what is right!	এর পরিবর্তে এটা দেখায়, আমরা যা সঠিক, তা-ই করছি!	0.90079975	True	True	বরং, এটা প্রমাণ করে যে আমরা যা ঠিক কাজ করছি!	বরং এটি নির্দেশ করে যে আমরা সঠিক কাজটাই করছি!	আমরা যা সঠিক তা করছি বলে ইহা নির্দেশ করে!	0.0	0.0	0.0
