idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	gpt_3_5_trans	gpt_4o_trans	ollama_trans	gpt_35_bleu_score	gpt_4o_bleu_score	ollama_bleu_score
107	[[0.90125185]]	Before implementation of 7th Central Pay Commission, the ceiling under CCS (Pension) Rules, 1972 was Rs. 10 Lakh.	7મું પગાર પંચ અમલમાં આવ્યું તે પહેલાં સીસીએસ (પેન્શન) નિયમો-1972 હેઠળ ઉચ્ચત્તમ મર્યાદા રૂ.10 લાખ હતી.	0.90125185	True	True	7મું કેન્દ્રીય વેતન આયોગનું લાગૂ થવાથી, CCS (પેન્શન) નિયમો, 1972 અંતર્ગત છત્રીનું મર્યાદા રૂ. 10 લાખ હતું.	7મી કેન્દ્રિય વેતન આયોગની અમલ કરતા પહેલા, CCS (પેન્શન) નિયમો, 1972 હેઠળની મર્યાદા રૂ. 10 લાખ હતી.	સત્તાવાર સેન્ટ્રલ પે કમિશનની અમલીકરણ પહેલા, ૧૯૭૨ના સીસીએસ (પેન્શન) નિયમોની છત્રી રૂ. ૧૦ લાખ હતી.	0.22	0.31	0.18
221	[[0.9075888]]	Bollywood actor Sushant Singh Rajput's death case is getting complicated with new revelations being made each day.	બોલિવૂડ એક્ટર સુશાંત સિંહ રાજપૂતની મોતને લઈને રોજ નવા નવા ખુલાસા થઈ રહ્યાં છે.	0.9075888	True	True	બોલિવૂડ એક્ટર સુશાંત સિંહ રાજપુતનું મૃત્યુનું કેસ દિવસભર નવા પ્રકટનો કરવામાં આવે છે અને તે જટિલ બની રહ્યું છે.	બોલીવુડ અભિનેતા સુશાંત સિંહ રાજપૂતના મૃત્યુનો કેસ નવા ખુલાસાઓ સાથે દરરોજ વધુ જટિલ બની રહ્યો છે.	બોલીવુડ અભિનેતા સુશાંત સિંહ રાજપૂતના મૃત્યુના કેસમાં દરરોજ નવી ખુલાસાઓ થતાં જતાં પરિસ્થિતિ વધુ જટિલ બની રહી છે.	0.15	0.0	0.0
247	[[0.903666]]	Dr Suess riding a bicycle on a busy car filled street.	ડૉ. સુસે વ્યસ્ત કારથી ભરેલી શેરીમાં સાયકલ ચલાવે છે.	0.903666	True	True	વ્યસની ગાડીઓથી ભરેલી વ્યસની સૂસ બિઝી સ્ટ્રીટ પર બાઈક ચાલાવી રહ્યા છે.	ડૉ. સ્યુસ એક વ્યસ્ત વાહનભરેલા રસ્તા પર સાયકલ ચલાવી રહ્યા છે.	ડૉ. સુસ બસી ભરેલી ગાડીઓની સડક પર સાઈકલ ચલાવે છે.	0.0	0.0	0.0
294	[[0.91363645]]	Saiyad Usman was the minister of Qutubul Alam, also known as Saiyad Burhanuddin.	સૈયદ ઉસ્માન, કુતુબુલ આલમના મંત્રી હતા, જેમને સૈયદ બુરહાનુદ્દીન પણ કહેવામાં આવે છે.	0.91363645	True	True	સય્યદ ઉસ્માન કુતુબુલ આલમનો મંત્રી હતો, જે સય્યદ બુરહાનુદ્દીન તરીકે પણ ઓળખાય છે.	સૈયદ ઉસ્માન કૂતૂબુલ આલમના મંત્રી હતા, જેમને સૈયદ બુરહાનુદ્દીન તરીકે પણ ઓળખવામાં આવે છે.	સૈયદ ઉસ્માન કુતુબુલ આલમના મંત્રી હતા, જેને સૈયદ બુર્હાનુદ્દીન તરીકે પણ ઓળખાય છે.	0.0	0.5	0.31
322	[[0.92706436]]	Over 85,000 students are enrolled in schools here, which makes up 40 percent of the refugee population.	85,000 થી વધુ વિદ્યાર્થીઓ અહીંની શાળાઓમાં નોંધણી કરાવી છે, જે 40 ટકા બનાવે છે શરણાર્થીઓની વસ્તી.	0.92706436	True	True	અહીં 85,000 વધુ વિદ્યાર્થીઓ એન્રોલ છે, જે અનેક ભગવાની જનસંખ્યાનો 40 ટકા બનાવે છે.	અહીં 85,000 કરતાં વધુ વિદ્યાર્થીઓ શાળાઓમાં દાખલ થયેલા છે, જે શરણાર્થી વસ્તીના 40 ટકાનો ભાગ બને છે.	અહીં શાળાઓમાં 85,000 થી વધુ વિદ્યાર્થીઓ નામાંકિત છે, જે શરણાર્થી વસ્તીના 40 ટકા બનાવે છે.	0.23	0.0	0.35
435	[[0.90250266]]	Defence Minister Rajnath Singh and Uttar Pradesh Chief Minister Yogi Adityanath attended the event.	આ કાર્યક્રમમાં રક્ષા મંત્રી રાજનાથ સિંહ અને મુખ્ય મંત્રી યોગી આદિત્યનાથ હાજર હતા	0.90250266	True	True	રક્ષા મંત્રી રાજનાથ સિંહ અને ઉત્તર પ્રદેશ મુખ્યમંત્રી યોગી આદિત્યનાથ ઈવેન્ટમાં ઉપસ્થિત રહ્યાં હતા.	રક્ષામંત્રી રાજનાથ સિંહ અને ઉત્તર પ્રદેશના મુખ્યમંત્રી યોગી આદિત્યનાથએ આ કાર્યક્રમમાં હાજરી આપી.	રક્ષા મંત્રી રાજનાથ સિંહ અને ઉત્તર પ્રદેશના મુખ્યમંત્રી યોગી આદિત્યનાથે આ કાર્યક્રમમાં હાજરી આપી.	0.29	0.0	0.29
444	[[0.9014485]]	Mira shared the photos on her Instagram story.	મીરાએ આ તસવીર તેની ઇન્સ્ટાગ્રામ સ્ટોરી પર શેર કરી છે.	0.9014485	False	True	મીરાએ આપની ઇન્સ્ટાગ્રામ સ્ટોરી પર ફોટોઝ શેર કરી.	મીરાએ ઇન્સ્ટાગ્રામ સ્ટોરી પર ફોટાઓ શેર કર્યા.	મીરાએ તેના ઈન્સ્ટાગ્રામ સ્ટોરી પર ફોટો શેર કર્યા.	0.0	0.0	0.0
463	[[0.90519917]]	Chinese students were also granted scholarships to study Hindi in India.	ભારતમાં હિન્દી શીખવા માટે ચીની વિદ્યાર્થીઓને શિષ્યવૃત્તિ આપવાનું પણ કહેવામાં આવ્યું હતું.	0.90519917	True	True	ભારતમાં હિન્દી અભ્યાસ કરવા માટે ચાઈનીઝ વિદ્યાર્થીઓને પણ ભથ્થા આપવામાં આવ્યા હતા.	ચીની વિદ્યાર્થીઓને ભારતમાં હિન્દી અભ્યાસ માટે સ્કોલરશિપ આપવામાં આવી.	ચાઈનીઝ વિદ્યાર્થીઓને પણ ભારતમાં હિંદી અભ્યાસ માટે સ્કોલરશિપ આપવામાં આવી હતી.	0.0	0.0	0.0
471	[[0.9222301]]	"""""""""""""""Section 10(1)(i) of The Divorce Act of 1869 says, """"""""""""""""Any marriage solemnized, whether before or after the commencement of the Indian Divorce (Amendment) Act, 2001, may, on a petition presented to the District Court either by the husband or the wife, be dissolved on the ground that since the solemnization of the marriage, the respondent has committed adultery."""""""""""""""""""""""""""""""	"""""""""""""""1869ના તલાક અધિનિયમની કલમ 10(1)(i)માં કહેવામાં આવ્યું છે કે, """"""""""""""""ભારતીય વિવાહ (સંશોધન) અધિનિયમ, 2001 લાગુ થયા પહેલા અને પછી પતિ કે પત્નીમાંથી કોઈ એક દ્વારા જિલ્લા અદાલતમાં દાખલ અરજી પર જો પ્રતિવાદીએ વ્યાભિચાર કર્યો હોય તો લગ્નને સમાપ્ત કરી શકાય છે"""""""""""""""	0.9222301	True	True	"""1869ના ડિવોર્સ એક્ટનો ધારા 10(1)(i) કહે છે, """"""""કોઈ પરંપરાગત વિવાહ, ચાલુ થતા પહેલાં કે પછી ભારતીય ડિવોર્સ (સુધારા) એક્ટ, 2001ની આરંભણી પરંપરાગત વિવાહ છે, તો પતિ અથવા પત્ની દ્વારા જે પત્નીની પેટીશન પર જિલ્લા કોર્ટને પ્રસ્તાવિત કરી શકે છે કે એમા પ્રારબ્ધ જેમ કે પતિના સોલેમનીઝેશન પછી, પ્રતિભારી જે કે વ્યભિચાર કર્યુ છે."""""""""""""""""""""""""""	"""1869 ના ડિવોર્સ એક્ટની કલમ 10(1)(i) કહે છે, """"""""""""""""ભારતીય વિવાહ વિચ્છેદ (સંશોધન) અધિનિયમ, 2001 ની શરૂઆત પહેલાં અથવા પછી, કોઈપણ લગ્નો, જે જિલ્લાની અદાલતમાં પતિ અથવા પત્ની દ્વારા રજૂ કરેલી અરજીઓ પર, વિચ્છેદિત કરી શકાય છે તે આધારે કે લગ્નના સમારંભ પછી પ્રતિવાદીએ વ્યભિચાર કર્યું છે."""""""""""""""""""""""	"""""""૧૮૬૯ ના ડિવોર્સ એક્ટની કલમ ૧૦(૧)(આઇ) કહે છે કે, """"""""કોઈ પણ લગ્ન જે કેટલાક પહેલા અથવા ૨૦૦૧ ના ઇન્ડિયન ડિવોર્સ (સુધારો) એક્ટના શરૂઆત પહેલા કરાયેલું હોય, તેને જિલ્લા કોર્ટમાં પતિ અથવા પત્ની દ્વારા અરજી કરીને તેને ભંગ કરી શકાય છે કે લગ્ન કરાયા પછી પ્રતિવાદીએ વ્યભિચાર કર્યો હોય."""""""""""	0.29	0.42	0.19
516	[[0.9435909]]	Uttar Pradesh Chief Minister Yogi Adityanath has expressed grief over the incident.	ઉત્તર પ્રદેશના મુખ્યમંત્રી યોગી આદિત્યનાથે ઘટના પર દુખ વ્યક્ત કર્યું છે.	0.9435909	True	True	ઉત્તર પ્રદેશના મુખ્યમંત્રી યોગી આદિત્યાનાથે આ ઘટના પર દુઃખ વ્યક્ત કર્યો છે।	ઉત્તરપ્રદેશના મુખ્યમંત્રી યોગી આદિત્યનાથએ આ ઘટના અંગે દુખ વ્યક્ત કર્યું છે.	ઉત્તર પ્રદેશના મુખ્યમંત્રી યોગી આદિત્યનાથે આ ઘટના પર દુઃખ વ્યક્ત કર્યું છે.	0.26	0.38	0.53
