idx	src	tgt	Perfect(90-100)	Good(70-90)	Fair(51-69)	Poor(30-50)	bad(11-29)	worst(0-10)	Comments	Chatgpt-Translated Hindi (en_hi_gpt_3_5_trans_las_gt_las_gt_0_9_gt_8_words)	human_eval_chatgpt_3.5	Good(70-90).1	Fair(51-69).1	Poor(30-50).1	bad(11-29).1	worst(0-10).1	Comments.1	Ollama-Translated Hindi(en_hi_output_ollama_v3_trans_las_gt_las_gt_0_9_gt_8_words)	human_eval_ollama	Good(70-90).2	Fair(51-69).2	Poor(30-50).2	bad(11-29).2	worst(0-10).2	Comments.2	gpt_p_scores	gpt_r_scores	gpt_f1_scores	ollama_p_scores	ollama_r_scores	ollama_f1_scores	gpt_bleu_scores	ollama_bleu_scores	human_eval_gpt_scores	human_eval_ollama_scores	gpt_4o_trans	gpt_35_meteor_score	gpt_4o_meteor_score	ollama_trans_meteor_score	gpt_4o_f1_score	gpt_4o_bleu_score
2.0	The Congress leader represents Sivaganga Lok Sabha segment from Tamil Nadu.	कांग्रेस नेता तमिलनाडु से शिवगंगा लोकसभा क्षेत्र का प्रतिनिधित्व करते हैं.	100.0							कांग्रेस के नेता तमिलनाडु से सिवगंगा लोकसभा सेगमेंट का प्रतिनिधित्व करते हैं।	90.0						segment left in Hindi	कांग्रेस नेता तमिलनाडु से सिवगंगा लोक सभा सegment का प्रतिनिधित्व करते हैं।	80.0	80.0					segment left in Hindi with partial conversion attempt	0.954	0.9298	0.9417	0.9474	0.9155	0.9312	0.0	0.31	0.9	0.8	कांग्रेस नेता तमिलनाडु के शिवगंगा लोकसभा क्षेत्र का प्रतिनिधित्व करते हैं।	0.625	0.7521527129370266	0.576530612244898	0.9769	0.54
21.0	Fortis Healthcares MD and CEO Dr Ashutosh Raghuvanshi, senior Vice President (Corporate Affairs and CSR) Manu Kapila, SRLs CEO Anand Kumar presented the cheque to Indian Council of Medical Research (ICMR) Director General Prof (DR) Balram Bhargav and senior financial advisor Rajiv Roy	फोर्टिस हेल्थकेयर के एमडी और सीईओ डॉ. आशुतोष रघुवंशी, वरिष्ठ वाइस प्रेसिडेंट (कोरपोरेट मामले एवं सीएसआर) मनु कपिला, एसआरएल के सीईओ आनंद कुमार ने चैक भारतीय चिकित्सा अनुसंधान परिषद (आईसीएमआर) के महानिदेशक प्रोफेसर (डॉ.) बलराम भार्गव और वरिष्ठ वित्त सलाहकार राजीव रॉय को सौंपा	100.0							फोर्टिस हेल्थकेयर के एमडी और सीईओ डॉ। आशुतोष रघुवंशी, सीनियर वाइस प्रेसिडेंट (कॉर्पोरेट अफेयर्स और सीएसआर) मनु कपिला, एसआरएल के सीईओ आनंद कुमार ने भारतीय चिकित्सा अनुसंधान परिषद (आईसीएमआर) के डायरेक्टर जनरल प्रोफेसर (डॉ।) बलराम भारगव और सीनियर वित्तीय सलाहकार राजीव रॉय को चेक प्रस्तुत किया।	95.0						"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""director general"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" left in Hindi, but is ok"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	फोर्टिस हेल्थकेयर के एमडी और सीईओ डॉ अशुतोष रघुवंशी, सीनियर वाइस प्रेसिडेंट (कॉर्पोरेट अफेयर्स और सीएसआर) मनु कपिला, एसआरएल के सीईओ आनंद कुमार ने चेक इंडियन काउंसिल ऑफ मेडिकल रिसर्च (आईसीएमआर) के निदेशक जनरल प्रोफेसर (डॉक्टर) बलराम भार्गव और सीनियर फाइनेंशियल एडवाइजर राजीव रॉय को प्रस्तुत किया।	80.0	80.0					"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""senior financial advisor"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" left in Hindi, half translation of """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""director general"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	0.9163	0.9147	0.9155	0.8678	0.8551	0.8614	0.5	0.43	0.95	0.8	फोर्टिस हेल्थकेयर के प्रबंध निदेशक और सीईओ डॉ. अशुतोष रघुवंशी, वरिष्ठ उपाध्यक्ष (कॉर्पोरेट अफेयर्स और सीएसआर) मनु कापिला, एसआरएल के सीईओ आनंद कुमार ने भारतीय चिकित्सा अनुसंधान परिषद (ICMR) के महानिदेशक प्रोफेसर (डॉ) बलराम भार्गव और वरिष्ठ वित्तीय सलाहकार राजीव रॉय को चेक प्रदान किया।	0.7330381944444444	0.7497411152973319	0.655942641655827	0.8907	0.47
66.0	Odisha Chief Minister Naveen Patnaik held discussion with ArcelorMittal Group Chairman Lakshmi Mittal on investment in the state via video conferencing.	ओडिशा के मुख्यमंत्री नवीन पटनायक ने आर्सेलरमित्तल समूह के चेयरमैन लक्ष्मी मित्तल से राज्य में निवेश पर वीडियो कॉन्फ्रें सिंग के जरिए चर्चा की।	100.0							उड़ीसा मुख्यमंत्री नवीन पटनायक ने आर्सेलरमिटल ग्रुप चेयरमैन लक्ष्मी मित्तल के साथ राज्य में निवेश पर वीडियो कॉन्फ्रेंसिंग के माध्यम से चर्चा की।	90.0						ke missed at two places	ओडिशा के मुख्यमंत्री नवीन पटनायक ने वीडियो कॉन्फ्रेंसिंग के माध्यम से आर्सेलर मित्तल ग्रुप के अध्यक्ष लक्ष्मी मित्तल के साथ राज्य में निवेश पर चर्चा की।	100.0							0.9027	0.9024	0.9026	0.8895	0.8979	0.8936	0.33	0.33	0.9	1.0	ओडिशा के मुख्यमंत्री नवीन पटनायक ने अरसेलर मित्तल समूह के अध्यक्ष लक्ष्मी मित्तल के साथ राज्य में निवेश पर वीडियो कॉन्फ्रेंसिंग के माध्यम से चर्चा की।	0.6864675478855091	0.7278908449898125	0.6800326497296194	0.9101	0.39
85.0	He was later taken to a hospital and treated.	बाद में उसे अस्पताल ले जाया गया और इलाज किया गया।	100.0							उसे बाद में एक अस्पताल ले जाया गया और उसका इलाज किया गया।	100.0							वह बाद में एक अस्पताल ले जाया गया और इलाज किया गया।	65.0		65.0				Missing pronoun second time, unusual sentence construction  	0.9653	0.9513	0.9582	0.9674	0.9611	0.9643	0.44	0.67	1.0	0.65	उसे बाद में अस्पताल ले जाया गया और उसका इलाज किया गया।	0.9585301062573792	0.967165512620058	0.8972972972972975	0.9701	0.48
103.0	The Prime Minister, Shri Narendra Modi interacted with Karnataka Chief Minister, Shri B S Yediyurappa on the rainfall and flood situation in various parts of Karnataka.	प्रधानमंत्री श्री नरेन्द्र मोदी ने कर्नाटक के मुख्यमंत्री श्री बी एस येदियुरप्पा के साथ राज्य के विभिन्न हिस्सों में बारिश और बाढ़ की स्थिति पर बातचीत की।	100.0							प्रधानमंत्री श्री नरेंद्र मोदी ने कर्नाटक के मुख्यमंत्री श्री बी एस येदियुरप्पा से बातचीत की जिसमें कर्नाटक के विभिन्न हिस्सों में वर्षा और बाढ़ की स्थिति पर चर्चा की।	85.0	85.0					Double mention of discussion, unusual sentence construction 	प्रधानमंत्री श्री नरेंद्र मोदी ने कर्नाटक के मुख्यमंत्री श्री बी एस येदियुरप्पा से कर्नाटक के विभिन्न हिस्सों में बारिश और बाढ़ की स्थिति पर बातचीत की।	100.0							0.9573	0.9497	0.9534	0.9786	0.9821	0.9803	0.51	0.73	0.85	1.0	प्रधानमंत्री श्री नरेंद्र मोदी ने कर्नाटक के मुख्यमंत्री श्री बी.एस. येदियुरप्पा से कर्नाटक के विभिन्न हिस्सों में वर्षा और बाढ़ की स्थिति पर बातचीत की।	0.7811360597958191	0.7197026022304832	0.847429041257616	0.9646	0.53
108.0	Auto Expo is co-organised by the Society of Indian Automobile Manufacturers (SIAM), the Confederation of Indian Industry (CII) and the Automotive Component Manufacturers Association of India (ACMA).	सोसायटी ऑफ इंडियन ऑटोमोबाइल मैन्‍यूफैक्‍चरर्स (सियाम) इस ऑटो एक्‍सपो का आयोजन ऑटोमोटिव कम्‍पोनेंट मैन्‍यूफैक्‍चरर्स एसोसिएशन ऑफ इंडिया (एकमा) और कन्‍फेडरेशन ऑफ इंडियन इंडस्‍ट्री (सीआईओ) के साथ मिलकर कर रही है।	90.0						Made one organization look more prominent	ऑटो एक्सपो का संचालन भारतीय ऑटोमोबाइल निर्माता संघ (एसआईएम), भारतीय उद्योग संघ (सीआईआई) और भारत के ऑटोमोटिव कॉम्पोनेंट निर्माताओं के संघ (एसीएमए) द्वारा संयुक्त रूप से किया जाता है।	95.0						Translated every organization name into sangh	ऑटो एक्सपो सोसायटी ऑफ इंडियन ऑटोमोबाइल मैन्युफैक्चरर्स (एसआईएएम), कॉन्फेडरेशन ऑफ इंडियन इंडस्ट्री (सीआईआई) और ऑटोमोटिव कंपोनेंट मैन्युफैक्चरर्स एसोसिएशन ऑफ इंडिया (एसीएमए) द्वारा संयुक्त रूप से आयोजित किया जाता है।	95.0						Lacks clarity in the beginning (long dependency).	0.7246	0.7998	0.7604	0.8609	0.8651	0.863	0.0	0.17	0.95	0.95	ऑटो एक्सपो का सह-आयोजन भारतीय वाहन निर्माता सोसाइटी (SIAM), भारतीय उद्योग परिसंघ (CII) और भारतीय ऑटोमोटिव कंपोनेंट निर्माता संघ (ACMA) द्वारा किया जाता है।	0.2190992767915844	0.1934582702828541	0.3979301323484148	0.7402	0.0
126.0	He was speaking on the occasion of inauguration of National Conference on 'Ushering Second Green Revolution in Indian Agriculture through Public-Private Partnership' organized by the Ministry of Agriculture in collaboration with the Confederation of Indian Industry (CII) today (December 11, 2012) at Vigyan Bhawan, New Delhi.	वह आज (11 दिसम्बर, 2012) विज्ञान भवन, नई दिल्ली में भारतीय उद्योग परिसंघ के सहयोग से कृषि मंत्रालय द्वारा आयोजित सार्वजनिक-निजी साझीदारी के माध्यम से भारतीय कृषि में दूसरी हरित क्रांति पर राष्ट्रीय सम्मेलन के उद्घाटन के अवसर पर बोल रहे थे।	90.0						"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""skipped """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""ushering"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	उसने आज (11 दिसंबर, 2012) विज्ञान भवन, नई दिल्ली में संयुक्त राज्यों के सहयोग से कृषि मंत्रालय द्वारा आयोजित 'भारतीय कृषि में सार्वजनिक-निजी साझेदारी के माध्यम से द्वितीय हरित क्रांति की शुरुआत' राष्ट्रीय सम्मेलन के उद्घाटन समारोह पर बोला।	80.0	80.0					Incorrect translation of organization, unusual sentence	वह राष्ट्रीय सम्मेलन के उद्घाटन अवसर पर बोल रहे थे, जिसका शीर्षक 'भारतीय कृषि में दूसरी हरित क्रांति लाने के लिए सार्वजनिक-निजी साझेदारी' है, जिसका आयोजन कृषि मंत्रालय ने भारतीय उद्योग परिसंघ (सीआईआई) के सहयोग से आज (11 दिसंबर, 2012) विज्ञान भवन, नई दिल्ली में किया था।	85.0	85.0					"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""missing ke, unusual sentence, missed """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""ushering"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" """""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	0.9029	0.901	0.9019	0.8822	0.8269	0.8537	0.43	0.37	0.8	0.85	वह आज (11 दिसंबर, 2012) नई दिल्ली के विज्ञान भवन में कृषि मंत्रालय द्वारा भारतीय उद्योग परिसंघ (CII) के सहयोग से आयोजित 'सार्वजनिक-निजी भागीदारी के माध्यम से भारतीय कृषि में दूसरी हरित क्रांति लाना' विषय पर राष्ट्रीय सम्मेलन के उद्घाटन के अवसर पर बोल रहे थे।	0.6969776993544078	0.897052981934792	0.7137495560632074	0.9313	0.52
127.0	Later this report was also circulated widely in social media.	बाद में इस रिपोर्ट को सोशल मीडिया में भी व्यापक रूप से प्रसारित किया गया।	100.0							बाद में यह रिपोर्ट सोशल मीडिया में भी व्यापक रूप से फैलाई गई।	100.0							इस रिपोर्ट को बाद में सोशल मीडिया में व्यापक रूप से प्रसारित किया गया।	100.0							0.9153	0.9389	0.9269	0.975	0.9836	0.9793	0.46	0.53	1.0	1.0	बाद में यह रिपोर्ट सोशल मीडिया में भी व्यापक रूप से प्रसारित की गई।	0.666554054054054	0.7307670974541015	0.9286399123407754	0.9722	0.54
156.0	The exhibition will be open from December 22 - 31, 2015 (11:00 A.M- 8:00 P.M) on all days.	इस प्रदर्शनी का शुभारंभ 22 से 31 दिसम्‍बर, 2015 तक सभी दिवसों में सुबह 11 बजे से सांय 8 बजे तक होगा।	90.0						"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""open"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" mistranslated"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	प्रदर्शनी 22 दिसंबर से 31 दिसंबर, 2015 (11:00 बजे सुबह से 8:00 बजे शाम) तक सभी दिनों के लिए खुली रहेगी।	98.0							22 दिसंबर से 31 दिसंबर, 2015 तक प्रतिदिन सुबह 11:00 बजे से शाम 8:00 बजे तक प्रदर्शनी खुली रहेगी।	100.0							0.8221	0.8128	0.8174	0.816	0.8206	0.8183	0.0	0.0	0.98	1.0	प्रदर्शनी 22 दिसंबर - 31 दिसंबर, 2015 (सुबह 11:00 बजे से रात 8:00 बजे तक) सभी दिनों में खुली रहेगी।	0.3691678691678691	0.4116847826086956	0.4761686245717081	0.8295	0.0
202.0	The military officers were waiting with a car for Gandhiji.	सैन्य अधिकारी एक गाड़ी लेकर गांधीजी की प्रतीक्षा कर रहे थे।	100.0							सैन्य अधिकारी गांधीजी के लिए एक कार के साथ इंतजार कर रहे थे।	100.0							सैन्य अधिकारी गांधीजी के लिए एक कार के साथ प्रतीक्षा कर रहे थे।	100.0							0.8777	0.8824	0.88	0.9156	0.9099	0.9127	0.0	0.25	1.0	1.0	सैन्य अधिकारी गांधीजी के लिए एक कार के साथ इंतजार कर रहे थे।	0.5666909620991254	0.5666909620991254	0.6696428571428572	0.8800	0.0
