idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	gpt_3_5_trans	gpt_4o_trans	ollama_trans	gpt_35_f1_score	gpt_4o_f1_score	ollama_f1_score
36	[[0.9418835]]	As many as 32 candidates including SP ,BSP and smaller parties and independents candidates lost their deposits.	ಎಸ್ಪಿ, ಬಿಎಸ್ಪಿ ಮತ್ತು ಸಣ್ಣ ಪಕ್ಷಗಳು ಮತ್ತು ಸ್ವತಂತ್ರ ಅಭ್ಯರ್ಥಿಗಳು ಸೇರಿದಂತೆ 32 ಅಭ್ಯರ್ಥಿಗಳು ತಮ್ಮ ಠೇವಣಿ ಕಳೆದುಕೊಂಡಿದ್ದಾರೆ.	0.9418835	True	True	32 ಅಭ್ಯರ್ಥಿಗಳಲ್ಲಿ SP, BSP ಮತ್ತು ಚಿಕಾಕು ದಳಗಳು ಮತ್ತು ಸ್ವತಂತ್ರ ಅಭ್ಯರ್ಥಿಗಳು ತಮ್ಮ ಠೆವಣಗಳನ್ನು ಕಳೆದರು.	ಎಸ್‌ಪಿ, ಬಿಎಸ್‌ಪಿ ಮತ್ತು ಸಣ್ಣ ಪಕ್ಷಗಳು ಹಾಗೂ ಸ್ವತಂತ್ರ ಅಭ್ಯರ್ಥಿಗಳನ್ನು ಒಳಗೊಂಡಂತೆ 32 ಅಭ್ಯರ್ಥಿಗಳು ತಮ್ಮ ಠೇವಣಿಗಳನ್ನು ಕಳೆದುಕೊಂಡಿದ್ದಾರೆ.	ಎಸ್‌ಪಿ, ಬಿಎಸ್‌ಪಿ ಮತ್ತು ಸಣ್ಣ ಪಕ್ಷಗಳು ಹಾಗೂ ಸ್ವತಂತ್ರ ಅಭ್ಯರ್ಥಿಗಳು ಸೇರಿದಂತೆ ೩೨ ಜನ ಅಭ್ಯರ್ಥಿಗಳು ತಮ್ಮ ಡಿಪಾಸಿಟ್ ಕಳೆದುಕೊಂಡರು.	0.8464	0.9652	0.9340
186	[[0.918791]]	Around 1,130 constables are taking training at the Padma training centre.	ಪದ್ಮಾ ತರಬೇತಿ ಕೇಂದ್ರದಲ್ಲಿ ಸುಮಾರು 1 ಸಾವಿರದ 130 ಕಾನ್ಸ್ ಟೇಬಲ್ ಗಳು ತರಬೇತಿ ಪಡೆಯುತ್ತಿದ್ದಾರೆ.	0.918791	True	True	ಸುತ್ತಲು 1,130 ಕನ್ಸ್ಟೇಬಲ್ಸ್ ಪದ್ಮ ತರಬೇತಿ ಕೇಂದ್ರದಲ್ಲಿ ತರಬೇತಿ ಪಡೆಯುತ್ತಿದ್ದಾರೆ.	ಸುಮಾರು 1,130 ಕಾನ್ಸ್‌ಟೇಬಲ್‌ಗಳು ಪದ್ಮ ತರಬೇತಿ ಕೇಂದ್ರದಲ್ಲಿ ತರಬೇತಿ ಪಡೆಯುತ್ತಿದ್ದಾರೆ.	ಪದ್ಮಾ ತರಬೇತಿ ಕೇಂದ್ರದಲ್ಲಿ ಸುಮಾರು 1,130 ಕಾನ್ಸ್ಟೇಬಲ್ಗಳು ತರಬೇತಿ ಪಡೆಯುತ್ತಿದ್ದಾರೆ.	0.8691	0.8973	0.9454
201	[[0.9373034]]	Design of the home made mask has been finalized, around 150 Gamochas purchased and two sewing machines arranged (6 homemade masks can be prepared from one Gamocha).	ಮನೆಯಲ್ಲಿ ತಯಾರಿಸಿದ ಮುಖಗವಸಿನ ವಿನ್ಯಾಸವನ್ನು ಅಂತಿಮಗೊಳಿಸಲಾಗಿದೆ, ಸುಮಾರು 150 ಗಮೊಚಾಗಳನ್ನು ಖರೀದಿಸಲಾಗಿದೆ ಮತ್ತು ಎರಡು ಹೊಲಿಗೆ ಯಂತ್ರಗಳನ್ನು ವ್ಯವಸ್ಥೆ ಮಾಡಲಾಗಿದೆ (ಒಂದು ಗಮೊಚಾದಿಂದ 6 ಮುಖಗವಸುಗಳನ್ನು ತಯಾರಿಸಬಹುದು).	0.9373034	True	True	ಮನೆಯ ಮುಖವಾಸಗಳ ಡಿಜೈನ್ ಕೊನೆಯಾಯಿತು, ಸುತ್ತಲೂ 150 ಗಾಮೊಚಗಳನ್ನು ಖರೀದಿಸಲಾಗಿದೆ ಮತ್ತು ಎರಡು ಸೆವಿಂಗ್ ಮಶೀನ್ ಸಜ್ಜಾಗಿದೆ (ಒಂದು ಗಾಮೊಚದಿಂದ 6 ಮನೆಯದು ಮಾಸ್ಕ್ ತಯಾರಿಸಬಹುದು).	ಗೃಹನಿರ್ಮಿತ ಮಾಸ್ಕ್‌ಗಳ ವಿನ್ಯಾಸವನ್ನು ಅಂತಿಮಗೊಳಿಸಲಾಗಿದೆ, ಸುಮಾರು 150 ಗಮೋಚಗಳನ್ನು ಖರೀದಿಸಲಾಗಿದೆ ಮತ್ತು ಎರಡು ಹೊಲಿಗೆ ಯಂತ್ರಗಳನ್ನು ವ್ಯವಸ್ಥೆ ಮಾಡಲಾಗಿದೆ (ಒಂದು ಗಮೋಚದಿಂದ 6 ಗೃಹನಿರ್ಮಿತ ಮಾಸ್ಕ್‌ಗಳನ್ನು ತಯಾರಿಸಬಹುದು).	ಮನೆ ಮಾಡಿದ ಮುಖವಾಡದ ವಿನ್ಯಾಸ ಅಂತಿಮಗೊಂಡಿದೆ, ಸುಮಾರು 150 ಗಾಮೋಚಗಳನ್ನು ಖರೀದಿಸಲಾಗಿದೆ ಮತ್ತು ಎರಡು ಸೇವಿಂಗ್ ಮೆಷಿನ್‌ಗಳನ್ನು ಏರ್ಪಡಿಸಲಾಗಿದೆ (ಒಂದು ಗಾಮೋಚದಿಂದ 6 ಸ್ವಯಂ ಮುಖವಾಡಗಳನ್ನು ತಯಾರಿಸಬಹುದು).	0.8184	0.9067	0.8609
383	[[0.92741233]]	India scored 347 runs for the loss of 4 wickets in 50 overs.	ಅವರ ಇನ್ನಿಂಗ್ಸ್ ನಿಂದಾಗಿ ಭಾರತ ನಿಗದಿತ 50 ಓವರ್‍ಗಳಲ್ಲಿ 4 ವಿಕೆಟ್‍ಗಳ ನಷ್ಟದಲ್ಲಿ 347 ರನ್ ಗಳಿಸಿತ್ತು.	0.92741233	True	True	ಭಾರತವು 50 ಓವರುಗಳಲ್ಲಿ 4 ವಿಕೆಟ್ಗಳ ನಷ್ಟದಿಂದ 347 ರನ್ಗಳನ್ನು ಗಳಿಸಿತು.	ಭಾರತವು 50 ಓವರ್‌ಗಳಲ್ಲಿ 4 ವಿಕೆಟ್‌ಗಳನ್ನು ಕಳೆದುಕೊಂಡು 347 ರನ್‌ಗಳನ್ನು ಗಳಿಸಿದೆ.	ಭಾರತ 50 ಓವರ್‍ಗಳಲ್ಲಿ 4 ವಿಕೆಟ್‍ಗಳ ನಷ್ಟಕ್ಕೆ 347 ರನ್‍ಗಳನ್ನು ಗಳಿಸಿತು.	0.8808	0.8559	0.8983
411	[[0.91698915]]	Kiara Advani to play Kartik Aaryan's leading lady in Bhool Bhulaiyaa 2	‘ಭೂಲ್ ಭೂಲೈಯಾ 2’ ಚಿತ್ರದಲ್ಲಿ ಕಾರ್ತಿಕ್ ಆರ್ಯನ್ ಗೆ ನಾಯಕಿ ಕಿಯಾರಾ ಅಡ್ವಾಣಿ	0.91698915	True	True	ಭೂಲ್ ಭೂಲಾಯ್ 2 ನಲ್ಲಿ ಕಾರ್ತಿಕ್ ಆರ್ಯನ್ ಮುಖ್ಯ ಹೆಣ್ಣಾಗಿ ಕಿಯಾರಾ ಅಡ್ವಾನಿ ನಟನೆ ಮಾಡುವುದು.	ಭೂಲ್ ಭುಲೈಯ್ಯಾ 2 ನಲ್ಲಿ ಕಾರ್ತಿಕ್ ಆರ್‍ಯನ್ ಅವರ ನಾಯಕನಿಯಾಗಿ ಕಿಯಾರಾ ಅಡ್ವಾಣಿ ನಟಿಸಲಿದ್ದಾರೆ.	ಕಿಯಾರಾ ಅಡ್ವಾಣಿ ಭೂಲ್ ಭುಲೈಯಾ 2 ರಲ್ಲಿ ಕಾರ್ತಿಕ್ ಆರ್ಯನ್ ನ ನಾಯಕಿಯಾಗಿ ನಟಿಸಲಿದ್ದಾರೆ.	0.8096	0.8421	0.8484
486	[[0.90410113]]	Several of Thomas' brothers remained in Virginia, one of whom married a daughter of Patrick Henry.	ಹಲವಾರು ಥಾಮಸ್ ಸಹೋದರರು ವರ್ಜಿನಿಯಾದಲ್ಲಿಯೇ ಇದ್ದರು, ಇವರಲ್ಲಿ ಒಬ್ಬರು ಪ್ಯಾಟ್ರಿಕ್ ಹೆನ್ರಿಯ ಪುತ್ರಿ ವಿವಾಹವಾದರು.	0.90410113	True	True	ಥಾಮಸ್ ಸಹೋದರರಲ್ಲಿ ಕೆಲವರು ವರ್ಜೀನಿಯಾದಲ್ಲಿ ಉಳಿದರು, ಯಾರಲ್ಲಿ ಪ್ಯಾಟ್ರಿಕ್ ಹೆನ್ರಿಯ ಮಗಳನೊಂದಿಗೆ ವಿವಾಹ ಮಾಡಿದವನು.	ಥಾಮಸ್‌ನ ಹಲವಾರು ಸಹೋದರರು ವರ್ಜೀನಿಯಾದಲ್ಲಿ ಉಳಿದರು, ಅವರಲ್ಲಿ ಒಬ್ಬರು ಪ್ಯಾಟ್ರಿಕ್ ಹೆನ್ರಿಯ ಪುತ್ರಿಯನ್ನು ವಿವಾಹವಾಗಿದರು.	ಥಾಮಸ್‍ನ ಸೋದರರಲ್ಲಿ ಕೆಲವರು ವರ್ಜೀನಿಯಾದಲ್ಲಿ ಉಳಿದರು, ಅವರಲ್ಲಿ ಒಬ್ಬರು ಪ್ಯಾಟ್ರಿಕ್ ಹೆನ್ರಿಯ ಮಗಳನ್ನು ವಿವಾಹವಾದರು.	0.8665	0.9251	0.8981
598	[[0.93726647]]	The Prime Minister, Shri Narendra Modi, has greeted the people on the occasion of Navroz, the Parsi new year.	ಪ್ರಧಾನಮಂತ್ರಿ ಶ್ರೀ ನರೇಂದ್ರ ಮೋದಿ ಅವರು, ಪಾರ್ಸಿ ಹೊಸ ವರ್ಷ ನವರೋಜ್ ಸಂದರ್ಭದಲ್ಲಿ ಜನತೆಗೆ ಶುಭ ಕೋರಿದ್ದಾರೆ.	0.93726647	True	True	ಪ್ರಧಾನಿ, ಶ್ರೀ ನರೇಂದ್ರ ಮೋದಿ, ನವರೋಜ್, ಪಾರ್ಸಿ ಹೊಸ ವರ್ಷದ ಸಂದರ್ಭದಲ್ಲಿ ಜನರನ್ನು ಶುಭಾಶಯ ಹೇಳಿದ್ದಾರೆ.	ಪ್ರಧಾನಮಂತ್ರಿ ಶ್ರೀ ನರೇಂದ್ರ ಮೋದಿ ಅವರು ಪಾರ್ಸಿ ಹೊಸ ವರ್ಷದ ನವರೋಜ್ ಅಂಗವಾಗಿ ಜನತೆಗೆ ಶುಭಾಶಯಗಳನ್ನು ತಿಳಿಸಿದ್ದಾರೆ.	ಪ್ರಧಾನ ಮಂತ್ರಿ ಶ್ರೀ ನರೇಂದ್ರ ಮೋದಿ ಅವರು ನವ್ರೋಜ್ ಅಥವಾ ಪಾರ್ಸಿ ನೂತನ ವರ್ಷದ ಸಂದರ್ಭದಲ್ಲಿ ಜನರಿಗೆ ಶುಭಾಶಯ ಸಲ್ಲಿಸಿದ್ದಾರೆ.	0.8876	0.9127	0.8926
632	[[0.9216981]]	WhatsApp announced the MyGov helpline (+919013151515) last month.	ಇನ್ನು ವಾಟ್ಸಾಪ್ ಕಳೆದ ತಿಂಗಳು ಮೈಗೊವ್ ಸಹಾಯವಾಣಿ (+919013151515) ಅನ್ನು ಸಹ ಘೋಷಣೆ ಮಾಡಿತ್ತು.	0.9216981	False	True	WhatsApp ಹಿಂದಿನ ತಿಂಗಳಲ್ಲಿ MyGov ಹೆಲ್ಪ್‌ಲೈನ್ (+919013151515) ಯನ್ನು ಪ್ರಕಟಿಸಿತು.	ವಾಟ್ಸಪ್ ಕಳೆದ ತಿಂಗಳು ಮೈಗವ್ ಸಹಾಯವಾಣಿ (+919013151515) ಅನ್ನು ಘೋಷಿಸಿತು.	ವಾಟ್ಸ್ ಅಪ್ ಕಳೆದ ತಿಂಗಳು ಮೈಗವ್ ಹೆಲ್ಪ್ ಲೈನ್ (+919013151515) ಅನ್ನು ಪ್ರಕಟಿಸಿತು.	0.7928	0.9331	0.8677
651	[[0.9173553]]	About 50-65 percent of students in HE institutions like Central Universities, IITs, IIITs, NITs, IISERs are participating in some form of e-learning	ಕೇಂದ್ರೀಯ ವಿಶ್ವವಿದ್ಯಾಲಯಗಳು, ಐಐಟಿಗಳು, ಐಐಐಟಿಗಳು, ಎನ್ಐಟಿಗಳು, ಐಐಎಸ್ಇಆರ್ ಗಳಂತಹ ಉನ್ನತ ಶಿಕ್ಷಣ ಸುಮಾರು 50-65 ಪ್ರತಿಶತದಷ್ಟು ವಿದ್ಯಾರ್ಥಿಗಳು ಕೆಲವು ರೀತಿಯ ಇ-ಕಲಿಕೆಯಲ್ಲಿ ಭಾಗವಹಿಸುತ್ತಿದ್ದಾರೆ.	0.9173553	True	True	ಸೆಂಟ್ರಲ್ ವಿಶ್ವವಿದ್ಯಾನಿಲಯಗಳು, ಐಐಟಿಗಳು, ಐಐಐಟಿಗಳು, ಎನ್‌ಐಟಿಗಳು, ಐಐಎಸರ್‌ಗಳಂತಹ ಹಿಂದಿನ ಶಿಕ್ಷಣ ಸಂಸ್ಥೆಗಳಲ್ಲಿ ಹೆಚ್ಚುವರಿ 50-65 ಶಾತಮಾನದ ವಿದ್ಯಾರ್ಥಿಗಳು ಯಾವುದೇ ರೂಪದ ಈ-ಲೆರ್ನಿಂಗ್‌ನ ರೂಪದಲ್ಲಿ ಭಾಗವಹಿಸುತ್ತಿದ್ದಾರೆ.	ಕೇಂದ್ರ ವಿಶ್ವವಿದ್ಯಾಲಯಗಳು, ಐಐಟಿಗಳು, ಟ್ರಿಪ್ಲೈಟಿಗಳು, ಎನ್‌ಐಟಿಗಳು, ಐಐಎಸ್‌ಇಆರ್‌ಗಳಂತಹ ಉನ್ನತ ಶಿಕ್ಷಣ ಸಂಸ್ಥೆಗಳಲ್ಲಿ ಸುಮಾರು 50-65 ಶೇಕಡಾ ವಿದ್ಯಾರ್ಥಿಗಳು ಕೆಲವು ರೀತಿಯ ಇ-ಲರ್ನಿಂಗ್‌ನಲ್ಲಿ ಭಾಗವಹಿಸುತ್ತಿದ್ದಾರೆ.	ಸೆಂಟ್ರಲ್ ಯೂನಿವರ್ಸಿಟಿಗಳು, ಐಐಟಿಗಳು, ಐಐಐಟಿಗಳು, ಎನ್ಐಟಿಗಳು, ಐಐಎಸ್ಇಆರ್ಗಳಂತಹ ಉನ್ನತ ಶಿಕ್ಷಣ ಸಂಸ್ಥೆಗಳಲ್ಲಿನ ವಿದ್ಯಾರ್ಥಿಗಳ ಸುಮಾರು 50-65 ಪ್ರತಿಶತ್ ಜನರು ಯಾವುದಾದರೂ ರೂಪದ ಇ-ಕಲಿಕೆಯಲ್ಲಿ ಭಾಗವಹಿಸುತ್ತಿದ್ದಾರೆ.	0.8874	0.9371	0.8742
707	[[0.9196124]]	The tripartite agreement was signed by Assam Chief Minister Sarbananda Sonowal, the top representatives of the four factions of the NDFB, ABSU, Joint Secretary in the Home Ministry Satyendra Garg and Assam Chief Secretary Kumar Sanjay Krishna.	ಬೋಡೋಲ್ಯಾಂಡ್ ನ ತ್ರಿಪಕ್ಷೀಯ ಒಪ್ಪಂದಕ್ಕೆ ಅಸ್ಸಾಂ ಮುಖ್ಯಮಂತ್ರಿ ಸರ್ಬಾನಂದಾ ಸೋನೋವಾಲ್, ಎನ್ ಡಿಎಫ್ ಬಿ, ಎಬಿಎಸ್ ಯುನ ಪ್ರಮುಖ ನಾಯಕರು, ಗೃಹ ಸಚಿವಾಲಯದ ಜಂಟಿ ಕಾರ್ಯದರ್ಶಿ ಸತ್ಯೇಂದ್ರ ಗರ್ಗ್ ಮತ್ತು ಅಸ್ಸಾಂ ಮುಖ್ಯ ಕಾರ್ಯದರ್ಶಿ ಕುಮಾರ್ ಸಂಜಯ್ ಕೃಷ್ಣಾ ಅವರು ಕೇಂದ್ರ ಗೃಹ ಸಚಿವ ಅಮಿತ್ ಶಾ ಸಮ್ಮುಖದಲ್ಲಿ ಸಹಿ ಹಾಕಿರುವುದಾಗಿ ವರದಿ ತಿಳಿಸಿದೆ.	0.9196124	True	True	ಅಸಾಮ್ ಮುಖ್ಯಮಂತ್ರಿ ಸರ್ಬನಂದ ಸೋನೊವಾಲ್, NDFB ನ ನಾಲ್ಕು ಪಂಗಡಗಳ ಮುಖಪಾತ್ರಗಳು, ABSU, ಗೃಹ ಮಂತ್ರಾಲಯದ ಜಾಯಿಂಟ್ ಸೆಕ್ರೆಟರಿ ಸತ್ಯೇಂದ್ರ ಗರ್ಗ್ ಮತ್ತು ಅಸಾಮ್ ಮುಖ್ಯ ಕಾರ್ಯದರ್ಶಿ ಕುಮಾರ್ ಸಂಜಯ್ ಕೃಷ್ಣನ ಸಹಚಿತ್ರ ಒಪ್ಪಂದ ಸಹಿ ಮಾಡಲಾಯಿತು.	ತ್ರಿಪಕ್ಷೀಯ ಒಪ್ಪಂದವನ್ನು অসমದ ಮುಖ್ಯಮಂತ್ರಿ ಸರ್ಬಾನಂದ ಸೋನೋವಾಲ್, ಎನ್‌ಡಿಎಫ್‌ಬಿ ಯ ನಾಲ್ಕು ವಿಭಜನೆಗಳ ಪ್ರಮುಖ ಪ್ರತಿನಿಧಿಗಳು, ಎಬಿಎಸ್‌ಯು, ಗೃಹ ಸಚಿವಾಲಯದ ಸಂಯುಕ್ತ ಕಾರ್ಯದರ್ಶಿ ಸತ್ಯೇಂದ್ರ ಗಾರ್ಗ್ ಮತ್ತು অসমದ ಮುಖ್ಯ ಕಾರ್ಯದರ್ಶಿ ಕುಮಾರ್ ಸಂಜಯ್ ಕೃಷ್ಣ ಅವರು ಸಹಿ ಹಾಕಿದರು.	ಅಸ್ಸಾಂ ಮುಖ್ಯಮಂತ್ರಿ ಸರ್ಬಾನಂದ ಸೋನೋವಾಲ್, ಎನ್‌ಡಿಎಫ್‌ಬಿಯ ನಾಲ್ಕು ಪಂಗಡಗಳ ಪ್ರಮುಖ ಪ್ರತಿನಿಧಿಗಳು, ಹೋಂ ಸಚಿವಾಲಯದ ಜಂಟಿ ಕಾರ್ಯದರ್ಶಿ ಸತ್ಯೇಂದ್ರ ಗಾರ್ಗ್ ಮತ್ತು ಅಸ್ಸಾಂ ಮುಖ್ಯ ಕಾರ್ಯದರ್ಶಿ ಕುಮಾರ್ ಸಂಜಯ್ ಕೃಷ್ಣಾ ಅವರು ತ್ರಿಪಕ್ಷೀಯ ಒಪ್ಪಂದಕ್ಕೆ ಸಹಿ ಹಾಕಿದರು.	0.8114	0.8264	0.8823
