idx	src	tgt	Perfect(90-100)	Good(70-90)	Fair(51-69)	Poor(30-50)	bad(11-29)	worst(0-10)	Comments	en_mr_gpt-4o_trans_las_gt_las_gt_0_9_gt_8_words	human_eval_chatgpt4o	Good(70-90).1	Fair(51-69).1	Poor(30-50).1	bad(11-29).1	worst(0-10).1	Comments.1	en_mr_output_ollama_v3_trans_las_gt_las_gt_0_9_gt_8_words	human_eval_ollama	Good(70-90).2	Fair(51-69).2	Poor(30-50).2	bad(11-29).2	worst(0-10).2	Comments.2	Unnamed: 26	gpt_p_scores	gpt_r_scores	gpt_f1_scores	ollama_p_scores	ollama_r_scores	ollama_f1_scores	gpt_bleu_scores	ollama_bleu_scores	human_eval_gpt_scores	human_eval_ollama_scores	en_mr_gpt_3_5_trans_las_gt_las_gt_0_9_gt_8_words	gpt_35_meteor_score	gpt_4o_meteor_score	ollama_trans_meteor_score	gpt_35_f1_score	gpt_35_bleu_score
221.0	Deepak Shirke is an Indian film actor who is known for his work in Hindi and Marathi films.	'दीपक शिर्के' मराठी व हिंदी भाषा चित्रपटांतून काम करणारा अभिनेता आहे.	85.0	85.0					Indian missed	दीपक शिर्के हे एक भारतीय चित्रपट अभिनेते आहेत जे त्यांच्या हिंदी आणि मराठी चित्रपटांमधील कार्यासाठी ओळखले जातात.	100.0							दीपक शिर्के हा एक भारतीय चित्रपट अभिनेता आहे जो हिंदी आणि मराठी चित्रपटांमधील कामासाठी ओळखला जातो.	100.0								0.8311	0.7676	0.7981	0.8608	0.8166	0.8381	0.0	0.0	1.0	1.0	दीपक शिर्के हे एक भारतीय चित्रपट अभिनेता आहेत ज्यांच्या हिंदी आणि मराठी चित्रपटांमध्ये काम करण्याची माहिती आहे.	0.4383680555555556	0.2583333333333333	0.4003139717425431	0.8418	0.0
308.0	The film is produced by Salman's brother-in-law Atul Agnihotri.	या सिनेमाची सलमानचा भावोजी अतुल अग्निहोत्रीने निर्मिती केली होती.	100.0							चित्रपटाचे निर्माते सलमानचे मेव्हणे अतुल अग्निहोत्री आहेत.	100.0							चित्रपट अतुल अग्निहोत्री यांच्या मार्फत निर्मित आहे, जे सलमानचे जावई आहेत.	85.0						brother-in-law mistranslated	??	0.8288	0.8411	0.8349	0.8302	0.8235	0.8269	0.0	0.0	1.0	0.85	चित्रपटाची उत्पादने सलमानच्या दाबांच्या दावडीच्या अतुल अग्निहोत्रीद्वारे केली गेली आहे.	0.1485148514851484	0.1020408163265306	0.0970873786407767	0.8234	0.0
442.0	India has been elected as a Member of the International Telecommunications Union (ITU) Councilfor another 4-year term (2019-2022).	आंतरराष्ट्रीय दूरसंचार संघ (आयटीयू) परिषदेचा सदस्य म्हणून भारताची 2019  ते 2022 अशा 4-वर्षांच्या  कालावधीकरीता पुन्हा निवड झाली आहे.	100.0							भारताला आंतरराष्ट्रीय दूरसंचार संघटना (ITU) परिषदेच्या सदस्य म्हणून आणखी 4 वर्षांच्या कालावधीसाठी (2019-2022) निवडण्यात आले आहे.	100.0							भारताने आंतरराष्ट्रीय दूरसंचार संघटना (आयटीयू) परिषदेचे सदस्यत्व पुन्हा ४ वर्षांच्या कालावधीसाठी (२०१९-२०२२) मिळवले आहे.	100.0								0.8658	0.8829	0.8743	0.8585	0.8432	0.8508	0.0	0.0	1.0	1.0	भारत ने अंतरराष्ट्रीय दूरसंचार संघ (ITU) परिषद के सदस्य के रूप में एक और 4 वर्षीय कार्यकाल (2019-2022) के लिए चुना गया है।	0.1722222222222222	0.3344494047619047	0.3034855769230768	0.8059	0.0
512.0	The people of Uttar Pradesh in 2014 have given a new hope to the nation that was shrouded in darkness and despair for 30 years.	30 वर्षांपासून निराशेच्या गर्तेमध्ये बुडून गेलेल्या देशाला आशेचा नवीन किरण दाखवण्याचं काम 2014 मध्ये या उत्तर प्रदेशच्या जनतेने केले आहे.	90.0						Missed darkness, added kaam	२०१४ मध्ये उत्तर प्रदेशातील लोकांनी ३० वर्षे अंधार आणि नैराश्याच्या गर्तेत असलेल्या राष्ट्राला एक नवीन आशा दिली आहे.	100.0							उत्तर प्रदेशच्या लोकांनी २०१४ मध्ये ३० वर्षांपासून अंधकार आणि निराशेने झाकलेल्या राष्ट्राला नवी आशा दिली.	100.0								0.7285	0.793	0.7594	0.7511	0.8015	0.7755	0.0	0.0	1.0	1.0	2014ರಲ್ಲಿ ಉತ್ತರ ಪ್ರದೇಶದ ಜನರು 30 ವರ್ಷಗಳ ಕತ್ತಿನಲ್ಲಿ ಮುಳುಗಿ ನಿರಾಶೆಯಲ್ಲಿ ಮುಳುಗಿದ ದೇಶಕ್ಕೆ ಹೊಸ ನಿರಾಶೆಯನ್ನು ನೀಡಿದ್ದಾರೆ.	0.0490196078431372	0.1788461538461538	0.1814634146341463	0.6966	0.0
584.0	According to global naval analysts, Chinese navy currently has over 50 submarines and about 350 ships.	जागतिक नौदल विश्लेषकांच्या मते, चीनकडे 50 पेक्षा जास्त पाणबुड्या आणि सुमारे 350 जहाजं आहेत.	90.0						Missed navy	जागतिक नौदल विश्लेषकांच्या मते, चिनी नौदलाकडे सध्या ५० हून अधिक पाणबुड्या आणि सुमारे ३५० जहाजे आहेत.	100.0							जागतिक नौदल विश्लेषकांच्या मते, चिनी नौदलात सध्या ५० पेक्षा जास्त पाणबुड्या आणि सुमारे ३५० जहाजे आहेत.	100.0								0.9338	0.9108	0.9221	0.9528	0.9284	0.9404	0.3	0.43	1.0	1.0	જાહેર નૌકાઓના વિશ્વવિદ્વેષકો અનુસાર, ચીની નૌસેનામાં હાલમાં 50 થાં અને તક્રાર 350 જહાજો છે.	0.125	0.6089506172839506	0.7349537037037037	0.7421	0.0
646.0	The police are investigating if it was a suicide or a murder.	ही आत्महत्या आहे की घातपात आहे याचा पोलिस तपास करत आहेत.	100.0							पोलीस आत्महत्या होती की खून याचा तपास करत आहेत.	100.0							पोलीस हे आत्महत्या की हत्या होती का तपास करत आहेत.	85.0						ka incorrect		0.8553	0.8808	0.8678	0.8097	0.8287	0.8191	0.25	0.24	1.0	0.85	पोलीस तपाईंको आत्महत्या वा हत्याको जाँच गर्दै छ।	0.043103448275862	0.537876167416119	0.4726890756302521	0.7312	0.0
731.0	One passenger was killed and three others were injured in the mishap.	या अपघातात एकाचा मृत्यू झाला असून तीन प्रवासी जखमी झाले आहेत.	100.0							या अपघातात एक प्रवासी ठार झाला आणि इतर तिघे जखमी झाले.	100.0							एक प्रवासी मृत्युमुखी झाला आणि तीन जणांना जखमी झाले.	85.0	85.0					missed mishap		0.8861	0.8797	0.8829	0.8191	0.8299	0.8245	0.0	0.0	1.0	0.85	एक यात्री मृत हो गया था और तीन और घायल हो गए थे दुर्घटना में।	0.040650406504065	0.4770408163265306	0.3613465160075328	0.7749	0.0
757.0	However, it is nearly after 100 years that for the first time we have succeeded in sending a large contingent of 119 players to Rio.	मात्र सुमारे शंभर वर्षापेक्षा जास्त काळानंतर पहिल्यांदा 119 खेळाडूंचे मोठे पथक रिओमध्ये पोहोचवण्यात आपण यशस्वी ठरलो आहोत.	100.0							मात्र, हे जवळजवळ 100 वर्षांनंतर पहिल्यांदाच आम्ही 119 खेळाडूंचा मोठा चमू रिओला पाठवण्यात यशस्वी झालो आहोत.	100.0							पण १०० वर्षांनंतर प्रथमच आम्ही रियोला ११९ खेळाडूंचा मोठा दल पाठविण्यात यशस्वी झालो आहे.	100.0								0.8297	0.855	0.8422	0.7599	0.8247	0.791	0.0	0.0	1.0	1.0	तर हुशार, प्रथमच अधिकारिपद रियो येथे 119 खेळाडू ला पाठवून 100 वर्षांनंतर लागलं आहे.	0.0561797752808988	0.2066666666666666	0.0564971751412429	0.7158	0.0
771.0	But nobody knew who she was.	परंतु ती व्यक्ती कोण, याबाबत कुणालाच काही कल्पना नव्हती.	100.0							पण कोणालाही माहित नव्हते की ती कोण होती.	100.0							पण ती कोण होती हे कुणालाच माहीत नव्हते.	100.0								0.7402	0.772	0.7557	0.7896	0.8369	0.8126	0.0	0.0	1.0	1.0	पण कोणाला कळलं की ती कोण होती.	0.1401869158878504	0.1388888888888888	0.1851851851851851	0.7324	0.0
801.0	He is former World No.1 ranked Trap Shooter.	तो माजी विश्व नंबर 1 मधील ट्रॅप शूटर आहे.	100.0							तो माजी जागतिक क्रमांक १ चा ट्रॅप शूटर आहे.	100.0							तो माजी विश्व क्रमांक १ ट्रॅप शूटर होता.	85.0	85.0					made past tense		0.8943	0.8669	0.8804	0.8807	0.8904	0.8855	0.31	0.0	1.0	0.85	त्याने माजी विश्व क्रमांक 1 दर्जाचा ट्रॅप शूटर आहे.	0.6724489795918367	0.5888888888888889	0.5681818181818182	0.9019	0.32
