idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	gpt_3_5_trans	gpt_4o_trans	ollama_trans	gpt_35_f1_score	gpt_4o_f1_score	ollama_f1_score
16	[[0.93130046]]	The police stated a case has been registered and further investigations were on.	ପୋଲିସ ଏ ନେଇ ମାମଲା ଦାୟର କରି ଅଧିକ ତଦନ୍ତ ଜାରି ଥିବା ସୂଚନା ଦେଇଛନ୍ତି।	0.93130046	True	True	ପୋଲିସ ବ୍ୟାପ୍ତି ଦେଇଛନ୍ତି ଯାହା ଏକ ମାମଲା ରଜିଷ୍ଟର୍ଡ ହୋଇଛି ଏବଂ ଅଧିକ ତନିକ ଚାଲିଛି।	ପୋଲିସ କହିଲେ ଯେ ଏକ ମାମଲା ରଜିଷ୍ଟର୍‌ ହୋଇଛି ଏବଂ ଅନୁସନ୍ଧାନ ଚାଲିଛି।	ପୋଲିସ୍ କହିଛନ୍ତି ଯେ ଏକ ମାମଲା ଦାୟର ହୋଇଛି ଏବଂ ଅଧିକ ଅନୁସନ୍ଧାନ ଚାଲୁଅଛି।	1.	0.9929	0.9983
33	[[0.9079262]]	Dr Bhoodes, who was on Odisha visit, met Secretary MSME, Hemant Sharma, Principal Secretary Agriculture, Saurabh Garg and other senior officials.	ଓଡିଶା ଗସ୍ତରେ ଥିବା ଶ୍ରୀ ଭୁଦେଶ ଏମ୍‍ଏସ୍‍ଏମ୍‍ଇ ସଚିବ ହେମନ୍ତ ଶର୍ମା, କୃଷି ବିଭାଗର ପ୍ରମୁଖ ସଚିବ ସୌରଭ ଗର୍ଗ ଏବଂ ଅନ୍ୟ ବରିଷ୍ଠ ଅଧିକାରୀମାନଙ୍କୁ ଭେଟିଛନ୍ତି ।	0.9079262	True	True	ଡାକ୍ତର ଭୁଡେସ, ଯେଉଁଠି ଓଡ଼ିଶାର ଦର୍ଶନ କରିଛନ୍ତି, ସେକ୍ରେଟାରୀ MSME, ହେମନ୍ତ ଶର୍ମା, ପ୍ରିନ୍ସିପାଲ ସେକ୍ରେଟରୀ କୃଷି, ସୗରଭ ଗର୍ଗ ଓ ଅନ୍ୟ ବରିଷ୍ଠ ଅଧିକାରୀଙ୍କୁ ମିଳିଛନ୍ତି।	ଓଡ଼ିଶା ସଫରରେ ଥିବା ଡ଼ା. ଭୂଦେଶ, ଏମଏସଏମଇ ସଚିବ ହେମନ୍ତ ଶର୍ମା, କୃଷି ପ୍ରଧାନ ସଚିବ ସୌରଭ ଗର୍ଗ ଓ ଅନ୍ୟ ଜେଷ୍ଠ ଅଧିକାରୀମାନଙ୍କ ସହ ଭେଟିଲେ।	ଡାକ୍ଟର ଭୂଦେଶ, ଯିଏ ଓଡ଼ିଶା ଭ୍ରମଣରେ ଥିଲେ, ଏମ୍‍ଏସ୍‍ଏମ୍‍ଇ ସଚିବ ହେମନ୍ତ ଶର୍ମା, କୃଷି ମୁଖ୍ୟ ସଚିବ ସୌରଭ ଗର୍ଗ ଏବଂ ଅନ୍ୟାନ୍ୟ ସୀନିୟର ଅଧିକାରୀଙ୍କୁ ଭେଟିଲେ।	0.9146	0.9679	0.9705
115	[[0.9092449]]	The wedding was attended by only family and close friends.	ବିବାହରେ କେବଳ ପରିବାର ଲୋକ ଏବଂ କିଛି ନିକଟ ସମ୍ପର୍କୀୟ ବନ୍ଧୁ ସାମିଲ ହୋଇଥିଲେ।	0.9092449	True	True	ବିବାହ କେବଳ ପରିବାର ଓ ନିକଟ ପ୍ରଜାତଙ୍କ ଦ୍ଵାରା ଉପସ୍ଥିତ କରାଯାଇଥିଲା।	ବିବାହ ଅନୁଷ୍ଠାନରେ କେବଳ ପରିବାର ଓ ଘନିଷ୍ଠ ମିତ୍ରମାନେ ଯୋଗ ଦେଇଥିଲେ।	ବିବାହ କେବଳ ପରିବାର ଓ ନିକଟତମ ବନ୍ଧୁମାନଙ୍କଦ୍ୱାରା ଅନୁଷ୍ଠିତ ହୋଇଥିଲା।	0.9902	0.9902	0.9775
121	[[0.9103717]]	In Myanmar even today, Ramayana is presented by the name of Yama.	ମିଆଁମାରରେ ଆଜି ମଧ୍ୟ ରାମାୟଣକୁ ୟାମା ନାଁରେ ଉପସ୍ଥାପିତ କରାଯାଉଛି ।	0.9103717	True	True	ମ୍ୟାନମାରେ ଆଜି ପରେ ରାମାୟଣକୁ ଯମର ନାମରେ ପ୍ରସ୍ତୁତ କରାଯାଇଥିବ।	"""ମ୍ୟାନମାରରେ ଆଜିବି ରାମାୟଣକୁ """"ଯମ"""" ନାମରେ ପ୍ରସ୍ତୁତ କରାଯାଏ।"""	ମିଆନ୍ମାରରେ ଆଜି ମଧ୍ୟ ରାମାୟଣ ଯମଙ୍କ ନାମରେ ପ୍ରସ୍ତୁତ ହୁଏ ।	1.	0.8225	1.
132	[[0.9012846]]	Among them were six women and children.	ସେମାନଙ୍କ ମଧ୍ୟରେ ରହିଛନ୍ତି ଛଅ ଜଣ ମହିଳା ଓ ଛଅ ଜଣ ପିଲା ।	0.9012846	False	True	ସେମାରେ ଷଟଟି ମହିଳା ଏବଂ ଶିଶୁ ଥିଲେ।	ତାଙ୍କମଧ୍ୟରେ ଛଅ ଜଣ ମହିଳା ଏବଂ ଶିଶୁ ଥିଲେ।	ସେମାନଙ୍କ ମଧ୍ୟରେ ଛଅଜଣ ମହିଳା ଓ ପିଲାମାନ ଥିଲେ ।	0.9438	0.9712	0.9712
171	[[0.91966283]]	He died while undergoing treatment at a private hospital in Hyderabad.	ହାଇଦ୍ରାବାଦର ଏକ ଘରୋଇ ହସ୍ପିଟାଲରେ ଚିକିତ୍ସାଧିନ ଅବସ୍ଥାରେ ତାଙ୍କର ମୃତ୍ୟୁ ଘଟିଛି।	0.91966283	True	True	ହୈଦରାବାଦରେ ଏକ ବ୍ୟକ୍ତିଗତ ଆସୁଚନାଲୟରେ ଚିକିତ୍ସା ପ୍ରକୃତରେ ମୃତ ହୋଇଛନ୍ତି।	ସେ ହାଇଦ୍ରାବାଦର ଏକ ବେସରକାରୀ ହସପିଟାଲରେ ଚିକିତ୍ସାଧୀନ ଅବସ୍ଥାରେ ମୃତ୍ୟୁବରଣ କଲେ।	ହେ ହାଇଦରାବାଦରେ ଥିବା ଏକ ବେଶୀ ହସ୍ପିଟାଲରେ ଚିକିତ୍ସା କରାଉଥିବା ବେଳେ ତାଙ୍କୁ ମୃତ୍ୟୁ ହେଇଥିଲା ।	0.9956	1.0000	0.9826
198	[[0.91885495]]	No passengers were reported injured in the incident.	ଏହି ଦୁର୍ଘଟଣାରେ କୌଣସି ଯାତ୍ରୀ ଆଘାତପ୍ରାପ୍ତ ହୋଇ ନଥିବା ଜାଣିବାକୁ ମିଳିଛି।	0.91885495	False	True	ଘଟଣାରେ କୌଣସି ଯାତ୍ରୀ କଷ୍ଟ ପାଇନାହିଁ।	ଘଟଣାରେ କୌଣସି ଯାତ୍ରୀ ଆହତ ହୋଇନଥିବାବେଳେ ଖବର ମିଳିଲା ନାହିଁ।	ଏହି ଘଟଣାରେ କୌଣସି ଯାତ୍ରୀଙ୍କୁ ଆହତ ହେବାର କଥା ରିପୋର୍ଟ ହୋଇନାହିଁ ।	0.9291	0.9956	1.0000
288	[[0.9102241]]	I am confident that when we observe Independence Day in 2022, we will try to give a pucca home to everyone. Speaking further on provision of homes, the PM said: Interest exemption on home loans up to 1.5 lakh rupees has been provided, so that the middle class can have their homes.	ମୋର ବିଶ୍ୱାସ ଯେ 2022ରେ ଯେତେବେଳେ ଆମେ ଆମର ସ୍ୱାଧୀନତା ଦିବସ ପାଳନ କରୁଥିବା, ଆମେ ସମସ୍ତଙ୍କୁ ଏକ ପକ୍କା ଘର ପ୍ରଦାନ କରିବାର ଚେଷ୍ଟା କରିବା ।” ଘର ସମ୍ବନ୍ଧୀୟ ବ୍ୟବସ୍ଥା ଉପରେ ପୁନଶ୍ଚ ପ୍ରକାଶ କରି ପ୍ରଧାନମନ୍ତ୍ରୀ କହିଲେ, “1.5 ଲକ୍ଷ ଗୃହ ଋଣ ଉପରେ ଋଣ ମୁକ୍ତି ଉପଲବ୍ଧ କରାଯାଇଛି, ଯାହା ଫଳରେ କି ମଧ୍ୟମବର୍ଗଙ୍କ ପାଖରେ ସେମାନଙ୍କ ଘର ଥିବ ।	0.9102241	True	True	ମୁଁ ଭବିଷ୍ୟତେ 2022 ରେ ସ୍ୱତନ୍ତ୍ରତା ଦିବସ ପାଳିବାକୁ ଆମେ ପ୍ରତିଷ୍ଠାନ ଦେବୁଂ ଯେତେବେଳେ। ବାହାଳିତେ ଘର ପ୍ରଦାନ କରିବାରେ, ପ୍ରଧାନମନ୍ତ୍ରୀ ବୋଲିଲେ: 1.5 ଲାଖ ଟଙ୍କା ପର୍ଯ୍ୟନ୍ତ ଘର ଋଣ ଉପରେ ବାଞ୍ଚ ମୁକ୍ତି ଦେଇଛି, ଏହାରେ ସାଧାରଣ ମାନଙ୍କ ଘର ରହିବା ପାରିବେ।	ମୁଁ ନିଶ୍ଚିତ ଯେ, ଯେତେବେଳେ ଆମେ 2022ରେ ସ୍ୱାଧୀନତା ଦିବସ ପାଳନ କରିବୁ, ସେତେବେଳେ ପ୍ରତ୍ୟେକଙ୍କୁ ଗୋଟିଏ ପ୍ୟକ୍କା ଘର ଦେବାକୁ ଚେଷ୍ଟା କରିବୁ। ଘର ପ୍ରଦାନ ସମ୍ବନ୍ଧରେ ଆହୁରି କଥା କହିଥାଉଥିବା ସମୟରେ ପ୍ରଧାନମନ୍ତ୍ରୀ କହିଥିଲେ: ଘର ଋଣ ଉପରେ 1.5 ଲକ୍ଷ ଟଙ୍କା ପର୍ଯ୍ୟନ୍ତ ସୁଧ ଛାଡ଼ ପ୍ରଦାନ କରାଯାଇଛି, ଯାହା ଫଳରେ ମଧ୍ୟମ ବର୍ଗ ଲୋକମାନେ ନିଜ ଘର ପାଇପାରିବେ।	ମୁଁ ୨୦୨୨ରେ ସ୍ୱାଧୀନତା ଦିବସ ପାଳନ କରିବାବେଳେ, ଆମେ ସମସ୍ତଙ୍କୁ ପକ୍କା ଘର ଦେବାର ଚେଷ୍ଟା କରିବାକୁ ଯାଉଛି । ଘର ଯୋଗାଣ ବାବଦରେ ଆଗକୁ କହିଲେ, ପ୍ରଧାନମନ୍ତ୍ରୀ କହିଲେ: ୧.୫ ଲକ୍ଷ ଟଙ୍କା ପର୍ଯ୍ୟନ୍ତ ଘର ଋଣରେ ବ୍ୟାଜ ମୁକ୍ତି ପ୍ରଦାନ କରାଯାଇଛି, ଯେପରି ମଧ୍ୟବିତ୍ତ ବର୍ଗର ଲୋକମାନେ ନିଜର ଘର ପାଇପାରିବେ ।	0.9498	0.9811	0.9575
337	[[0.925013]]	He has no social media account or email id.	ତାଙ୍କର ଇ-ମେଲ୍ ଠିକଣା ନାହିଁ କି ସୋସିଆଲ ମିଡିଆରେ ଆକାଉଣ୍ଟ ନାହିଁ ।	0.925013	True	True	ତାଙ୍କର ସାମାଜିକ ମିଡ଼ିଆ ଏକାଉଣ୍ଟ କିମ୍ବା ଇମେଲ ଆଇ.ଡି ନାହିଁ।	ସେଙ୍କର କୌଣସି ସୋସିଆଲ୍ ମିଡିଆ ଆକାଉଣ୍ଟ କିମ୍ବା ଇମେଲ୍ ଆଇଡି ନାହିଁ।	ସେ କୌଣସି ସୋସିଆଲ୍ ମିଡିଆ ଆକାଉଣ୍ଟ୍ କିମ୍ବା ଇମେଲ୍ ଆଇଡି ନାହିଁ ।	0.9511	0.9588	0.9588
436	[[0.92410326]]	Chidambaram is facing probe in the INX media case by both the ED and the CBI.	ଆଇଏନଏକ୍ସ ମିଡିଆ ଦୂର୍ନୀତି ମାମଲାରେ ଚିଦାମ୍ବରମଙ୍କ ବିରୋଧରେ ଉଭୟ ଇଡି ଓ ସିବିଆଇ ତଦନ୍ତ କରୁଛନ୍ତି।	0.92410326	True	True	ଚିଦମ୍ବରମ୍ ପ୍ରଦର୍ଶନ INX ମିଡିଆ ମାମ୍ଲାରେ ବଢିଆରୁ ଏଡି ଏବଂ ସିବିଆଇ ଦ୍ୱାରା ଅନୁସନ୍ଧାନ ମୁଖାତି ଅଛନ୍ତି।	ଚିଦାମ୍ବରମ ଏକ ମାମଲାରେ ଏଡି ଏବଂ ସିବିଆଇ ତଦନ୍ତରେ ରହିଛନ୍ତି।	ଚିଦାମ୍ବରମ୍ ଇନ୍‍ଏକ୍ସ୍ ମିଡିଆ କେସରେ ଇଡି ଓ ସିବିଆଇଦ୍ୱାରା ଅନ୍ୱେଷଣାର ସମ୍ମୁଖୀନ ଅଛନ୍ତି ।	0.9432	0.9674	0.9929
