idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words
16	[[0.93130046]]	The police stated a case has been registered and further investigations were on.	ପୋଲିସ ଏ ନେଇ ମାମଲା ଦାୟର କରି ଅଧିକ ତଦନ୍ତ ଜାରି ଥିବା ସୂଚନା ଦେଇଛନ୍ତି।	0.93130046	True	True
33	[[0.9079262]]	Dr Bhoodes, who was on Odisha visit, met Secretary MSME, Hemant Sharma, Principal Secretary Agriculture, Saurabh Garg and other senior officials.	ଓଡିଶା ଗସ୍ତରେ ଥିବା ଶ୍ରୀ ଭୁଦେଶ ଏମ୍‍ଏସ୍‍ଏମ୍‍ଇ ସଚିବ ହେମନ୍ତ ଶର୍ମା, କୃଷି ବିଭାଗର ପ୍ରମୁଖ ସଚିବ ସୌରଭ ଗର୍ଗ ଏବଂ ଅନ୍ୟ ବରିଷ୍ଠ ଅଧିକାରୀମାନଙ୍କୁ ଭେଟିଛନ୍ତି ।	0.9079262	True	True
115	[[0.9092449]]	The wedding was attended by only family and close friends.	ବିବାହରେ କେବଳ ପରିବାର ଲୋକ ଏବଂ କିଛି ନିକଟ ସମ୍ପର୍କୀୟ ବନ୍ଧୁ ସାମିଲ ହୋଇଥିଲେ।	0.9092449	True	True
121	[[0.9103717]]	In Myanmar even today, Ramayana is presented by the name of Yama.	ମିଆଁମାରରେ ଆଜି ମଧ୍ୟ ରାମାୟଣକୁ ୟାମା ନାଁରେ ଉପସ୍ଥାପିତ କରାଯାଉଛି ।	0.9103717	True	True
132	[[0.9012846]]	Among them were six women and children.	ସେମାନଙ୍କ ମଧ୍ୟରେ ରହିଛନ୍ତି ଛଅ ଜଣ ମହିଳା ଓ ଛଅ ଜଣ ପିଲା ।	0.9012846	False	True
171	[[0.91966283]]	He died while undergoing treatment at a private hospital in Hyderabad.	ହାଇଦ୍ରାବାଦର ଏକ ଘରୋଇ ହସ୍ପିଟାଲରେ ଚିକିତ୍ସାଧିନ ଅବସ୍ଥାରେ ତାଙ୍କର ମୃତ୍ୟୁ ଘଟିଛି।	0.91966283	True	True
198	[[0.91885495]]	No passengers were reported injured in the incident.	ଏହି ଦୁର୍ଘଟଣାରେ କୌଣସି ଯାତ୍ରୀ ଆଘାତପ୍ରାପ୍ତ ହୋଇ ନଥିବା ଜାଣିବାକୁ ମିଳିଛି।	0.91885495	False	True
288	[[0.9102241]]	I am confident that when we observe Independence Day in 2022, we will try to give a pucca home to everyone. Speaking further on provision of homes, the PM said: Interest exemption on home loans up to 1.5 lakh rupees has been provided, so that the middle class can have their homes.	ମୋର ବିଶ୍ୱାସ ଯେ 2022ରେ ଯେତେବେଳେ ଆମେ ଆମର ସ୍ୱାଧୀନତା ଦିବସ ପାଳନ କରୁଥିବା, ଆମେ ସମସ୍ତଙ୍କୁ ଏକ ପକ୍କା ଘର ପ୍ରଦାନ କରିବାର ଚେଷ୍ଟା କରିବା ।” ଘର ସମ୍ବନ୍ଧୀୟ ବ୍ୟବସ୍ଥା ଉପରେ ପୁନଶ୍ଚ ପ୍ରକାଶ କରି ପ୍ରଧାନମନ୍ତ୍ରୀ କହିଲେ, “1.5 ଲକ୍ଷ ଗୃହ ଋଣ ଉପରେ ଋଣ ମୁକ୍ତି ଉପଲବ୍ଧ କରାଯାଇଛି, ଯାହା ଫଳରେ କି ମଧ୍ୟମବର୍ଗଙ୍କ ପାଖରେ ସେମାନଙ୍କ ଘର ଥିବ ।	0.9102241	True	True
337	[[0.925013]]	He has no social media account or email id.	ତାଙ୍କର ଇ-ମେଲ୍ ଠିକଣା ନାହିଁ କି ସୋସିଆଲ ମିଡିଆରେ ଆକାଉଣ୍ଟ ନାହିଁ ।	0.925013	True	True
436	[[0.92410326]]	Chidambaram is facing probe in the INX media case by both the ED and the CBI.	ଆଇଏନଏକ୍ସ ମିଡିଆ ଦୂର୍ନୀତି ମାମଲାରେ ଚିଦାମ୍ବରମଙ୍କ ବିରୋଧରେ ଉଭୟ ଇଡି ଓ ସିବିଆଇ ତଦନ୍ତ କରୁଛନ୍ତି।	0.92410326	True	True
474	[[0.9271771]]	"""He recognised the folk arts and traditional dances as indicative of Indian culture,"""" PM said."""	“ସେ ଭାରତୀୟ ଲୋକ କଳା ଏବଂ ପାରମ୍ପରିକ ନୃତ୍ୟକୁ ସଂସ୍କୃତିର ସଂକେତ ରୂପରେ ମାନ୍ୟତା ଦେଇଛନ୍ତି”, ପ୍ରଧାନମନ୍ତ୍ରୀ କହିଥିଲେ ।	0.9271771	True	True
