idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	gpt_3_5_trans	gpt_4o_trans	ollama_trans	gpt_35_bleu_score	gpt_4o_bleu_score	ollama_bleu_score
1	[[0.94119275]]	The police have also arrested two accused.	ਪੁਲਿਸ ਨੇ ਦੋ ਸ਼ੱਕੀਆਂ ਨੂੰ ਗਿ੍ਫ਼ਤਾਰ ਵੀ ਕਰ ਲਿਆ ਹੈ।	0.94119275	False	True	ਪੁਲਿਸ ਨੇ ਇੱਕੋ ਦੋ ਅਪਰਾਧੀਆਂ ਨੂੰ ਗ੍ਰਿਫਤਾਰ ਕੀਤਾ ਹੈ।	ਪੁਲਿਸ ਨੇ ਦੋ ਦੋਸ਼ੀਆਂ ਨੂੰ ਵੀ ਗ੍ਰਿਫ਼ਤਾਰ ਕੀਤਾ ਹੈ।	ਪੁਲਿਸ ਨੇ ਵੀ ਦੋ ਅਰੋਪੀਆਂ ਨੂੰ ਗ੍ਰਿਫਤਾਰ ਕਰ ਲਿਆ ਹੈ।	0.0	0.0	0.0
6	[[0.9097312]]	India was wrapped up on 221 after 49.3 overs.	ਭਾਰਤੀ ਟੀਮ 49.3 ਓਵਰਾਂ 'ਚ 221 ਦੌੜਾਂ ਬਣਾ ਕੇ ਆਲ ਆਊਟ ਹੋ ਗਈ।	0.9097312	True	True	ਭਾਰਤ ਨੂੰ 49.3 ਓਵਰਾਂ ਬਾਅਦ 221 ਰਨ ਤੇ ਬੰਦ ਕਰ ਦਿੱਤਾ ਗਿਆ ਸੀ।	ਭਾਰਤ 49.3 ਓਵਰਾਂ ਵਿੱਚ 221 'ਤੇ ਸਮੇਟਿਆ ਗਿਆ।	ਭਾਰਤ 49.3 ਓਵਰਾਂ ਬਾਅਦ 221 ਤੇ ਸਮੇਟਿਆ ਗਿਆ ਸੀ।	0.0	0.0	0.0
62	[[0.903995]]	It is the last phase of Lok Sabha elections.	ਇਹ ਲੋਕ ਸਭਾ ਚੋਣਾਂ ਦਾ ਆਖ਼ਰੀ ਪੜਾਅ ਹੈ ।	0.903995	True	True	ਲੋਕ ਸਭਾ ਚੋਣਾਂ ਦਾ ਆਖ਼ਰੀ ਚਰਣ ਹੈ।	"""""""ਇਹ ਲੋਕ ਸਭਾ ਚੋਣਾਂ ਦਾ ਆਖਰੀ ਚਰਣ ਹੈ।"""""""	ਲੋਕ ਸਭਾ ਚੋਣਾਂ ਦਾ ਆਖਰੀ ਪੜਾਅ ਹੈ।	0.46	0.27	0.33
77	[[0.94463575]]	Prime Minister's Office PM meets members of JP Morgan International Council PM met with the JP Morgan International Council in New Delhi today.	ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਦਫਤਰ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨੇ ਜੇਪੀ ਮੌਰਗਨ ਇੰਟਰਨੈਸ਼ਨਲ ਕੌਂਸਲ ਦੇ ਮੈਂਬਰਾਂ ਨਾਲ ਮੀਟਿੰਗ ਕੀਤੀ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨੇ ਅੱਜ ਨਵੀਂ ਦਿੱਲੀ ਵਿੱਚ ਜੇਪੀ ਮੌਰਗਨ ਇੰਟਰਨੈਸ਼ਨਲ ਕੌਂਸਲ ਨਾਲ ਮੀਟਿੰਗ ਕੀਤੀ।	0.94463575	True	True	ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਦਫ਼ਤਰ ਦੇ ਪੀਐਮ ਨੇ ਅੰਤਰਰਾਸ਼ਟਰੀ ਸੰਜ ਮੈਂਬਰਾਂ ਨਾਲ ਮੁਲਾਕਾਤ ਕੀਤੀ। ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨੇ ਅੱਜ ਨਵੀਂ ਦਿੱਲੀ ਵਿੱਚ JP ਮੋਰਗਨ ਅੰਤਰਾਸ਼ਟਰੀ ਕਾਉਂਸਲ ਨਾਲ ਮੁਲਾਕਾਤ ਕੀਤੀ।	ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਦਫ਼ਤਰ: ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨੇ ਅੱਜ ਨਵੀਂ ਦਿੱਲੀ ਵਿਚ ਜੇਪੀ ਮੋਰਗਨ ਅੰਤਰਰਾਸ਼ਟਰੀ ਕੌਂਸਲ ਦੇ ਮੈਂਬਰਨਾਲ ਮਿਲਾਕਾਤ ਕੀਤੀ।	ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਦਫ਼ਤਰ ਪੀਐਮ ਜੇਪੀ ਮਾਰਗਨ ਇੰਟਰਨੈਸ਼ਨਲ ਕੌਂਸਲ ਨਾਲ ਮੁਲਾਕਾਤ ਕਰਦਾ ਹੈ ਨਵੀਂ ਦਿੱਲੀ ਵਿੱਚ ਆਜ ਜੇਪੀ ਮਾਰਗਨ ਇੰਟਰਨੈਸ਼ਨਲ ਕੌਂਸਲ ਨਾਲ ਮੁਲਾਕਾਤ ਕੀਤੀ।	0.25	0.19	0.0
81	[[0.91540253]]	The Board of Governor meetings of the Army Welfare Housing Origination (AWHO) and Army Welfare Education Society (AWES) were also organised during the event.	ਆਯੋਜਨ ਦੇ ਦੌਰਾਨ ਆਰਮੀ ਵੇਲਫੇਅਰ ਹਾਊਸਿੰਗ ਔਰਗਨਾਈਜੇਸ਼ਨ ( ਐੱਡਬਿਲਊਏਐੱਚਓ) ਅਤੇ ਆਰਮੀ ਵੇਲਫੇਅਰ ਐਜੂਕੇਸ਼ਨ ਸੋਸਾਇਟੀ (ਏਡਬਲਿਊਈਐੱਸ) ਦੇ ਬੋਰਡ ਆਵ੍ ਗਵਰਨਰ ਦੀਆਂ ਬੈਠਕਾਂ ਦਾ ਵੀ ਆਯੋਜਨ ਕੀਤਾ ਗਿਆ।	0.91540253	True	True	ਆਰਮੀ ਵੈਲਫੇਅਰ ਹਾਊਜ਼ਿੰਗ ਆਰਗੈਨਾਈਜੇਸ਼ਨ (AWHO) ਅਤੇ ਆਰਮੀ ਵੈਲਫੇਅਰ ਏਜੂਕੇਸ਼ਨ ਸੋਸਾਇਟੀ (AWES) ਦੀ ਬੋਰਡ ਆਫ ਗਵਰਨਰ ਮੀਟਿੰਗ ਇਵੈਂਟ ਦੌਰਾਨ ਵੀ ਆਯੋਜਿਤ ਕੀਤੀ ਗਈ ਸਨ।	ਫੌਜੀ ਭਲਾਈ ਹਾਊਸਿੰਗ ਆਰਗਨਾਈਜ਼ੇਸ਼ਨ (AWHO) ਅਤੇ ਫੌਜੀ ਭਲਾਈ ਸਿੱਖਿਆ ਸਮਾਜ (AWES) ਦੀਆਂ ਗਵਰਨਰ ਬੋਰਡ ਦੀਆਂ ਮੀਟਿੰਗਾਂ ਵੀ ਇਸ ਇਵੈਂਟ ਦੌਰਾਨ ਆਯੋਜਿਤ ਕੀਤੀਆਂ ਗਈਆਂ।	ਆਰਮੀ ਵੈਲਫੇਅਰ ਹਾਊਸਿੰਗ ਆਰਗੇਨਾਈਜੇਸ਼ਨ (ਏਡਬਲਯੂਐਚਓ) ਅਤੇ ਆਰਮੀ ਵੈਲਫੇਅਰ ਐਜੂਕੇਸ਼ਨ ਸੋਸਾਇਟੀ (ਏਡਬਲਯੂਈਐਸ) ਦੀਆਂ ਗਵਰਨਰ ਬੋਰਡ ਮੀਟਿੰਗਾਂ ਵੀ ਇਸ ਈਵੈਂਟ ਦੌਰਾਨ ਆਯੋਜਿਤ ਕੀਤੀਆਂ ਸਨ।	0.0	0.0	0.0
101	[[0.9078176]]	There also is uncertainty about an order from Norwegian Air for 92 MAX planes and five 787 planes after four subsidiaries filed for bankruptcy.	ਦੀਵਾਲੀਆਪਣ ਲਈ ਦਾਇਰ ਚਾਰ ਸਹਾਇਕ ਕੰਪਨੀਆਂ ਦੇ ਬਾਅਦ ਨਾਰਵੇਈਅਨ ਏਅਰ ਦੇ 92 ਮੈਕਸ ਜਹਾਜ਼ਾਂ ਅਤੇ ਪੰਜ 787 ਜਹਾਜ਼ਾਂ ਲਈ ਆਰਡਰ ਦੇਣ ਬਾਰੇ ਵੀ ਅਸਪਸ਼ਟਤਾ ਹੈ.	0.9078176	True	True	ਨਾਰਵੇਜ਼ੀਅਨ ਏਅਰ ਨੂੰ 92 ਮੈਕਸ ਪਲੇਨਾਂ ਅਤੇ ਪੰਜ 787 ਪਲੇਨਾਂ ਦੇ ਆਰਡਰ ਦੇ ਬਾਰੇ ਵੀ ਅਸਥਿਰਤਾ ਹੈ ਜਦੋਂ ਚਾਰ ਸਹਾਇਕ ਕੰਪਨੀਆਂ ਦੀ ਦਿਵਾਲੀਆਂ ਕਰਨ ਲਈ ਕੀਤੀ ਗਈ।	ਇਹਨਾਂ ਚਾਰ ਸਹਾਇਕ ਕੰਪਨੀਆਂ ਵੱਲੋਂ ਬੈਂਕਰੱਪਸੀ ਲਈ ਦਰਖ਼ਾਸਤ ਦਾਇਰ ਕਰਨ ਤੋਂ ਬਾਅਦ ਨਾਰਵੇਜੀਅਨ ਏਅਰ ਵੱਲੋਂ 92 ਮੈਕਸ ਜਹਾਜ਼ਾਂ ਅਤੇ ਪੰਜ 787 ਜਹਾਜ਼ਾਂ ਦੇ ਆਰਡਰ ਬਾਰੇ ਵੀ ਅਣਿਸਚਿਤਤਾ ਹੈ।	ਨਾਰਵੇਜਿਅਨ ਏਅਰ ਤੋਂ 92 ਮੈਕਸ ਜਹਾਜ਼ਾਂ ਅਤੇ ਪੰਜ 787 ਜਹਾਜ਼ਾਂ ਦੇ ਆਰਡਰ ਬਾਰੇ ਵੀ ਅਨਿਸ਼ਚਿਤਤਾ ਹੈ ਜਦੋਂ ਚਾਰ ਸਹਾਇਕ ਕੰਪਨੀਆਂ ਨੇ ਦਿਵਾਲੀਆ ਦਾਇਰ ਕੀਤੀ ਹੈ।	0.0	0.3	0.32
109	[[0.9229362]]	In a bid to ensure hassle-free enrolment of farmers, the Ministry of Agriculture and Farmers Welfare provided training to 29,275 officials from banks, insurance companies, Common Service Centres (CSC), State Level Bankers' Committee (SLBC), Village Level Entrepreneurs (VLEs), State and District level Agriculture and ATMA officials etc.	ਕਿਸਾਨਾਂ ਦੇ ਮੁਸ਼ਕਿਲ-ਰਹਿਤ ਦਾਖਲੇ ਨੂੰ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ, ਖੇਤੀਬਾੜੀ ਅਤੇ ਕਿਸਾਨ ਭਲਾਈ ਮੰਤਰਾਲੇ ਨੇ ਬੈਂਕਾਂ, ਬੀਮਾ ਕੰਪਨੀਆਂ, ਕਾਮਨ ਸਰਵਿਸ ਸੈਂਟਰ (ਸੀਐੱਸਸੀ), ਰਾਜ ਪੱਧਰੀ ਬੈਂਕਰ ਕਮੇਟੀ (ਐੱਸਐਲਬੀਸੀ), ਪਿੰਡ ਪੱਧਰ ਦੇ ਉੱਦਮੀਆਂ, ਰਾਜ ਅਤੇ ਜ਼ਿਲ੍ਹਾ ਪੱਧਰੀ ਖੇਤੀਬਾੜੀ ਅਤੇ ਆਤਮਾ ਅਧਿਕਾਰੀ ਆਦਿ ਦੇ 29,275 ਅਧਿਕਾਰੀਆਂ ਨੂੰ ਸਿਖਲਾਈ ਦਿੱਤੀ।	0.9229362	True	True	ਕਿਸਾਨਾਂ ਦੀ ਹਸਲ ਨਾਲ ਬਿਨਾਂ ਝੱਲਕ ਦੀ ਦਾਖਲਾ ਦੀ ਖਾਤਰੇ ਵਿੱਚ, ਖੇਤੀ ਅਤੇ ਕਿਸਾਨਾਂ ਭਲਾਈ ਮੰਤਰਾਲਯ ਨੇ 29,275 ਬੈਂਕਾਂ, ਇੰਸੂਰੈਂਸ ਕੰਪਨੀਆਂ, ਕਾਮਨ ਸਰਵਿਸ ਸੈਂਟਰ (ਸੀਐਸਸੀ), ਸਟੇਟ ਲੈਵਲ ਬੈਂਕਰਸ' ਕਮੇਟੀ (ਐਸਐਲਬੀਸੀ), ਗਾਂਵ ਲੈਵਲ ਪ੍ਰੇਖਾਰੀ (ਵੀਐਲਈ), ਰਾਜ ਅਤੇ ਜ਼ਿਲ੍ਹਾ ਸੰਤੁਲਨ ਖੇਤੀ ਅਤੇ ਐਟਮਾ ਅਧਿਕਾਰੀਆਂ ਨੂੰ ਸਿਖਲਾਇਆ।	ਕਿਸਾਨਾਂ ਦੀ ਬੇਰੁਕਾਵਟ ਭਰਤੀ ਨੂੰ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ, ਕਿਸਾਨੀ ਅਤੇ ਕਿਸਾਨ ਭਲਾਈ ਮੰਤਰਾਲੇ ਨੇ 29,275 ਅਧਿਕਾਰੀਆਂ ਨੂੰ ਬੈਂਕਾਂ, ਬੀਮਾ ਕੰਪਨੀਆਂ, ਕਾਮਨ ਸਰਵਿਸ ਸੈਂਟਰ (CSC), ਸਟੇਟ ਲੈਵਲ ਬੈਂਕਰਜ਼ ਕਮੇਟੀ (SLBC), ਪਿੰਡ ਪੱਧਰ ਦੇ ਉਦਮੀ (VLEs), ਰਾਜ ਅਤੇ ਜ਼ਿਲ੍ਹਾ ਪੱਧਰ ਦੇ ਕਿਸਾਨੀ ਅਤੇ ATMA ਅਧਿਕਾਰੀਆਂ ਆਦਿ ਨੂੰ ਪ੍ਰਸ਼ਿਕਸ਼ਣ ਦਿੱਤਾ।	ਕਿਸਾਨਾਂ ਦੇ ਹਸਲੇ ਮੁਕਤ ਰਜਿਸਟਰੇਸ਼ਨ ਨੂੰ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ, ਖੇਤੀਬਾੜੀ ਅਤੇ ਕਿਸਾਨ ਕਲਿਆਣ ਮੰਤਰਾਲੇ ਨੇ ਬੈਂਕਾਂ, ਬੀਮਾ ਕੰਪਨੀਆਂ, ਕਾਮਨ ਸਰਵਿਸ ਸੈਂਟਰਾਂ (ਸੀਐਸਸੀ), ਸਟੇਟ ਲੈਵਲ ਬੈਂਕਰਜ਼ ਕਮੇਟੀ (ਐਸਐਲਬੀਸੀ), ਪਿੰਡ ਪੱਧਰ ਉਦਯੋਗਪਤੀਆਂ (ਵੀਐਲਈਜ਼), ਸਟੇਟ ਅਤੇ ਜ਼ਿਲ੍ਹਾ ਪੱਧਰ ਖੇਤੀਬਾੜੀ ਅਤੇ ਏਟੀਐਮਏ ਅਧਿਕਾਰੀਆਂ ਆਦਿ ਨੂੰ ਟ੍ਰੇਨਿੰਗ ਪ੍ਰਦਾਨ ਕੀਤੀ।	0.18	0.4	0.36
111	[[0.91166687]]	"""""""""""""""""""""""""""""""Jain personally told me that he had settled a land deal worth Rs 50 crore of Kejriwal's relative."""""""""""""""	’’ ਉਨ੍ਹਾਂ ਕਿਹਾ, ‘‘ਜੈਨ ਨੇ ਮੈਨੂੰ ਨਿੱਜੀ ਤੌਰ ਉਤੇ ਦੱਸਿਆ ਕਿ ਉਸ ਨੇ ਕੇਜਰੀਵਾਲ ਦੇ ਰਿਸ਼ਤੇਦਾਰ ਨਾਲ ਤਕਰੀਬਨ 50 ਕਰੋੜ ਦੇ ਜ਼ਮੀਨੀ ਸੌਦੇ ਦਾ ਨਿਬੇੜਾ ਕੀਤਾ ਹੈ।	0.91166687	True	True	"""""""ਜੈਨ ਨੇ ਮੇਰੇ ਨੂੰ ਪਰਸੋਨਲੀ ਦੱਸਿਆ ਕਿ ਉਸਨੇ ਕੇਜਰੀਵਾਲ ਦੇ ਰਿਸ਼ਤੇਦਾਰ ਦੇ 50 ਕਰੋੜ ਦੀ ਜ਼ਮੀਨ ਦੀ ਡੀਲ ਕਰ ਲਈ ਹੈ।"""""""""""""""""""	ਜੇਨ ਨੇ ਮੈਨੂੰ ਨਿੱਜੀ ਤੌਰ 'ਤੇ ਦੱਸਿਆ ਕਿ ਉਸਨੇ ਕੇਜਰੀਵਾਲ ਦੇ ਰਿਸ਼ਤੇਦਾਰ ਦੀ 50 ਕਰੋੜ ਰੁਪਏ ਦੀ ਜ਼ਮੀਨ ਦੀ ਡੀਲ ਨਿਪਟਾ ਲਈ ਹੈ।	"""""""ਜੈਨ ਨੇ ਨਿੱਜੀ ਤੌਰ 'ਤੇ ਮੇਰੇ ਨਾਲ ਕਿਹਾ ਕਿ ਉਸ ਨੇ ਕੇਜਰੀਵਾਲ ਦੇ ਰਿਸ਼ਤੇਦਾਰ ਦੀ 50 ਕਰੋੜ ਰੁਪਏ ਦੀ ਜ਼ਮੀਨ ਸੌਦਾ ਕਰ ਲਿਆ ਸੀ।"""""""	0.0	0.15	0.2
119	[[0.93246776]]	According to the information, there are approximately 42,000 public school teachers in British Columbia.	ਜਾਣਕਾਰੀ ਮੁਤਾਬਕ, ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ ‘ਚ ਲਗਭਗ 42,000 ਪਬਲਿਕ ਸਕੂਲ ਅਧਿਆਪਕ ਹਨ।	0.93246776	True	True	ਜਾਣਕਾਰੀ ਅਨੁਸਾਰ, ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ ਵਿੱਚ ਲਗਭਗ 42,000 ਸਰਕਾਰੀ ਸਕੂਲ ਅਧਿਆਪਕ ਹਨ।	ਜਾਣਕਾਰੀ ਦੇ ਅਨੁਸਾਰ, ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ ਵਿੱਚ ਤਕਰੀਬਨ 42,000 ਸਰਕਾਰੀ ਸਕੂਲ ਅਧਿਆਪਕ ਹਨ।	ਜਾਣਕਾਰੀ ਅਨੁਸਾਰ, ਬਰਤਾਨਵੀ ਕੋਲੰਬੀਆ ਵਿੱਚ ਲਗਭਗ 42,000 ਜਨਤਕ ਸਕੂਲ ਅਧਿਆਪਕ ਹਨ।	0.0	0.0	0.0
125	[[0.90104234]]	The Finance Ministry has already sent its proposal to the Cabinet.	ਵਿੱਤ ਮੰਤਰਾਲੇ ਨੇ ਆਪਣਾ ਪ੍ਰਸਤਾਵ ਕੈਬਨਿਟ ਨੂੰ ਭੇਜਿਆ ਹੈ।	0.90104234	True	True	ਵਿੱਤ ਮੰਤਰਾਲਯ ਨੇ ਪਹਿਲਾਂ ਹੀ ਕੈਬਿਨਿਟ ਨੂੰ ਆਪਣਾ ਪ੍ਰਸਤਾਵ ਭੇਜਿਆ ਹੈ।	ਵਿੱਤ ਮੰਤਰਾਲੇ ਨੇ ਪਹਿਲਾਂ ਹੀ ਆਪਣਾ ਪ੍ਰਸਤਾਵ ਕੈਬਿਨੇਟ ਨੂੰ ਭੇਜ ਦਿੱਤਾ ਹੈ।	ਵਿੱਤ ਮੰਤਰਾਲੇ ਨੇ ਪਹਿਲਾਂ ਹੀ ਕੈਬਿਨੇਟ ਨੂੰ ਆਪਣਾ ਪ੍ਰਸਤਾਵ ਭੇਜ ਦਿੱਤਾ ਹੈ।	0.0	0.0	0.0
