idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words
1	[[0.94119275]]	The police have also arrested two accused.	ਪੁਲਿਸ ਨੇ ਦੋ ਸ਼ੱਕੀਆਂ ਨੂੰ ਗਿ੍ਫ਼ਤਾਰ ਵੀ ਕਰ ਲਿਆ ਹੈ।	0.94119275	False	True
6	[[0.9097312]]	India was wrapped up on 221 after 49.3 overs.	ਭਾਰਤੀ ਟੀਮ 49.3 ਓਵਰਾਂ 'ਚ 221 ਦੌੜਾਂ ਬਣਾ ਕੇ ਆਲ ਆਊਟ ਹੋ ਗਈ।	0.9097312	True	True
62	[[0.903995]]	It is the last phase of Lok Sabha elections.	ਇਹ ਲੋਕ ਸਭਾ ਚੋਣਾਂ ਦਾ ਆਖ਼ਰੀ ਪੜਾਅ ਹੈ ।	0.903995	True	True
77	[[0.94463575]]	Prime Minister's Office PM meets members of JP Morgan International Council PM met with the JP Morgan International Council in New Delhi today.	ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਦਫਤਰ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨੇ ਜੇਪੀ ਮੌਰਗਨ ਇੰਟਰਨੈਸ਼ਨਲ ਕੌਂਸਲ ਦੇ ਮੈਂਬਰਾਂ ਨਾਲ ਮੀਟਿੰਗ ਕੀਤੀ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨੇ ਅੱਜ ਨਵੀਂ ਦਿੱਲੀ ਵਿੱਚ ਜੇਪੀ ਮੌਰਗਨ ਇੰਟਰਨੈਸ਼ਨਲ ਕੌਂਸਲ ਨਾਲ ਮੀਟਿੰਗ ਕੀਤੀ।	0.94463575	True	True
81	[[0.91540253]]	The Board of Governor meetings of the Army Welfare Housing Origination (AWHO) and Army Welfare Education Society (AWES) were also organised during the event.	ਆਯੋਜਨ ਦੇ ਦੌਰਾਨ ਆਰਮੀ ਵੇਲਫੇਅਰ ਹਾਊਸਿੰਗ ਔਰਗਨਾਈਜੇਸ਼ਨ ( ਐੱਡਬਿਲਊਏਐੱਚਓ) ਅਤੇ ਆਰਮੀ ਵੇਲਫੇਅਰ ਐਜੂਕੇਸ਼ਨ ਸੋਸਾਇਟੀ (ਏਡਬਲਿਊਈਐੱਸ) ਦੇ ਬੋਰਡ ਆਵ੍ ਗਵਰਨਰ ਦੀਆਂ ਬੈਠਕਾਂ ਦਾ ਵੀ ਆਯੋਜਨ ਕੀਤਾ ਗਿਆ।	0.91540253	True	True
101	[[0.9078176]]	There also is uncertainty about an order from Norwegian Air for 92 MAX planes and five 787 planes after four subsidiaries filed for bankruptcy.	ਦੀਵਾਲੀਆਪਣ ਲਈ ਦਾਇਰ ਚਾਰ ਸਹਾਇਕ ਕੰਪਨੀਆਂ ਦੇ ਬਾਅਦ ਨਾਰਵੇਈਅਨ ਏਅਰ ਦੇ 92 ਮੈਕਸ ਜਹਾਜ਼ਾਂ ਅਤੇ ਪੰਜ 787 ਜਹਾਜ਼ਾਂ ਲਈ ਆਰਡਰ ਦੇਣ ਬਾਰੇ ਵੀ ਅਸਪਸ਼ਟਤਾ ਹੈ.	0.9078176	True	True
109	[[0.9229362]]	In a bid to ensure hassle-free enrolment of farmers, the Ministry of Agriculture and Farmers Welfare provided training to 29,275 officials from banks, insurance companies, Common Service Centres (CSC), State Level Bankers' Committee (SLBC), Village Level Entrepreneurs (VLEs), State and District level Agriculture and ATMA officials etc.	ਕਿਸਾਨਾਂ ਦੇ ਮੁਸ਼ਕਿਲ-ਰਹਿਤ ਦਾਖਲੇ ਨੂੰ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ, ਖੇਤੀਬਾੜੀ ਅਤੇ ਕਿਸਾਨ ਭਲਾਈ ਮੰਤਰਾਲੇ ਨੇ ਬੈਂਕਾਂ, ਬੀਮਾ ਕੰਪਨੀਆਂ, ਕਾਮਨ ਸਰਵਿਸ ਸੈਂਟਰ (ਸੀਐੱਸਸੀ), ਰਾਜ ਪੱਧਰੀ ਬੈਂਕਰ ਕਮੇਟੀ (ਐੱਸਐਲਬੀਸੀ), ਪਿੰਡ ਪੱਧਰ ਦੇ ਉੱਦਮੀਆਂ, ਰਾਜ ਅਤੇ ਜ਼ਿਲ੍ਹਾ ਪੱਧਰੀ ਖੇਤੀਬਾੜੀ ਅਤੇ ਆਤਮਾ ਅਧਿਕਾਰੀ ਆਦਿ ਦੇ 29,275 ਅਧਿਕਾਰੀਆਂ ਨੂੰ ਸਿਖਲਾਈ ਦਿੱਤੀ।	0.9229362	True	True
111	[[0.91166687]]	"""""""Jain personally told me that he had settled a land deal worth Rs 50 crore of Kejriwal's relative."""	’’ ਉਨ੍ਹਾਂ ਕਿਹਾ, ‘‘ਜੈਨ ਨੇ ਮੈਨੂੰ ਨਿੱਜੀ ਤੌਰ ਉਤੇ ਦੱਸਿਆ ਕਿ ਉਸ ਨੇ ਕੇਜਰੀਵਾਲ ਦੇ ਰਿਸ਼ਤੇਦਾਰ ਨਾਲ ਤਕਰੀਬਨ 50 ਕਰੋੜ ਦੇ ਜ਼ਮੀਨੀ ਸੌਦੇ ਦਾ ਨਿਬੇੜਾ ਕੀਤਾ ਹੈ।	0.91166687	True	True
119	[[0.93246776]]	According to the information, there are approximately 42,000 public school teachers in British Columbia.	ਜਾਣਕਾਰੀ ਮੁਤਾਬਕ, ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ ‘ਚ ਲਗਭਗ 42,000 ਪਬਲਿਕ ਸਕੂਲ ਅਧਿਆਪਕ ਹਨ।	0.93246776	True	True
125	[[0.90104234]]	The Finance Ministry has already sent its proposal to the Cabinet.	ਵਿੱਤ ਮੰਤਰਾਲੇ ਨੇ ਆਪਣਾ ਪ੍ਰਸਤਾਵ ਕੈਬਨਿਟ ਨੂੰ ਭੇਜਿਆ ਹੈ।	0.90104234	True	True
128	[[0.9416896]]	Petrol price was Rs 97 per litre in Mumbai, while diesel cost Rs 88.06 per litre.	ਮੁੰਬਈ ਵਿੱਚ ਪੈਟਰੋਲ ਦੀ ਕੀਮਤ 97 ਰੁਪਏ ਪ੍ਰਤੀ ਲੀਟਰ ਹੋ ਗਈ ਹੈ ਅਤੇ ਡੀਜ਼ਲ 88.06 ਰੁਪਏ ਪ੍ਰਤੀ ਲੀਟਰ ਹੈ।	0.9416896	True	True
136	[[0.91480637]]	Relationship with spouse will be stronger.	ਜੀਵਨ ਸਾਥੀ ਦੇ ਨਾਲ ਪ੍ਰੇਮ ਸੰਬੰਧ ਮਜਬੂਤ ਹੋਣਗੇ ।	0.91480637	False	True
171	[[0.900735]]	By what means does Christ lead his congregation on earth?	ਮਸੀਹ ਕਿਸ ਦੇ ਜ਼ਰੀਏ ਧਰਤੀ ਉੱਤੇ ਆਪਣੀ ਕਲੀਸਿਯਾ ਦੀ ਅਗਵਾਈ ਕਰਦਾ ਹੈ?	0.900735	True	True
174	[[0.90986717]]	The film stars Ranveer Singh, Sonu Sood and Sara Ali Khan in main roles.	ਫਿਲਮ ਦੀ ਸਟਾਰ ਕਾਸਟ ਦੀ ਗਲੱਲ ਕਰੀਏ ਤਾਂ ਰਣਵੀਰ ਸਿੰਘ , ਸਾਰਾ ਅਲੀ ਖਾਨ ਅਤੇ ਸੋਨੂੰ ਸੂਦ ਮੇਨ ਲੀਡ ਰੋਲ ‘ਚ ਹਨ।	0.90986717	True	True
180	[[0.9283234]]	But police had not taken any action.	ਪਰ ਪੁਲਿਸ ਵੱਲੋਂ ਕੋਈ ਢੁੱਕਵੀਂ ਕਾਰਵਾਈ ਨਹੀਂ ਕੀਤੀ ਗਈ।	0.9283234	False	True
186	[[0.9170706]]	He said that while Indian Economy has moved from 11th to 5th pedestal from 2014 to 2019, the aim of making India a 5 trillion economy will help India reach the third spot.	ਉਨ੍ਹਾਂ ਨੇ ਕਿਹਾ ਕਿ ਜਿੱਥੇ ਇੱਕ ਪਾਸੇ ਭਾਰਤੀ ਅਰਥਵਿਵਸਥਾ ਸਾਲ 2014 ਤੋਂ ਸਾਲ 2019 ਦਰਮਿਆਨ 11ਵੇਂ ਸਥਾਨ ਤੋਂ ਉੱਤੇ ਆ ਕੇ 5ਵੇਂ ਸਥਾਨ ਉੱਤੇ ਪਹੁੰਚ ਗਈ, ਉੱਥੇ ਹੀ ਦੂਜੇ ਪਾਸੇ ਭਾਰਤ ਨੂੰ 5 ਟ੍ਰਿਲੀਅਨ ਡਾਲਰ ਦੀ ਅਰਥਵਿਵਸਥਾ ਬਣਾਉਣ ਦੇ ਟੀਚੇ ਨਾਲ, ਭਾਰਤ ਨੂੰ ਹੋਰ ਉੱਪਰ ਆ ਕੇ ਤੀਸਰੇ ਸਥਾਨ ਉੱਤੇ ਪਹੁੰਚਣ ਵਿੱਚ ਮਦਦ ਮਿਲੇਗੀ।	0.9170706	True	True
235	[[0.9184768]]	But how do you decide which one suits you?	ਪਰ ਤੁਸੀਂ ਕਿਵੇਂ ਫੈਸਲਾ ਲੈਂਦੇ ਹੋ ਕਿ ਕਿਹੜਾ ਤੁਹਾਡੇ ਲਈ ਸਹੀ ਹੈ?	0.9184768	True	True
251	[[0.90707535]]	An unnatural death case has been registered in this regard.	ਫਿਲਹਾਲ ਇਸ ਸਬੰਧ ਵਿਚ ਗੈਰ ਕੁਦਰਤੀ ਮੌਤ ਦਾ ਕੇਸ ਦਰਜ ਕੀਤਾ ਗਿਆ ਹੈ।	0.90707535	True	True
253	[[0.92530406]]	The police has registered a case in this regard earlier.	ਪੁਲਿਸ ਨੇ ਇਸ ਸਬੰਧ 'ਚ ਮਾਮਲਾ ਪਹਿਲੇ ਤੋਂ ਹੀ ਦਰਜ ਕਰ ਲਿਆ ਹੈ।	0.92530406	True	True
266	[[0.9110087]]	India won 5 Gold and 2 Bronze at Guwahati and was declared Team Champion. Russia was 1st Runner Up followed by Kazakhstan.	ਭਾਰਤ ਨੇ ਗੁਹਾਟੀ ਵਿੱਚ 5 ਸੋਨੇ ਦੇ ਅਤੇ 2 ਕਾਂਸੀ ਦੇ ਮੈਡਲ ਜਿੱਤੇ ਸਨ ਅਤੇ ਉਸ ਨੂੰ ਟੀਮ ਚੈਂਪੀਅਨ ਦਾ ਖਿਤਾਬ ਹਾਸਲ ਹੋਇਆ ਸੀ, ਰੂਸ ਨੂੰ ਪਹਿਲਾ ਰਨਰ ਅੱਪ ਅਤੇ ਕਜ਼ਾਕਿਸਤਾਨ ਨੂੰ ਦੂਜਾ ਰਨਰ ਅੱਪ ਐਲਾਨਿਆ ਗਿਆ।	0.9110087	True	True
277	[[0.93197244]]	According to a data, 70 percent of this residue is used in industrial areas and as domestic fuel.	ਅੰਕੜਿਆਂ ਅਨੁਸਾਰ ਇਸ ਰਹਿੰਦ ਖੂਹੰਦ ਦਾ 70 ਫੀਸਦੀ ਹਿੱਸਾ ਸਨਅਤੀ ਖੇਤਰਾਂ ਵਿੱਚ ਅਤੇ ਘਰੇਲੂ ਇੰਧਨ ਦੇ ਤੌਰ ਤੇ ਵਰਤ ਲਿਆ ਜਾਂਦਾ ਹੈ।	0.93197244	True	True
289	[[0.9043893]]	In the match, India won the toss and opted to bat first.	ਮੈਚ ਵਿੱਚ ਭਾਰਤ ਨੇ ਟਾਸ ਜਿੱਤ ਕੇ ਪਹਿਲਾਂ ਬੱਲੇਬਾਜ਼ੀ ਦਾ ਫ਼ੈਸਲਾ ਕੀਤਾ ਹੈ।	0.9043893	True	True
291	[[0.93660206]]	But the marriage did not last long.	ਪਰ ਇਹ ਵਿਆਹ ਜ਼ਿਆਦਾ ਚਿਰ ਟਿੱਕ ਨਹੀਂ ਸੱਕਿਆ ।	0.93660206	False	True
296	[[0.9217517]]	He assured Harmanpreet that he would take up the issue of waiver of her employment bond with the railways ministry so that she can join Punjab Police at the earliest, while continuing to pursue with her career as a cricketer.	ਉਨ੍ਹਾਂ ਨੇ ਹਰਮਨਪ੍ਰੀਤ ਕੌਰ ਨੂੰ ਭਰੋਸਾ ਦਿਤਾ ਕਿ ਰੇਲਵੇ ਮੰਤਰਾਲੇ ਨਾਲ ਰੁਜ਼ਗਾਰ ਸਬੰਧੀ ਇਕਰਾਰਨਾਮੇ ਨੂੰ ਖ਼ਤਮ ਕਰਨ ਦਾ ਮਾਮਲਾ ਉਹ ਰੇਲਵੇ ਮੰਤਰਾਲੇ ਕੋਲ ਉਠਾਉਣਗੇ ਤਾਕਿ ਉਹ ਛੇਤੀ ਤੋਂ ਛੇਤੀ ਪੰਜਾਬ ਪੁਲਿਸ ਦੀ ਨੌਕਰੀ ਜੁਆਇਨ ਕਰ ਸਕੇ ਅਤੇ ਇਸ ਦੇ ਨਾਲ ਕ੍ਰਿਕਟਰ ਵਜੋਂ ਉਹ ਅਪਣਾ ਖੇਡ ਕਰੀਅਰ ਜਾਰੀ ਰੱਖੇ।	0.9217517	True	True
312	[[0.9042144]]	There is a close contest between congress and BJP in Gujarat, Madhya Pradesh and Rajasthan.	ਇਨ੍ਹਾਂ 'ਚ ਗੁਜਰਾਤ, ਮੱਧ ਪ੍ਰਦੇਸ਼ ਤੇ ਰਾਜਸਥਾਨ 'ਚ ਭਾਜਪਾ ਤੇ ਕਾਂਗਰਸ ਵਿਚਕਾਰ ਕਰੀਬੀ ਮੁਕਾਬਲਾ ਹੋਵੇਗਾ।	0.9042144	True	True
332	[[0.92958605]]	They currently have no symptoms of the coronavirus.	ਫਿਲਹਾਲ ਉਨ੍ਹਾਂ ਵਿਚ ਕੋਰੋਨਾ ਵਾਇਰਸ ਦੇ ਕੋਈ ਲੱਛਣ ਮੌਜੂਦ ਨਹੀਂ ਹਨ।	0.92958605	False	True
335	[[0.9214152]]	Senior Officers from the Ministries of Home Affairs, Defence, Shipping, Power, Telecommunications, Health, IMD, NDMA and NDRF also attended the meeting.	ਗ੍ਰਹਿ ਮੰਤਰਾਲਾ, ਰੱਖਿਆ, ਜਹਾਜ਼ਰਾਨੀ, ਬਿਜਲੀ, ਦੂਰਸੰਚਾਰ, ਸਿਹਤ, ਆਈਐੱਮਡੀ, ਐੱਨਡੀਐੱਮਏ ਅਤੇ ਐੱਨਡੀਆਰਐੱਫ ਮੰਤਰਾਲਿਆਂ ਦੇ ਸੀਨੀਅਰ ਅਧਿਕਾਰੀ ਵੀ ਮੀਟਿੰਗ ਵਿੱਚ ਸ਼ਾਮਲ ਹੋਏ।	0.9214152	True	True
345	[[0.9385028]]	Kareena Kapoor Khan and Aamir Khan have started shooting for their upcoming film Laal Singh Chaddha.	ਆਮਿਰ ਖ਼ਾਨ ਤੇ ਕਰੀਨਾ ਕਪੂਰ ਨੇ ਆਪਣੀ ਆਉਣ ਵਾਲੀ ਫ਼ਿਲਮ ‘ਲਾਲ ਸਿੰਘ ਚੱਢਾ’ ਦੀ ਸ਼ੂਟਿੰਗ ਸ਼ੁਰੂ ਕਰ ਦਿੱਤੀ ਹੈ।	0.9385028	True	True
355	[[0.923072]]	The police has not been able to solve that case till date.	ਇਸ ਮਾਮਲੇ ਨੂੰ ਹੱਲ ਕਰਨ 'ਚ ਪੁਲਿਸ ਹਾਲੇ ਤਕ ਸਫਲ ਨਹੀਂ ਹੋ ਸਕੀ ਹੈ।	0.923072	True	True
369	[[0.93838507]]	This can have an adverse effect on your health.	ਇਸ ਨਾਲ ਸਿਹਤ ਉਤੇ ਨਕਾਰਤਮਕ ਅਸਰ ਪੈ ਸਕਦਾ ਹੈ।	0.93838507	True	True
373	[[0.9284951]]	The reason behind the girl's death has not been ascertained yet.	ਲੜਕੀ ਦੀ ਮੌਤ ਦੇ ਕਾਰਨਾਂ ਦੀ ਹਾਲੇ ਤਕ ਪਤਾ ਨਹੀਂ ਲੱਗ ਸਕਿਆ।	0.9284951	True	True
395	[[0.9011228]]	Popular among youngsters, TikTok has the highest number of users in India, followed by China and the US.	ਨੌਜਵਾਨਾਂ ਵਿਚ ਪ੍ਰਸਿੱਧ, ਟਿਕਟੋਕ ਦੇ ਭਾਰਤ ਵਿਚ ਸਭ ਤੋਂ ਵੱਧ ਉਪਭੋਗਤਾ ਹਨ, ਇਸ ਤੋਂ ਬਾਅਦ ਚੀਨ ਅਤੇ ਯੂ. ਐੱਸ.	0.9011228	True	True
411	[[0.90558636]]	For a legal victory involving Minos Kokkinakis, see The Watchtower, September 1, 1993, pages 27 - 31.	ਮੀਨੋਸ ਕੋਕੀਨਾਕਿਸ ਦੇ ਮੁਕੱਦਮੇ ਵਿਚ ਜਿੱਤ ਹਾਸਲ ਕਰਨ ਬਾਰੇ ਪਹਿਰਾਬੁਰਜ, 1 ਸਤੰਬਰ 1993, ਸਫ਼ੇ 27 - 31 (ਅੰਗ੍ਰੇਜ਼ੀ) ਦੇਖੋ ।	0.90558636	True	True
420	[[0.90100044]]	According to Andrew Lih, the current expansion of Wikipedia to millions of articles would be difficult to envision without the use of such bots.	ਐਂਡਰਿਉ ਲੀਹ ਦੇ ਅਨੁਸਾਰ ਅਜਿਹੇ ਬੋਟਸ ਦਾ ਇਸਤੇਮਾਲ ਕੀਤੇ ਬਿਨਾਂ ਵਿਕੀਪੀਡੀਆ ਦੇ ਮੌਜੂਦਾ ਵਿਸਤਾਰ ਨਾਲ ਲੱਖਾਂ ਲੇਖਾਂ ਦੀ ਕਲਪਨਾ ਕਰਨਾ ਮੁਸ਼ਕਿਲ ਹੋਵੇਗਾ।	0.90100044	True	True
424	[[0.9020689]]	See The Watchtower of March 15, 1972, pages 174 - 80.	ਪਹਿਰਾਬੁਰਜ (ਅੰਗ੍ਰੇਜ਼ੀ), 15 ਮਾਰਚ 1972 ਦੇ ਸਫ਼ੇ 174 - 80 ਦੇਖੋ ।	0.9020689	True	True
426	[[0.90767235]]	The police are conducting raids to catch him.	ਪੁਲਸ ਉਸ ਦੀ ਗ੍ਰਿਫਤਾਰੀ ਲਈ ਛਾਪੇਮਾਰੀ ਕਰ ਰਹੀ ਹੈ।	0.90767235	False	True
432	[[0.96282923]]	The couple had four children - three daughters and a son.	ਇਸ ਜੋੜੇ ਦੇ ਚਾਰ ਬੱਚੇ ਸਨ - ਤਿੰਨ ਲੜਕੀਆਂ ਅਤੇ ਇੱਕ ਪੁੱਤਰ।	0.96282923	True	True
433	[[0.90346634]]	Vice-Chancellor, Baba Farid University of Health Sciences, Faridkot.	ਬਾਬਾ ਫਰੀਦ ਯੂਨੀਵਰਸਿਟੀ ਆਫ ਹੈਲਥ ਸਾਇੰਸਜ਼, ਫਰੀਦਕੋਟ ਦੇ ਉਪ ਕੁਲਪਤੀ ਡਾ.	0.90346634	False	True
437	[[0.9273331]]	1676 new cases 10 deaths reported yesterday.	ਕੱਲ੍ਹ 1676 ਨਵੇਂ ਕੇਸ ਸਾਹਮਣੇ ਆਏ ਅਤੇ 10 ਮੌਤਾਂ ਹੋਈਆਂ।	0.9273331	False	True
448	[[0.9038937]]	It includes the countries of Cambodia, Laos, Myanmar (Burma), Peninsular Malaysia, Thailand and Vietnam.	ਇਸ ਵਿੱਚ ਮਿਆਂਮਾਰ (ਬਰਮਾ), ਥਾਈਲੈਂਡ, ਪ੍ਰਾਇਦੀਪ ਮਲੇਸ਼ੀਆ, ਲਾਓਸ, ਕੰਬੋਡੀਆ ਅਤੇ ਵੀਅਤਨਾਮ ਸ਼ਾਮਲ ਹਨ।	0.9038937	True	True
453	[[0.9075407]]	"""""""Anyone, who gets flu-like symptoms should immediately contact the nearest control room,"""" the official said."""	"""ਅਧਿਕਾਰੀ ਨੇ ਕਿਹਾ, """"ਜਿਹੜੇ ਵੀ ਵਿਅਕਤੀ 'ਚ ਜ਼ੁਕਾਮ ਵਰਗੇ ਲੱਛਣ ਵਿਖਾਈ ਦੇਣ, ਉਸਨੂੰ ਤੁਰੰਤ ਨਜ਼ਦੀਕੀ ਕੰਟਰੋਲ ਰੂਮ 'ਚ ਸੰਪਰਕ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ।"""	0.9075407	True	True
539	[[0.9009972]]	These include 14 lakh serving employees and 18 lakh pensioners in defence forces.	ਇਨ੍ਹਾਂ ਵਿੱਚੋਂ 14 ਲੱਖ ਮੁਲਾਜ਼ਮ ਅਤੇ 18 ਲੱਖ ਪੈਨਸ਼ਨਰ ਸੁਰੱਖਿਆ ਦਸਤਿਆਂ ਨਾਲ ਸੰਬੰਧਤ ਹਨ।	0.9009972	True	True
551	[[0.9488386]]	The injured have been taken to nearby hospitals.	ਜ਼ਖਮੀਆਂ ਨੂੰ ਨੇੜਲੇ ਹਸਪਤਾਲਾਂ ਵਿਚ ਦਾਖਲ ਕਰਵਾਇਆ ਗਿਆ ਹੈ।	0.9488386	False	True
563	[[0.9250059]]	"""The company has also rules regarding online gaming, which prohibit any communication that is indicative of """"hate speech, controversial religious topics and sensitive current or historical events."""""""	"""ਕੰਪਨੀ ਨੇ ਔਨਲਾਈਨ ਗੇਮਿੰਗ ਬਾਰੇ ਵੀ ਨਿਯਮ ਦਿੱਤੇ ਹਨ, ਜੋ ਕਿਸੇ ਵੀ ਸੰਚਾਰ ਨੂੰ ਰੋਕਦਾ ਹੈ ਜੋ """"ਨਫ਼ਰਤ ਭਾਸ਼ਣ, ਵਿਵਾਦਪੂਰਨ ਧਾਰਮਿਕ ਵਿਸ਼ਿਆਂ ਅਤੇ ਸੰਵੇਦਨਸ਼ੀਲ ਮੌਜੂਦਾ ਜਾਂ ਇਤਿਹਾਸਿਕ ਘਟਨਾਵਾਂ ਦਾ ਸੰਕੇਤ ਹੈ""""।"""	0.9250059	True	True
568	[[0.9371481]]	They will pay homage to Mahatma Gandhi at Sabarmati Ashram.	ਉਹ ਸਾਬਰਮਤੀ ਆਸ਼ਰਮ ਵਿੱਚ ਮਹਾਤਮਾ ਗਾਂਧੀ ਨੂੰ ਸ਼ਰਧਾਂਜਲੀ ਦੇਣਗੇ।	0.9371481	True	True
578	[[0.93388855]]	Prime Minister Narendra Modi condoled his death.	ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨਰਿੰਦਰ ਮੋਦੀ ਨੇ ਉਨ੍ਹਾਂ ਦੇ ਦਿਹਾਂਤ ‘ਤੇ ਸ਼ੋਕ ਪ੍ਰਗਟ ਕੀਤਾ ਹੈ।	0.93388855	False	True
580	[[0.92542875]]	Meanwhile, local Congress leaders submitted a memorandum to the district collector, demanding that the hotel owner be booked on charges of murder.	ਇਸ ਦਰਮਿਆਨ ਸਥਾਨਕ ਕਾਂਗਰਸ ਨੇਤਾਵਾਂ ਨੇ ਜ਼ਿਲਾ ਕਲੈਕਟਰ ਨੂੰ ਇਕ ਮੰਗ ਪੱਤਰ ਸੌਂਪ ਕੇ ਹੋਟਲ ਮਾਲਕ 'ਤੇ ਕਤਲ ਦਾ ਮਾਮਲਾ ਦਰਜ ਕਰਨ ਦੀ ਮੰਗ ਕੀਤੀ ਹੈ।	0.92542875	True	True
587	[[0.9235332]]	India are currently placed at the top of the ICC ODI team rankings with 123 points, while Australia are at second spot with 115 points.	ਆਈਸੀਸੀ ਵਨ ਡੇ ਰੈਂਕਿੰਗ 'ਚ ਭਾਰਤ 123 ਰੇਟਿੰਗ ਅੰਕ ਲੈ ਕੇ ਟਾਪ 'ਤੇ ਹੈ, ਜਦਕਿ ਆਸਟਰੇਲੀਆ 115 ਅੰਕ ਲੈ ਕੇ ਦੂਸਰੇ ਸਥਾਨ 'ਤੇ ਹੈ।	0.9235332	True	True
637	[[0.9120643]]	Violation of the above mentioned provision is a punishable offence with imprisonment or fine as prescribed in Section 20 of the Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production, Supply and Distribution) Act, 2003.	ਉਪਰੋਕਤ ਵਰਣਿਤ ਵਿਵਸਥਾ ਦੀ ਉਲੰਘਣਾ ਇੱਕ ਸਜ਼ਾਯੋਗ ਜੁਰਮ ਹੈ, ਜਿਸ ਅਧੀਨ ’ਸਿਗਰਟਾਂ ਤੇ ਹੋਰ ਤੰਬਾਕੂ ਉਤਪਾਦ (ਇਸ਼ਤਿਹਾਰ ਦੀ ਪਾਬੰਦੀ ਅਤੇ ਵਪਾਰ ਅਤੇ ਵਣਜ, ਉਤਪਾਦਨ, ਸਪਲਾਈ ਤੇ ਵੰਡ ਦਾ ਨਿਯੰਤ੍ਰਣ) ਕਾਨੂੰਨ, 2003’ ਦੇ ਸੈਕਸ਼ਨ 20 ਵਿੱਚ ਦੱਸੇ ਮੁਤਾਬਕ ਕੈਦ ਜਾਂ ਜੁਰਮਾਨਾ ਹੋ ਸਕਦਾ ਹੈ।	0.9120643	True	True
647	[[0.93031156]]	However, the doctors declared him dead on arrival.	ਹਾਲਾਂਕਿ ਉੱਥੇ ਪਹੁੰਚਣ 'ਤੇ ਡਾਕਟਰਾਂ ਨੇ ਉਸ ਨੂੰ ਮ੍ਰਿਤ ਐਲਾਨ ਦਿੱਤਾ।	0.93031156	False	True
729	[[0.9038899]]	Why can we have complete confidence in Jesus as our Ransomer?	ਸਾਡੇ ਰਿਹਾਈ - ਦਾਤੇ ਵਜੋਂ ਯਿਸੂ ਉੱਤੇ ਅਸੀਂ ਕਿਉਂ ਪੂਰਾ ਭਰੋਸਾ ਰੱਖ ਸਕਦੇ ਹਾਂ?	0.9038899	True	True
750	[[0.9028833]]	"""Cosmopolitan has described her as """"one of India's most popular authors"""", also she is the only woman in India's highest selling league."""	ਕੌਸਮੋਪੌਲੀਟਨ ਨੇ ਉਸ ਨੂੰ '' ਭਾਰਤ ਦੇ ਸਭ ਤੋਂ ਮਸ਼ਹੂਰ ਲੇਖਕ '' ਦੱਸਿਆ ਹੈ, ਨਾਲ ਹੀ ਉਹ ਭਾਰਤ ਦੀ ਸਭ ਤੋਂ ਵੱਧ ਵਿਕਣ ਵਾਲੀ ਲੀਗ ਦੀ ਇਕਲੌਤੀ ਔਰਤ ਹੈ।	0.9028833	True	True
