idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	gpt_3_5_trans	gpt_4o_trans	ollama_trans	gpt_35_bleu_score	gpt_4o_bleu_score	ollama_bleu_score
171	[[0.90606475]]	For example, the moving ice carved out the landscape in Canada (See Canadian Arctic Archipelago), Greenland, northern Eurasia and Antarctica.	உதாரணத்திற்கு, கனடா (பார்க்க கனடிய ஆர்டிக் தீவுகள்), கிரீன்லாந்து, வடக்கு யூரோஷியா மற்றும் அண்டார்டிகா ஆகியவற்றில் நகரும் பனிக்கட்டி நிலவமைப்பை சுரண்டியிருக்கிறது.	0.90606475	True	True	உதாரணமாக, நகரும் பனியான பரிவர்த்தனை கானடா (கானடிய ஆர்டிக் அர்சிபலாகோ), கிரீன்லாண்ட், வடக்கு ஐரோப்பா மற்றும் அண்டார்டிக்காவில் முன்னேறும் பரிவர்த்தனையை உருவாக்கினது.	உதாரணமாக, நகரும் பனிக்கட்டிகள் கனடாவில் (கனடிய ஆர்க்டிக் தீவுக்கூட்டத்தைப் பார்க்கவும்), கிரீன்லாந்து, வடக்கு யூரேஷியா மற்றும் அண்டார்ட்டிகாவில் நிலப்பரப்பை செதுக்கியன.	உதாரணமாக, நகரும் பனியானது கனடாவில் (கனடிய ஆர்க்டிக் தீவுக்கூட்டம்), கிரீன்லாந்து, வடக்கு யூரேசியா மற்றும் அண்டார்க்டிக்காவில் நிலப்பரப்பை உருவாக்கியது.	0.0	0.2	0.2
271	[[0.94120526]]	Cape Town is the economic hub of the Western Cape province, South Africa's second main economic centre and Africa's third main economic hub city.	கேப் டவுன் மேற்கு கேப் மாகாணத்தின் பொருளாதார மையமாக விளங்குகிறது, தென்னாப்பிரிக்காவின் இரண்டாவது முக்கிய பொருளாதார மையம் மற்றும் ஆப்பிரிக்காவின் மூன்றாவது முக்கிய பொருளாதார மையம் ஆகும்.	0.94120526	True	True	கேப் டவுன் தெற்குத் தொழில் மையம், தென் ஆப்பிரிக்காவின் இரண்டாம் முக்கிய தென் ஆப்பிரிக்காவின் மூன்றாம் முக்கிய மையமாகும்.	கேப் டவுன் என்பது வெஸ்டர்ன் கேப் மாகாணத்தின் பொருளாதார மையமாகும், இது தென்னாப்பிரிக்காவின் இரண்டாவது முக்கிய பொருளாதார மையமும் ஆபிரிக்காவின் மூன்றாவது முக்கிய பொருளாதார மைய நகரமாகும்.	மேற்கு கேப் மாகாணத்தின் பொருளாதார மையமாக கேப் டவுன் உள்ளது, தென்னாப்பிரிக்காவின் இரண்டாம் பொருளாதார மையமாகவும், ஆப்பிரிக்காவின் மூன்றாம் பொருளாதார மைய நகரமாகவும் உள்ளது.	0.0	0.22	0.23
412	[[0.91183287]]	It is connected through both road and rail.	இது சாலை மற்றும் தொடருந்து பாதை ஆகிய இண்டின் வழியாகவும் இணைக்கப்பட்டுள்ளது.	0.91183287	False	True	அது சாலையும் ரயிலும் மூலம் இணைக்கப்பட்டுள்ளது.	அது both சாலை மற்றும் ரயில் மூலம் இணைக்கப்பட்டுள்ளது.	இது சாலை மற்றும் இருப்புப் பாதை வழியாக இணைக்கப்பட்டுள்ளது.	0.0	0.0	0.0
497	[[0.92081076]]	Police are carrying out further investigation into the incident.	இச் சம்பவம் குறித்து மேலதிக விசாரணைகளை பதுளை பொலிஸார் மேற்கொண்டு வருகின்றனர்.	0.92081076	True	True	காவல் நிபுணர்கள் நிகழ்வுகளின் மேல் மேலும் உதவியை நடத்துகின்றனர்.	இந்தச் சம்பவம் குறித்து காவல்துறையினர் கூடுதல் விசாரணை நடத்தி வருகின்றனர்.	காவல்துறை நிகழ்வில் மேலதிக விசாரணையை நடத்தி வருகிறது.	0.0	0.0	0.0
569	[[0.9051283]]	More than 150 students are studying these courses.	இந்த பள்ளியில் 150க்கும் மேற்பட்ட மாணவ – மாணவிகள் படித்து வருகின்றனர்.	0.9051283	False	True	150 க்கும் மேற்பட்ட மாணவர்கள் இந்த பாடங்களை கடிதம் செய்கின்றனர்.	150 மாணவர்களுக்கு மேல் இந்த பாடங்களை படித்து வருகின்றனர்.	இந்த பாடங்களை 150 மாணவர்களுக்கு மேல் படிக்கின்றனர்.	0.0	0.0	0.0
578	[[0.9069974]]	The total Revenue and Capital Expenditure till end-December 2004, according to the pre actuals, is estimated at Rs.20,767.03 crores.	உத்தேச கணக்குகளின் நிலவரப்படி, 2004 டிசம்பர் இறுதி வரையில் வருவாய் மற்றும் மூலதனக் கணக்கில் மொத்த செலவு ரூபாய் 20767.03 கோடி என மதிப்பிடப்பட்டுள்ளது.	0.9069974	True	True	முழு வருமானம் மற்றும் கேபிடல் செலவுகள், முந்தைய உண்மைக்கு பட்ட விபரங்கள் பட்டியல் போல, 2004 டிசம்பர் முடிவுக்கு வரை Rs.20,767.03 கோடிகள் என்பது மதிக்கப்படுகின்றது.	முன் நிஜ நிலவரப்படி, 2004 ஆம் ஆண்டு டிசம்பர் மாத இறுதி வரை மொத்த வருமான மற்றும் மூலதனச் செலவு ரூ.20,767.03 கோடியாக மதிப்பீடு செய்யப்பட்டுள்ளது.	2004 இறுதி-டிசம்பர் வரையில், முன்கணக்கீட்டின்படி, மொத்த வருவாய் மற்றும் தலைமை செலவினம் ரூ.20,767.03 கோடி என மதிப்பிடப்பட்டுள்ளது.	0.0	0.0	0.16
647	[[0.9237896]]	Hindi is the most widely spoken language in the northern parts of India.	இந்தியாவின் வடக்குப் பகுதிகளில் மிகவும் பரவலாக பேசப்படும் மொழி இந்தி ஆகும்.	0.9237896	True	True	இந்தியாவின் வட பகுதிகளில் ஹிந்தி மிகவும் பொதுவாயிருக்கும் மொழி ஆகும்.	இந்தி மொழி இந்தியாவின் வடக்கு பகுதிகளில் மிகவும் பரவலாக பேசப்படும் மொழியாகும்.	இந்தியாவின் வடக்கு பகுதிகளில் பெரும்பான்மையாக பேசப்படும் மொழி இந்தி.	0.0	0.31	0.0
732	[[0.90812516]]	The police had arrested father and brother of Neenu in connection with the murder of Kevin Joseph.	கெவினை கொலை செய்த குற்றத்திற்காக நீனுவின் தந்தை மற்றும் அண்ணனை பொலிசார் கைது செய்துள்ளனர்.	0.90812516	True	True	கெவின் ஜோசப் படுகொலைக்கு இணைந்து நீனுவின் தந்தையும் சகோதரனும் காவல் படுத்துவிட்டனர்.	நீனு தந்தை மற்றும் சகோதரரை கேவின் ஜோசப் கொலைக்கு தொடர்பாக போலீசார் கைது செய்தனர்.	நீனுவின் தந்தையையும் சகோதரனையும் கேவின் ஜோசப்பின் கொலையுடன் தொடர்புடையதாக காவல்துறை கைது செய்தது.	0.0	0.0	0.0
733	[[0.9246439]]	The Prime Minister, Shri Narendra Modi, today addressed the 8th International Convention of Saurashtra Patel Cultural Samaj through video conference.	பிரதமர் திரு. நரேந்திர மோடி இன்று நடந்த எட்டாவது சர்வதேச சவுராஷ்டிரா பட்டேல் கலாச்சார சமாஜ் மாநாட்டில் காணொலி காட்சி மூலம் உரையாற்றினார்.	0.9246439	True	True	இந்தியாவின் பிரதம மந்திரி ஶ்ரீ நரேந்திர மோடி, இன்று வீடியோ மூலம் 8-வது சூராஷ்ட்ரா படேல் கலாசமாய் பேசினார்.	பிரதமர் திரு நரேந்திர மோடி இன்று வீடியோ மாநாடு மூலம் 8வது சௌராஷ்டிர பாடேல் கலாச்சார சமாஜின் சர்வதேச மாநாட்டில் உரையாற்றினார்.	பிரதமர் திரு நரேந்திர மோடி இன்று சௌராஷ்டிர படேல் கலாச்சார சமாஜின் 8வது சர்வதேச மாநாட்டில் வீடியோ கான்ஃபரன்ஸ் மூலம் உரையாற்றினார்.	0.0	0.0	0.0
750	[[0.9345168]]	He was received by Governor Banwarilal Purohit, Chief Minister Edappadi K Palaniswami and Deputy CM O Panneerselvam at the airport.	விமான நிலையத்தில் அவரை ஆளுநர் பன்வாரிலால் புரோகித், முதலமைச்சர் எடப்பாடி பழனிச்சாமி, துணை முதலமைச்சர் ஓ. பன்னீர்செல்வம் உள்ளிட்டோர் வரவேற்றனர்.	0.9345168	True	True	அவர் வான்வரிலால் புரோஹித் குடியரசு, முதல்வர் எடப்படி கே பழனிச்வாமி மற்றும் உதவி முதல்வர் ஓ. பன்னீர்செல்வம் மூலம் விமானத்தில் அவர் அனுகரிக்கப்பட்டார்.	அவர் விமான நிலையத்தில் ஆளுநர் பன்வாரிலால் புரோஹித், முதல்வர் எடப்பாடி கே. பழனிசாமி மற்றும் துணை முதல்வர் ஓ. பன்னீர் செல்வம் ஆகியோரால் வரவேற்கப்பட்டார்.	அவர் ஆளுநர் பன்வாரிலால் பூரோஹித், முதல்வர் எடப்பாடி கே. பழனிசாமி மற்றும் துணை முதல்வர் ஓ. பன்னீர்செல்வம் ஆகியோரால் விமான நிலையத்தில் வரவேற்கப்பட்டார்.	0.0	0.0	0.0
