src	gpt_3_5_trans	gpt_4o_trans	ollama_trans
JMM says Soren's helicopter take off delayed over PM's security protocol, writes to President Murmu	जेएमएम कहती है कि पीएम की सुरक्षा प्रोटोकॉल के कारण सोरेन के हेलीकॉप्टर का उड़ान लेना विलंबित हुआ, राष्ट्रपति मुर्मू को लिखती है।	जेएमएम का कहना है कि सोरेन के हेलीकॉप्टर का टेकऑफ पीएम की सुरक्षा प्रोटोकॉल के कारण विलंबित हुआ, राष्ट्रपति मुर्मू को पत्र लिखा।	जेएमएम का कहना है कि पीएम की सुरक्षा प्रोटोकॉल के कारण सोरेन के हेलीकॉप्टर के उड़ान में देरी हुई, राष्ट्रपति मुर्मू को पत्र लिखा
The king who defied the British: Uncovering the tale of Pazhassi raja’s rebellion	ब्रिटिश का सामना करने वाला राजा: पाझसी राजा की विद्रोह की कहानी का पता लगाना	ब्रिटिशों को चुनौती देने वाला राजा: पज़्हासी राजा के विद्रोह की कहानी का खुलासा।	ब्रिटिश के खिलाफ बगावत करने वाला राजा: पज़हस्सी राजा के विद्रोह की कहानी का अनावरण
Vinesh Phogat's retirement U-turn predicted after her latest Instagram post creates buzz on social media	विनेश फोगाट की सेवनिवृत्ति यातायात के बाद की पूर्वानुमानित कि जाती है, जब उनका नवीनतम इंस्टाग्राम पोस्ट सोशल मीडिया पर धूम मचाता है।	विनेश फोगाट के रिटायरमेंट के यू-टर्न की भविष्यवाणी उनके लेटेस्ट इंस्टाग्राम पोस्ट के बाद सोशल मीडिया पर चर्चा का विषय बन गई है।	विनेश फोगाट के संन्यास के यू-टर्न की भविष्यवाणी उनके नवीनतम इंस्टाग्राम पोस्ट से सोशल मीडिया पर सनसनी पैदा हुई है।
The Pennsylvania push: Kamala Harris, Donald Trump spend final campaign hours in swing state	पेन्सिल्वेनिया पुश: कमला हैरिस, डोनाल्ड ट्रंप अंतिम चुनावी घंटों को स्विंग राज्य में व्यतीत करते हैं।	पेंसिल्वेनिया की जोर: कमला हैरिस, डोनाल्ड ट्रंप ने स्विंग स्टेट में अंतिम प्रचार घंटे बिताए।	पेंसिल्वेनिया पुश: कमला हैरिस, डोनाल्ड ट्रंप स्विंग स्टेट में अंतिम चुनाव घंटे बिताते हैं
Delhi engulfed in smog, toxic foam in Yamuna: Pics that capture national capital's pollution woes	दिल्ली को स्मॉग में लपेटा, यमुना में विषैला फोम: छवियाँ जो राष्ट्रीय राजधानी की प्रदूषण समस्याओं को पकड़ती हैं।	दिल्ली धुंध में डूबी, यमुना में जहरीला झाग: राष्ट्रीय राजधानी की प्रदूषण समस्याओं को दर्शाने वाली तस्वीरें।	दिल्ली स्मॉग में घिरी, यमुना में जहरीला फोम: राष्ट्रीय राजधानी की प्रदूषण समस्याओं को कैप्चर करने वाली तस्वीरें
Will Muslim boycott of Kamala send Trump to the White House?	क्या कमला के मुस्लिम बॉयकॉट से ट्रंप को व्हाइट हाउस भेज देगा?	क्या मुस्लिमों का कमला का बहिष्कार ट्रम्प को व्हाइट हाउस भेजेगा?	क्या कामला के मुस्लिम бойकॉट ट्रंप को व्हाइट हाउस भेज देगा?
Why Indian batters are struggling against left-arm spin	भारतीय बैटर्स विपरीत हाथ के स्पिनर्स के खिलाफ संघर्ष क्यों कर रहे हैं?	भारतीय बल्लेबाज बाएं हाथ की स्पिन के खिलाफ संघर्ष क्यों कर रहे हैं?	क्यों भारतीय बल्लेबाज वाम-हाथ की स्पिन के खिलाफ संघर्ष कर रहे हैं
JD Vance calls Kamala Harris 'trash' at Atlanta rally: 'In 2 days we're taking out the garbage'	जेडी वैंस अटलांटा रैली में कमला हैरिस को 'कचरा' कहते हैं: '2 दिन में हम कचरा बाहर निकाल रहे हैं'।	जेडी वांस ने अटलांटा रैली में कमला हैरिस को 'कचरा' कहा: '2 दिन में हम कचरा बाहर निकाल रहे हैं'।	जेडी वेंस ने अटलांटा रैली में कमला हैरिस को 'कचरा' कहा: '2 दिन में हम कचरा निकाल रहे हैं'
Meghan and Harry feel life in US hasn't been what they expected: Ex-staff	मेघान और हैरी को ऐसा लगता है कि अमेरिका में जीवन वह नहीं था जैसा उन्होंने सोचा था: पूर्व कर्मचारी	मेघन और हैरी को लगता है कि अमेरिका में जीवन वैसा नहीं है जैसा उन्होंने उम्मीद की थी: पूर्व कर्मचारी।	मेगन और हैरी को लगता है कि अमेरिका में जीवन उनकी उम्मीद से अलग है: पूर्व-स्टाफ
Elon Musk reacts to reports that he could be deported for immigration violation	इलॉन मस्क की प्रतिक्रिया रिपोर्ट्स को लेकर जिसमें कहा गया है कि उन्हें प्रवासन उल्लंघन के लिए निर्धारित किया जा सकता है।	एलन मस्क ने उन रिपोर्टों पर प्रतिक्रिया दी कि उन्हें आव्रजन उल्लंघन के लिए निर्वासित किया जा सकता है।	एलन मस्क ने आव्रजन उल्लंघन के लिए निर्वासन की खबरों पर प्रतिक्रिया व्यक्त की।
