src	gpt_3_5_trans	gpt_4o_trans	ollama_trans
JMM says Soren's helicopter take off delayed over PM's security protocol, writes to President Murmu	JMM म्हणते की सोरेनच्या हेलिकॉप्टरची प्रधानमंत्रीच्या सुरक्षा कायद्यांच्या कारणे उड्वा सुस्पष्ट झाली, राष्ट्रपती मुर्मूला लिहिते	JMM म्हणते की सोरेन यांच्या हेलिकॉप्टरचे उड्डाण PM यांच्या सुरक्षा प्रोटोकॉलमुळे विलंबित झाले, राष्ट्रपती मुर्मू यांना पत्र लिहिले.	जेएमएम सोरेनच्या हेलिकॉप्टरचा उड्डाण विलंब पीएमच्या सुरक्षा प्रोटोकॉलमुळे, राष्ट्रपती मुर्मू यांना पत्र लिहिले.
The king who defied the British: Uncovering the tale of Pazhassi raja’s rebellion	ब्रिटिशांच्या विरुद्ध कायमच्या असलेल्या राजाची गोडी: पाझासी राजाच्या विद्रोहाची कथा उघड्या	ब्रिटिशांना ज्या राजाने आव्हान दिले: पझ्हासी राजांच्या बंडाची कथा उलगडताना	ब्रिटिशांना आव्हान देणारा राजा: पझास्सी राजाच्या बंडाची कथा उघड करत आहे
Vinesh Phogat's retirement U-turn predicted after her latest Instagram post creates buzz on social media	विनेश फोगाटच्या नवीन इंस्टाग्राम पोस्टनंतर तिचा सोशल मीडियावर उतार-चढाव उत्पन्न करणारी तिची निवृत्तीची उतार की अंदाजित केली जाते.	विनेश फोगाटच्या निवृत्तीचा निर्णय बदलण्याचा अंदाज, तिच्या नव्या इंस्टाग्राम पोस्टनंतर सोशल मीडियावर चर्चा निर्माण झाली.	विनेश फोगाटचा निवृत्तीचा वळण फेरफार सोशल मीडियावरील ताज्या इंस्टाग्राम पोस्टने चर्चेत आला आहे.
The Pennsylvania push: Kamala Harris, Donald Trump spend final campaign hours in swing state	पेन्सिल्व्हेनिया पुश: कमला हॅरिस, डोनाल्ड ट्रंप स्विंग राज्यातील अंतिम उपयोग घंटेत व्यतीत करतात.	पेनसिल्व्हेनिया धक्का: कमला हॅरिस, डोनाल्ड ट्रम्प स्विंग राज्यात अंतिम प्रचार तास घालवतात।	पेन्सिल्व्हानिया धक्का: कामाला हॅरिस, डोनाल्ड ट्रम्प स्विंग स्टेटमध्ये अंतिम प्रचार तास व्यतीत करतात
Delhi engulfed in smog, toxic foam in Yamuna: Pics that capture national capital's pollution woes	धुंदात डुली लागलेले दिल्ली, यमुना नदीत विषाक्त फोम: राष्ट्रीय राजधानीची प्रदूषणाची विचारांवळी आकडेवारी	दिल्ली धुरळ्यात गढलेली, यमुनेत विषारी फेस: राष्ट्रीय राजधानीच्या प्रदूषणाच्या समस्या दर्शवणारे फोटो	दिल्ली स्मॉगने वेढली, यमुनेत विषारी फोम: राष्ट्रीय राजधानीच्या प्रदूषणाच्या वेदना टिपणाऱ्या छायाचित्रे
Will Muslim boycott of Kamala send Trump to the White House?	कमाला ची मुस्लिम बॉयकॉट ट्रंपला व्हाइट हाउसमध्ये पाठवेल का?	"""मुस्लिमांचा कमला विरोध ट्रम्प यांना व्हाइट हाऊसकडे पाठवेल का?"""	कमाला ला मुस्लिमांचा बहिष्कार ट्रंपला व्हाइट हाउसवर पाठवेल का?
Why Indian batters are struggling against left-arm spin	का भारतीय बॅट्समन्स डावीकडीच्या स्पिनर्सविरुद्ध कठीणतेने लढत आहेत?	भारतीय फलंदाज डावखुऱ्या फिरकी गोलंदाजीविरुद्ध का संघर्ष करत आहेत?	भारतीय बॅट्समॅन लेफ्ट-आर्म स्पिन विरुद्ध का संघर्ष करत आहेत?
JD Vance calls Kamala Harris 'trash' at Atlanta rally: 'In 2 days we're taking out the garbage'	जे डी व्हॅन्स अटलांटा रॅलीत कमला हॅरिसला 'कचरा' म्हणून बोलतो: '२ दिवसांत आम्ही कचरा बाहेर काढणार आहोत'	JD वॅन्स यांनी अटलांटामधील सभेत कमला हॅरिस यांना 'कचरा' म्हटले: '२ दिवसांत आपण हा कचरा बाहेर काढू'	जेड व्हान्स अटलांटा रॅलीमध्ये कमला हॅरिसला 'कचरा' म्हणतो: '२ दिवसांत आम्ही कचरा काढून टाकतो'
Meghan and Harry feel life in US hasn't been what they expected: Ex-staff	मेघन आणि हॅरीने अनुमान केलेल्याप्रमाणे अमेरिकेत जीवन त्यांना अपेक्षित काहीही नसलेलं वाटतं: पूर्व कर्मचारी	मेघन आणि हॅरी यांना वाटते की अमेरिकेतले जीवन त्यांच्या अपेक्षेप्रमाणे नाही: माजी कर्मचारी	मेगन आणि हॅरी यांना अमेरिकेतील आयुष्य त्यांच्या अपेक्षेप्रमाणे नाही: माजी स्टाफ
Elon Musk reacts to reports that he could be deported for immigration violation	इलॉन मस्कांनी प्रवासाच्या उल्लंघनासाठी तोडण्यात आल्याची अहवालांवर प्रतिसाद दिला.	"""इमिग्रेशन कायद्याचे उल्लंघन केल्याबद्दल त्याला देशातून हाकलले जाऊ शकते अशा अहवालांवर एलॉन मस्क यांची प्रतिक्रिया"""	एलोन मस्क इमिग्रेशन उल्लंघनासाठी निर्वासित होण्याच्या अहवालांना प्रतिक्रिया देत आहे.
How China is lessening its reliance on helium sourced from US	चीन कसे अमेरिकेतून हेलियमची आधी घटिकी कमी करीत आहे?	चीन अमेरिकेतून मिळणाऱ्या हिलियमवरील आपला अवलंब कमी कसा करत आहे.	चीन अमेरिकेकडून मिळवलेल्या हीलियमवरील अवलंबन कमी करीत आहे.
Kindle Colorsoft owners complain of a yellow bar on the e-reader’s screen	Kindle Colorsoft मालकांनी e-reader च्या पर्द्यावर एक पिवळा बार असल्याची फिरकी केली आहे	किंडल कलर्सॉफ्टच्या मालकांनी ई-रीडरच्या स्क्रीनवर पिवळ्या पट्टीची तक्रार केली आहे.	किंडल कलरसॉफ्ट मालकांना ई-रीडरच्या स्क्रीनवर पिवळा बार येतो अशी तक्रार आहे.
Nvidia and its partners built a sophisticated system to bypass U.S. restrictions on exporting AI chips to the Middle East, Russia, and China.	न्विडिया आणि त्यांचे साथी निर्माण केलेल्या एक उन्नत प्रणालीद्वारे युएससाठी AI चिप्सना मध्य पूर्व, रशिया आणि चीनमध्ये निर्यात करण्याच्या प्रतिबंधांना तरफ देण्यासाठी एक प्रणाली तयार केली.	Nvidia आणि त्याचे भागीदारांनी मध्य पूर्व, रशिया आणि चीनला AI चिप्स निर्यात करण्यावर अमेरिकेने लावलेल्या निर्बंधांना बगल देण्यासाठी एक अत्याधुनिक प्रणाली तयार केली.	एनविडिया आणि त्याचे भागीदारांनी अमेरिकेच्या निर्यातीवरील निर्बंधांना टाळून मध्यपूर्व, रशिया आणि चीनला एआय चिप्स पुरविण्यासाठी एक सुसूत्र प्रणाली बांधली.
The funding, which will top up the firm’s flagship fund, will be raised primarily from institutional investors. 	निधी, ज्याने कंपनीचे प्रमुख निधी वाढवणार आहे, प्राथमिकत: संस्थागत निवेशकांकडून जमा केले जाईल.	या निधीचे, जो कंपनीच्या प्रमुख निधीला वाढवेल, मुख्यतः संस्थात्मक गुंतवणूकदारांकडून संकलन केले जाईल.	कंपनीच्या प्रमुख निधीसाठी हे निधी संकलन मुख्यतः संस्थात्मक गुंतवणूकदारांकडून केले जाईल.
US Forest Service Decision to Halt Prescribed Burns in California is History Repeating	कॅलिफोर्नियातील पुरावयाच्या दहशतवाद्यांना थांबविण्याच्या संबंधात यूएस वन सेवेचा निर्णय इतिहासात पुन्हा दोहरणारं आहे.	कॅलिफोर्नियामध्ये नियोजित जाळपण थांबवण्याचा अमेरिकी वन सेवेचा निर्णय म्हणजे इतिहासाची पुनरावृत्ती आहे.	कॅलिफोर्नियामध्ये नियोजित अग्नी स्थगित करण्याचा अमेरिकन फॉरेस्ट सेवा निर्णय म्हणजे इतिहासाची पुनरावृत्ती
The man who gave us the solution to the Entscheidungsproblem	आपल्याला Entscheidungsproblem ची त्यांनी समाधान दिलेला व्यक्ती	ज्या माणसाने आम्हाला एंटशाइडुंग्सप्रोब्लेमचे समाधान दिले.	मनुष्य ज्याने आम्हाला Entscheidungsproblem चे उत्तर दिले.
