src	gpt_3_5_trans	gpt_4o_trans	ollama_trans
JMM says Soren's helicopter take off delayed over PM's security protocol, writes to President Murmu	JMM సోరెన్ హెలికాప్టర్ పీఎం భర్తీ షాఖా మీదున్నది తడిమడించింది, ప్రేసిడెంట్ మూర్ముకు రాయబడింది.	జేఎమ్‌ఎం చెబుతోంది: ప్రధాని భద్రతా ప్రమాణాల కారణంగా సోరెన్ హెలికాప్టర్ టేకాఫ్ ఆలస్యం అయిందని రాష్ట్రపతి ముర్ముకు లేఖ రాశారు.	జేఎంఎం ప్రకారం పీఎం భద్రతా ప్రోటోకాల్ కారణంగా సోరెన్ హెలికాప్టర్ టేకాఫ్ ఆలస్యం అయింది, రాష్ట్రపతి ముర్ముకు లేఖ వ్రాసింది.
The king who defied the British: Uncovering the tale of Pazhassi raja’s rebellion	బ్రిటిష్ ని పనిచేసిన రాజను ఎప్పుడూ విముక్తం చేసిన రాజా: పాఝసీ రాజా ప్రత్యేక కథనానికి అంటారు.	బ్రిటిష్ వారికి ఎదిరించిన రాజు: పళసి రాజా తిరుగుబాటు కథను వెలికితీస్తూ	బ్రిటిష్ వారిని ఎదిరించిన రాజు: పాళయి రాజా తిరుగుబాటు కథ వెలుగులోకి
Vinesh Phogat's retirement U-turn predicted after her latest Instagram post creates buzz on social media	వినేష్ ఫోగాట్ తన ఇటనాగ్రామ్ పోస్టు వలన సోషల్ మీడియాలో ఉత్తరము పూర్వకనుకరించబోతుందని అనుకూలమవలిస్తున్నదని భవిష్య అందించలెనని ఊహించబడ్డింది.	వినేష్ ఫోగాట్ రిటైర్మెంట్ నిర్ణయాన్ని మార్చుకున్నట్లు ఊహించబడింది, ఆమె తాజా ఇన్‌స్టాగ్రామ్ పోస్ట్ సోషల్ మీడియాలో చర్చనీయాంశంగా మారింది.	వినేశ్ ఫోగట్ యొక్క రిటైర్మెంట్ యు-టర్న్ ఆమె లేటెస్ట్ ఇన్స్టాగ్రామ్ పోస్ట్ సోషల్ మీడియాలో బజ్ సృష్టించింది.
The Pennsylvania push: Kamala Harris, Donald Trump spend final campaign hours in swing state	పెన్సిల్వేనియా పుష్: కమలా హారిస్, డొనాల్డ్ ట్రంప్ స్వింగ్ రాష్ట్రంలో చివరి క్యాంపైన్ అవుట్లు కళనికి వ్యయం చేస్తున్నారు.	పెన్సిల్వేనియా నొక్కు: కమల హారిస్, డోనాల్డ్ ట్రంప్ స్వింగ్ రాష్ట్రంలో చివరి ప్రచార గంటలు గడుపుతున్నారు.	పెన్సిల్వేనియా పుష్: కమలా హారిస్, డొనాల్డ్ ట్రంప్ స్వింగ్ స్టేట్లో చివరి ప్రచార గంటలు గడిపారు.
Delhi engulfed in smog, toxic foam in Yamuna: Pics that capture national capital's pollution woes	దిల్లీలో స్మాగ్ లో మంజన కింద వాస్తవం: రాష్ట్ర రాజధానికి వాతావరణ అంశాలు పటం చేసే చిత్రాలు	ఢిల్లీ పొగమంచులో మునిగిపోయింది, యమునాలో విషపూరిత నురుగు: జాతీయ రాజధాని కాలుష్య సమస్యలను చూపించే చిత్రాలు.	ఢిల్లీ స్మోగ్ లో మునిగిపోయింది, యమునాలో విషపూరిత ఫోమ్: జాతీయ రాజధాని యొక్క కాలుష్య సమస్యలను చిత్రీకరించే ఫోటోలు.
Will Muslim boycott of Kamala send Trump to the White House?	కమలను వద్దుకునే ముస్లిం బోయ్కాట్ ట్రమ్ప్ని వైట్ హౌస్కు పంపిస్తుందా?	ముస్లింల బహిష్కరణ వల్ల కమలాకు ట్రంప్ వైట్ హౌస్‌కు వెళ్లే అవకాశం ఉందా?	కమలాను ముస్లింలు బహిష్కరిస్తే ట్రంప్ వైట్ హౌస్ చేరుకుంటాడా?
Why Indian batters are struggling against left-arm spin	ఇండియన్ బ్యాటర్లు ఎడమ కోణం వ్యాయామ విరుద్ధంగా మిడుగువుతున్నారు ఏమిటి?	భారత బ్యాట్స్‌మెన్ ఎడమచేతి స్పిన్ బౌలింగ్‌కు వ్యతిరేకంగా ఎందుకు ఇబ్బంది పడుతున్నారు?	ఎందుకు భారతీయ బ్యాటర్లు ఎడమచేతి స్పిన్ కి ఇబ్బంది పడుతున్నారు
JD Vance calls Kamala Harris 'trash' at Atlanta rally: 'In 2 days we're taking out the garbage'	జెడి వాన్స్ అట్లాంటా ర్యాలీలో కమలా హ్యారిస్ను 'ధమ్ముకు' అంటున్నాడు: '2 రోజులో మేము కచితంగా విషం తీసుకోతాము'	JD వాన్స్ అట్లాంటా సభలో కమల హ్యారిస్‌ను 'చెత్త' అని పిలుస్తూ: 'ఇంకా 2 రోజుల్లో మనం చెత్తను తొలగిస్తున్నాము' అని అన్నారు.	జేడీ వాన్స్ అట్లాంటా రాలీలో కమలా హారిస్‌ను 'చెత్త' అని పిలుస్తున్నాడు: '2 రోజుల్లో మేము చెత్తను తొలగిస్తున్నాము'
Meghan and Harry feel life in US hasn't been what they expected: Ex-staff	మేఘన్ మరియు హ్యారీ US లో జీవితం అంటే అందరికీ ఆశిస్తున్నట్లేదు అని అనుభవించుకున్నారు: మరియు Ex-స్టాఫ్	మెగన్ మరియు హ్యారీ అనుభవిస్తున్నారంటే అమెరికాలో జీవితం వారు ఆశించినంతగా లేదు: మాజీ సిబ్బంది	మెగాన్, హారీ అమెరికాలో జీవితం వారు ఆశించినది కాదని మాజీ సిబ్బంది చెబుతున్నారు.
Elon Musk reacts to reports that he could be deported for immigration violation	ఇమోగల్ను లేదా ఇమ్మిగ్రేషన్ పాలన విలన్ కారణంగా నిషేధించడం వల్ల దూరంగా చెల్లుబారని అంగీకరిస్తున్న ఎలాన్ మస్క్	ఇలాన్ మస్క్ వలస నిబంధనలు ఉల్లంఘించారని తనను తాను దేశం నుండి పంపించివేయవచ్చని వచ్చిన నివేదికలపై స్పందించారు.	ఎలాన్ మస్క్ ఇమ్మిగ్రేషన్ ఉల్లంఘన కారణంగా బహిష్కరించబడే అవకాశం ఉందని వార్తలకు స్పందిస్తున్నాడు.
How China is lessening its reliance on helium sourced from US	చైనా ఎలా ఎర్రల నుండి సాగితే అది ఎక్కువ అవసరం పొందుతోంది అనే విషయంపై ఎలా తగ్గించుకుందో చూడండి.	చైనా అమెరికా నుండి అందించబడుతున్న హీలియంపై తన ఆధారాన్ని ఎలా తగ్గిస్తుంది.	చైనా యుఎస్ నుండి వచ్చే హీలియం మీద తన ఆధారతను తగ్గిస్తోంది.
Kindle Colorsoft owners complain of a yellow bar on the e-reader’s screen	కిండల్ కలర్సాఫ్ట్ యజమానులు ఇ-రీడర్ స్క్రీన్‌పై ఎరుపు బార్ గురించి ఫిక్స్ చేయబడుతున్నారు.	కిండిల్ కలర్‌సాఫ్ట్ యజమానులు ఈ-రిడర్ స్క్రీన్‌పై నీలం రంగు పట్టీ గురించి ఫిర్యాదు చేస్తున్నారు.	కిండిల్ కలర్సాఫ్ట్ యజమానులు ఈ-రీడర్ స్క్రీన్లో పసుపు బార్ గురించి ఫిర్యాదు చేస్తున్నారు.
