src	gpt_3_5_trans	gpt_4o_trans	ollama_trans
JMM says Soren's helicopter take off delayed over PM's security protocol, writes to President Murmu	JMM कहती है कि सोरेन के हेलीकॉप्टर का उड़ान लंबित है पीएम की सुरक्षा प्रोटोकॉल के कारण, राष्ट्रपति मुर्मू को लिखती है।	झारखंड मुक्ति मोर्चा (जेएमएम) कहता है कि सोरेन के हेलीकॉप्टर का उड़ान भरना प्रधानमंत्री की सुरक्षा प्रोटोकॉल के कारण विलंबित हुआ, उन्होंने राष्ट्रपति मुर्मू को पत्र लिखा।	जेएमएम का कहना है कि प्रधानमंत्री की सुरक्षा प्रोटोकॉल के कारण सोरेन के हेलीकॉप्टर के उड़ान में देरी हुई, राष्ट्रपति मुर्मू को पत्र लिखते हैं।
The king who defied the British: Uncovering the tale of Pazhassi raja’s rebellion	जो ब्रिटिश का सामना किया राजा: पाझसी राजा के विद्रोह की कहानी उजागर करना	ब्रिटिशों को चुनौती देने वाले राजा: पज़्हासी राजा के विद्रोह की कहानी को उजागर करना।	वे राजा जिन्होंने ब्रिटिश की चुनौती दी: पज़हस्सी राजा के विद्रोह की कहानी का अनावरण
Vinesh Phogat's retirement U-turn predicted after her latest Instagram post creates buzz on social media	विनेश फोगाट के नवीनतम इंस्टाग्राम पोस्ट के चर्चा सोशल मीडिया पर धूम मचा देने के बाद, हमने उनके सेवानिवृत्ति की उम्मीद जताई है।	विनेश फोगाट के रिटायरमेंट के फैसले को बदलने की संभावना उनके नवीनतम इंस्टाग्राम पोस्ट के बाद सोशल मीडिया पर चर्चा का विषय बन गई है।	विनेश फोगाट के सेवानिवृत्ति के यू-टर्न की भविष्यवाणी उनके नवीनतम इंस्टाग्राम पोस्ट द्वारा सोशल मीडिया पर हलचल पैदा होने के बाद की गई है।
The Pennsylvania push: Kamala Harris, Donald Trump spend final campaign hours in swing state	पेन्सिल्वेनिया पश्चिम धक्का: कमला हैरिस, डोनाल्ड ट्रंप अंतिम प्रचार की घंटों का समय स्विंग राज्य में बिताते हैं।	पेंसिल्वेनिया की ओर ध्यान: कमला हैरिस, डोनाल्ड ट्रंप ने स्विंग राज्य में अंतिम प्रचार घंटे बिताए।	पेंसिल्वेनिया पुश: कमला हैरिस, डोनाल्ड ट्रंप उनके अंतिम प्रचार घंटे स्विंग राज्य में व्यतीत कर रहे हैं।
Delhi engulfed in smog, toxic foam in Yamuna: Pics that capture national capital's pollution woes	दिल्ली में स्मॉग में लिपटा हुआ, यमुना में विषैला फोम: तस्वीरें जो राष्ट्रीय राजधानी की प्रदूषण समस्याओं को दर्शाती हैं।	दिल्ली धुएं में लिपटी, यमुना में जहरीला झाग: तस्वीरें जो राष्ट्रीय राजधानी की प्रदूषण समस्याओं को दर्शाती हैं।	दिल्ली में स्मॉग ने घेर लिया, यमुना में जहरीला फोम: राष्ट्रीय राजधानी की प्रदूषण समस्याओं को कैप्चर करने वाली तस्वीरें
Will Muslim boycott of Kamala send Trump to the White House?	क्या मुस्लिम की कमाला के विरोध से ट्रंप को सफेद घर भेज देगा?	क्या मुस्लिमों का कमला का बहिष्कार ट्रम्प को व्हाइट हाउस भेज देगा?	क्या कामला के मुसलमानों द्वारा बहिष्कार ट्रंप को व्हाइट हाउस भेज देगा?
Why Indian batters are struggling against left-arm spin	भारतीय बैटसमैन वाम हाथ के स्पिनर्स के खिलाफ संघर्ष क्यों कर रहे हैं?	भारतीय बल्लेबाज़ बाएं हाथ के स्पिन के खिलाफ संघर्ष क्यों कर रहे हैं?	भारतीय बल्लेबाज़ लेफ्ट-आर्म स्पिन के विरुद्ध संघर्ष क्यों कर रहे हैं?
JD Vance calls Kamala Harris 'trash' at Atlanta rally: 'In 2 days we're taking out the garbage'	JD Vance अटलांटा रैली में Kamala Harris को 'कचरा' कहते हैं: '2 दिनों में हम कचरा बाहर निकाल रहे हैं'।	जेडी वांस ने अटलांटा रैली में कमला हैरिस को 'कचरा' कहा: 'दो दिन में हम कचरा बाहर निकाल रहे हैं'	जेडी वैन्स ने अटलांटा रैली में कमला हैरिस को 'कचरा' कहा: '2 दिन में हम कचरे को हटा रहे हैं'
Meghan and Harry feel life in US hasn't been what they expected: Ex-staff	Meghan और Harry को लगता है कि अमेरिका में जीवन वह नहीं था जैसा उन्होंने अपेक्षा की थी: पूर्व कर्मचारी।	मेघन और हैरी महसूस करते हैं कि अमेरिका में जीवन वैसा नहीं रहा जैसा उन्होंने अपेक्षा की थी: पूर्व कर्मचारी	मेगन और हैरी का कहना है कि अमेरिका में जीवन उनकी उम्मीदों के मुताबिक नहीं रहा है: पूर्व-स्टाफ सदस्यों ने कहा।
Elon Musk reacts to reports that he could be deported for immigration violation	एलॉन मस्क उस रिपोर्ट्स के प्रति प्रतिक्रिया दिखा रहे हैं जिसके अनुसार उन्हें विस्थापित किया जा सकता है आप्रवासन उल्लंघन के लिए।	एलन मस्क ने उन रिपोर्टों पर प्रतिक्रिया दी है कि वे आव्रजन उल्लंघन के लिए निर्वासित किए जा सकते हैं।	एलोन मस्क ने आव्रजन उल्लंघन के लिए उनकी निर्वासन की खबरों पर प्रतिक्रिया व्यक्त की।
How China is lessening its reliance on helium sourced from US	कैसे चीन उस से हेलियम पर अपनी आवश्यकता कम कर रहा है, यह कैसे है?	कैसे चीन अमेरिका से प्राप्त हीलियम पर अपनी निर्भरता कम कर रहे हैं।	चीन अमेरिका से प्राप्त हीलियम पर अपनी निर्भरता कम कर रहे हैं।
Kindle Colorsoft owners complain of a yellow bar on the e-reader’s screen	Kindle Colorsoft owners का शिकायत है कि ई-रीडर की स्क्रीन पर पीला पट्टी है।	Kindle Colorsoft के मालिक शिकायत करते हैं कि ई-रीडर की स्क्रीन पर एक पीली पट्टी दिखाई देती है।	किंडल कलरसॉफ्ट के स्वामी उनकी ई-रीडर की स्क्रीन पर पीले रंग की पट्टी की शिकायत करते हैं।
Nvidia and its partners built a sophisticated system to bypass U.S. restrictions on exporting AI chips to the Middle East, Russia, and China.	न्विडिया और उसके साथी ने एक विकसित प्रणाली बनाई थी जिससे यूएस निर्यात पर प्रतिबंध लगाने को मध्य पूर्व, रूस, और चीन में एआई चिप्स निर्यात करने का रास्ता खोला गया।	Nvidia और इनके साझेदारों ने एक उन्नत प्रणाली बनाई है ताकि अमेरिका द्वारा मध्य पूर्व, रूस और चीन को AI चिप्स के निर्यात पर लगाए गए प्रतिबंधों को दरकिनार किया जा सके।	एनवीडिया और उसके साझेदारों ने अमेरिका द्वारा मध्य पूर्व, रूस और चीन को एआई चिप्स निर्यात पर प्रतिबंधों को दरकिनार करने के लिए एक जटिल प्रणाली विकसित की।
The funding, which will top up the firm’s flagship fund, will be raised primarily from institutional investors. 	इस निधि को वित्तीय संस्थागणों से प्रमुख रूप से जुटाया जाएगा जो कंपनी के प्रमुख निधि को बढ़ावा देगा।	फर्म के प्रमुख फंड को बढ़ाने वाली यह धनराशि मुख्य रूप से संस्थागत निवेशकों से जुटाई जाएगी।	वित्तपोषण, जो कंपनी के प्रमुख निधि को ऊपर करेगा, संस्थागत निवेशकों से मुख्य रूप से जुटाया जाएगा।
US Forest Service Decision to Halt Prescribed Burns in California is History Repeating	हमारे अधिकारियों का कहना है कि कैलिफोर्निया में परागित जलावशेष रोकने का निर्णय इतिहास को दोहराने के समान है।	अमेरिका के वन सेवा का कैलिफोर्निया में नियंत्रित जलाने पर रोक लगाने का निर्णय इतिहास को दोहराता है।	अमेरिकी वन सेवा के कैलिफोर्निया में निर्धारित अग्नि-दहन को रोकने का निर्णय इतिहास की पुनरावृत्ति है।
