src	gpt_3_5_trans	gpt_4o_trans	ollama_trans
JMM says Soren's helicopter take off delayed over PM's security protocol, writes to President Murmu	JMM ప్రధాని భర్తీ ప్రోటోకాల్ వలన సోరెన్ చినుకులో దిగిందని అవగాహన చేస్తుంది, రాష్ట్రపతి ముర్ముకు రాయవచ్చు.	జేఎమ్మ్ పార్టీ ప్రధానమంత్రి భద్రతా నిబంధనల కారణంగా సోరెన్ గారి హెలికాప్టర్ టేకాఫ్ ఆలస్యం అయినట్లు పేర్కొంటూ, రాష్ట్రపతి ముర్ము గారికి లేఖ రాసారు.	జేఎంఎం చెబుతున్నది, ప్రధాని భద్రతా ప్రోటోకాల్ కారణంగా సోరెన్ హెలికాప్టర్ ప్రయాణం ఆలస్యం అయింది, రాష్ట్రపతి ముర్ముకు లేఖ వ్రాసారు.
The king who defied the British: Uncovering the tale of Pazhassi raja’s rebellion	బ్రిటిష్ విరుద్ధంగా ప్రతిపక్షించిన రాజా: పాఝసీ రాజా విద్రోహానికి సంబంధించిన కథనానికి పరదారణ చేసేది.	బ్రిటిష్‌కు వ్యతిరేకంగా తిరుగుబాటు చేసిన రాజు: పళసీ రాజా తిరుగుబాటు కథను బయటపెట్టడం.	బ్రిటీష్ వారిని ధిక్కరించిన రాజులు: పాళయి రాజాల తిరుగుబాటు కథను వెలికితీస్తున్నారు.
Vinesh Phogat's retirement U-turn predicted after her latest Instagram post creates buzz on social media	వినేష్ ఫోగాట్ విద్యార్జన ఉలికిన తరువాత ఆమె ఇంస్టాగ్రామ్ పోస్టు వలన సోషల్ మీడియాలో గుర్తించడంలో తరచుగానే ముందుకు వ్యతిరేకం ప్రవర్తించిందని భవిష్యత్తు అందించనిది.	వినేష్ ఫోగాట్ గారి తాజా ఇన్‌స్టాగ్రామ్ పోస్ట్ సామాజిక మాధ్యమాలలో చర్చలు సృష్టించడంతో, ఆమె పదవివిరమణ నిర్ణయంలో మార్పు రావచ్చని అంచనా వేస్తున్నారు.	వినేష్ ఫోగట్ గారు యొక్క రిటైర్మెంట్ యు-టర్న్ ఆమె లేటెస్ట్ ఇన్స్టాగ్రామ్ పోస్ట్ సోషల్ మీడియాలో క్రియేట్ బజ్ సృష్టించింది.
The Pennsylvania push: Kamala Harris, Donald Trump spend final campaign hours in swing state	పెన్సిల్వేనియా పుష్: కమలా హ్యారిస్, డొనాల్డ్ ట్రంప్ స్వింగ్ రాష్ట్రంలో చరిత్ర గడిచిన క్యాంపైన్ గంటలు ముగిస్తున్నాయి.	పెన్సిల్వేనియా ప్రయత్నం: కమలా హారిస్, డొనాల్డ్ ట్రంప్ తమ తుది ఎన్నికల ప్రచార గంటలను స్వింగ్ రాష్ట్రంలో గడుపుతున్నారు.	పెన్సిల్వేనియా పుష్: కమలా హారిస్, డొనాల్డ్ ట్రంప్ గారు స్వింగ్ స్టేట్లో చివరి ప్రచార గంటలు గడిపారు.
Delhi engulfed in smog, toxic foam in Yamuna: Pics that capture national capital's pollution woes	దిల్లీని కూపాలుతున్న ధూమము, యమునాలో విషపు ఫోమ్: రాష్ట్ర రాజధానికి వాతావరణ విలాపాలను ఆవిష్కరించే చిత్రాలు.	ఢిల్లీ పొగమంచుతో కప్పబడి ఉంది, యమునా నదిలో విషపూరిత నురుగు: జాతీయ రాజధానిలో కాలుష్య సమస్యలను చూపించే చిత్రాలు.	ఢిల్లీ స్మోగ్ లో మునిగిపోయింది, యమునాలో విషపూరిత ఫోమ్: జాతీయ రాజధాని యొక్క కాలుష్య సమస్యలను చిత్రీకరించే చిత్రాలు.
Will Muslim boycott of Kamala send Trump to the White House?	ముస్లిం కమలకు బహిష్కారము చేసినప్పుడు ట్రంప్‌ను వైట్ హౌస్కు పంపిందా?	కామలాను ముస్లింల బహిష్కరణ ట్రంప్ గారిని వైట్ హౌస్‌కు పంపుతుందా?	ముస్లిమ్లు కమలాను బహిష్కరిస్తే ట్రంప్ వైట్ హౌస్ కు వెళ్తారా?
Why Indian batters are struggling against left-arm spin	భారతీయ బ్యాటర్లు ఎడమ చెక్కల స్పిన్ వలన సంఘర్షిస్తున్నారు అంటున్నారు.	భారత బ్యాట్స్‌మన్‌లు ఎడమచేతి స్పిన్నర్లకు వ్యతిరేకంగా ఎందుకు కష్టపడుతున్నారు?	భారతీయ బ్యాటర్లు ఎడమచేతి స్పిన్ కి వ్యక్తిగతంగా ఇబ్బంది పడుతున్నారు.
JD Vance calls Kamala Harris 'trash' at Atlanta rally: 'In 2 days we're taking out the garbage'	జెడి వాన్స్ అట్లాంటా ర్యాలీలో కమలా హారిస్ని 'ట్రాష్' అంటూ పిలవాడు: '2 రోజుల్లో మేము స్వచ్ఛం చేస్తున్నాం'	JD వాన్స్ అట్లాంటా ర్యాలీలో కమల హ్యారిస్‌ను 'చెత్త' అని పిలుస్తున్నారు: 'ఇంకా రెండు రోజుల్లో మేము చెత్తను తీసివేస్తున్నాం'	జేడ్ వాన్స్ అట్లాంటా ర్యాలీలో కమలా హారిస్ ను 'చెత్త' అని పిలుస్తారు: '2 రోజుల్లో మేము చెత్తను తొలగిస్తాము'
Meghan and Harry feel life in US hasn't been what they expected: Ex-staff	మెగన్ మరియు హ్యారీ అమరికలో జీవనం అంటే అవారా అంటున్నారు: మరోవారు.	మెగన్ మరియు హ్యారీ అనుభవిస్తున్న అమెరికాలోని జీవితం వారు ఆశించిన విధంగా ఉండలేదు అని మాజీ సిబ్బంది చెప్పారు.	మెఘాన్, హారీలు అమెరికాలో జీవితం వారు ఆశించినది కాదని భూత సిబ్బంది చెబుతున్నారు.
Elon Musk reacts to reports that he could be deported for immigration violation	అధికారులు: ఎలాన్ మస్క్ విమానావరణ లంకాంతర లేదా వివాదాన్ని కారణంగా ప్రమాణాలు ప్రకటించిన ప్రతిక్రియా వ్యక్తం చేస్తున్నారు.	ఎలాన్ మస్క్ గారు వలస నిబంధన ఉల్లంఘన కారణంగా దేశ నిర్బంధానికి గురవుతారనే వార్తలకు ప్రతిస్పందించారు.	ఎలాన్ మస్క్ వారు ఇమ్మిగ్రేషన్ ఉల్లంఘన కారణంగా వారిని దేశం నుండి తొలగించవచ్చునని వార్తలకు స్పందిస్తున్నారు.
